,symbol,date,open,close,volume,high,low
0,NFX,2018-07-13,29.82,30.1,19991814,31.4644,29.335
1,NFX,2018-06-29,29.4,30.25,64879000,31.35,27.505
2,NFX,2018-05-31,29.51,29.24,87270774,30.98,26.45
3,NFX,2018-04-30,24.28,29.8,87029129,30.39,23.015
4,NFX,2018-03-29,23.4,24.42,94710959,25.29,22.72
5,NFX,2018-02-28,31.75,23.33,91287812,32.28,22.96
6,NFX,2018-01-31,31.84,31.66,54845876,35.2,31.44
7,NFX,2017-12-29,31.29,31.53,41157892,32.35,27.77
8,NFX,2017-11-30,31.91,30.93,57002844,33.33,28.99
9,NFX,2017-10-31,29.16,30.79,59320944,31.15,28.06
10,NFX,2017-09-29,26.18,29.67,54782276,30.05,24.47
11,NFX,2017-08-31,28.75,26.13,71270383,28.84,24.41
12,NFX,2017-07-31,28.5,28.73,64392366,29.61,25.46
13,NFX,2017-06-30,32.66,28.46,79369890,33.04,27.22
14,NFX,2017-05-31,34.57,32.48,64311970,37.0,31.86
15,NFX,2017-04-28,36.88,34.62,41390225,37.61,34.09
16,NFX,2017-03-31,36.97,36.91,81049279,37.24,33.0
17,NFX,2017-02-28,40.44,36.46,61723858,43.74,36.19
18,NFX,2017-01-31,41.45,40.08,39324400,43.64,39.476
19,NFX,2016-12-30,46.54,40.5,54967626,50.0,40.0
20,NFX,2016-11-30,40.99,45.22,72201791,45.87,37.17
21,NFX,2016-10-31,43.42,40.59,48864948,44.53,40.33
22,NFX,2016-09-30,43.1,43.46,57151881,46.25,39.25
23,NFX,2016-08-31,42.95,43.36,67337795,47.56,40.44
24,NFX,2016-07-29,44.18,43.3,51135592,45.61,41.45
25,NFX,2016-06-30,40.22,44.18,76704268,44.79,38.49
26,NFX,2016-05-31,36.43,40.77,83849363,41.99,33.54
27,NFX,2016-04-29,32.47,36.25,64691366,38.78,30.88
28,NFX,2016-03-31,27.46,33.25,117072720,34.97,26.74
29,NFX,2016-02-29,28.24,27.23,133272174,29.18,20.84
30,NFX,2016-01-29,32.48,29.07,89081295,33.01,22.2
31,NFX,2015-12-31,38.32,32.56,77176470,39.22,29.88
32,NFX,2015-11-30,39.87,38.26,68930596,41.34,37.34
33,NFX,2015-10-30,33.67,40.19,69747975,41.17,33.12
34,NFX,2015-09-30,32.29,32.9,73686463,36.57,31.12
