,symbol,date,open,close,volume,high,low
0,PYPL,2018-07-13,82.75,87.99,45539557,89.19,82.0621
1,PYPL,2018-06-29,82.5497,83.27,160930330,87.55,80.16
2,PYPL,2018-05-31,74.15,82.07,189936622,83.06,70.22
3,PYPL,2018-04-30,75.23,74.61,164399150,80.89,72.52
4,PYPL,2018-03-29,79.6,75.87,176119130,83.99,74.55
5,PYPL,2018-02-28,79.95,79.41,240516613,82.17,71.63
6,PYPL,2018-01-31,74.235,85.32,171293667,86.32,73.43
7,PYPL,2017-12-29,75.22,73.62,163730569,76.44,68.61
8,PYPL,2017-11-30,72.78,75.73,184773235,79.385,71.67
9,PYPL,2017-10-31,64.5,72.56,209696084,72.74,63.69
10,PYPL,2017-09-29,61.98,64.03,138505568,65.24,60.58
11,PYPL,2017-08-31,59.0,61.68,135020789,62.029,57.58
12,PYPL,2017-07-31,54.14,58.55,196872172,61.3,52.83
13,PYPL,2017-06-30,52.48,53.67,187443156,55.14,50.83
14,PYPL,2017-05-31,47.39,52.21,168326829,52.24,47.32
15,PYPL,2017-04-28,43.2,47.72,138531877,48.1,42.06
16,PYPL,2017-03-31,42.31,43.02,126964092,43.8,41.74
17,PYPL,2017-02-28,39.96,42.0,126125456,43.07,39.02
18,PYPL,2017-01-31,40.29,39.78,148631253,42.5,39.42
19,PYPL,2016-12-30,39.56,39.47,115162681,40.74,38.06
20,PYPL,2016-11-30,41.68,39.28,183718236,42.295,38.45
21,PYPL,2016-10-31,40.87,41.66,204950762,44.52,38.75
22,PYPL,2016-09-30,37.27,40.97,192970813,41.3,36.3
23,PYPL,2016-08-31,37.43,37.15,139325649,38.65,36.28
24,PYPL,2016-07-29,36.6,37.24,209929754,40.45,35.715
25,PYPL,2016-06-30,37.81,36.51,187408390,38.685,34.0
26,PYPL,2016-05-31,39.07,37.79,176578531,40.3143,37.31
27,PYPL,2016-04-29,38.51,39.18,154169929,41.49,37.34
28,PYPL,2016-03-31,38.52,38.6,189254761,41.75,37.0
29,PYPL,2016-02-29,35.65,38.14,248604440,38.93,31.64
30,PYPL,2016-01-29,35.13,36.14,205399551,36.26,30.52
31,PYPL,2015-12-31,35.41,36.2,156956489,37.68,33.85
32,PYPL,2015-11-30,35.58,35.26,197879487,38.52,34.5
33,PYPL,2015-10-30,30.82,36.01,197323781,36.65,30.75
34,PYPL,2015-09-30,34.24,31.04,198835246,35.46,30.3
35,PYPL,2015-08-31,39.25,35.0,246774010,39.91,30.0
