,symbol,date,open,close,volume,high,low
0,UAL,2018-07-13,69.4,72.1,28552126,72.24,67.94
1,UAL,2018-06-29,70.0,69.73,60969030,75.53,67.93
2,UAL,2018-05-31,67.59,69.59,62753953,72.74,65.57
3,UAL,2018-04-30,69.12,67.54,94106869,72.6,64.795
4,UAL,2018-03-29,67.78,69.47,72894498,73.41,65.67
5,UAL,2018-02-28,67.22,67.79,73941292,69.48,60.44
6,UAL,2018-01-31,67.9,67.82,133106944,79.0,65.44
7,UAL,2017-12-29,63.2,67.4,74729297,67.99,61.78
8,UAL,2017-11-30,58.2,63.32,78731667,63.84,56.51
9,UAL,2017-10-31,60.9,58.48,151426488,69.62,58.04
10,UAL,2017-09-29,62.54,60.88,107932815,63.08,57.34
11,UAL,2017-08-31,68.15,61.96,81911266,69.31,61.31
12,UAL,2017-07-31,75.85,67.68,96793886,81.39,66.45
13,UAL,2017-06-30,79.99,75.25,72342060,83.04,74.97
14,UAL,2017-05-31,70.56,79.67,70708567,81.96,70.24
15,UAL,2017-04-28,70.69,70.21,97716896,72.1,67.55
16,UAL,2017-03-31,74.64,70.64,110698958,76.65,64.16
17,UAL,2017-02-28,70.95,74.09,57818237,76.46,70.55
18,UAL,2017-01-31,74.02,70.47,73204918,76.75,69.34
19,UAL,2016-12-30,68.67,72.88,63607953,76.8,68.0
20,UAL,2016-11-30,56.25,68.95,104900050,70.18,55.53
21,UAL,2016-10-31,52.24,56.23,114925543,56.81,51.34
22,UAL,2016-09-30,50.54,52.47,103376650,54.53,49.28
23,UAL,2016-08-31,46.77,50.41,93175843,51.525,44.15
24,UAL,2016-07-29,41.02,46.89,105939525,49.87,37.64
25,UAL,2016-06-30,45.25,41.04,143700879,46.91,37.41
26,UAL,2016-05-31,46.61,45.09,115004408,47.54,43.33
27,UAL,2016-04-29,57.43,45.81,128903459,58.9,45.58
28,UAL,2016-03-31,57.63,59.86,103474118,61.41,55.29
29,UAL,2016-02-29,47.71,57.26,120493656,57.795,44.0
30,UAL,2016-01-29,55.79,48.28,152387249,56.34,42.17
31,UAL,2015-12-31,55.68,57.3,93168404,61.49,55.3342
32,UAL,2015-11-30,60.61,55.73,83813765,61.75,55.58
33,UAL,2015-10-30,52.95,60.31,155696508,61.87,49.76
34,UAL,2015-09-30,56.01,53.05,207066282,62.21,52.11
35,UAL,2015-08-31,56.86,56.97,115283737,60.12,49.2
36,UAL,2015-07-31,54.05,56.39,131449636,60.0,50.1
37,UAL,2015-06-30,54.76,53.01,123265759,56.89,49.85
38,UAL,2015-05-29,60.34,54.59,126168768,63.9,51.68
39,UAL,2015-04-30,65.06,59.74,129576758,65.85,57.95
40,UAL,2015-03-31,66.14,67.25,108336577,70.31,63.09
41,UAL,2015-02-27,69.08,65.18,108368997,72.23,63.76
42,UAL,2015-01-30,67.74,69.37,124140806,74.52,62.37
43,UAL,2014-12-31,61.0,66.89,127643529,67.77,57.89
44,UAL,2014-11-28,52.95,61.23,98666092,61.93,52.81
45,UAL,2014-10-31,45.62,52.81,207268191,53.65,39.46
46,UAL,2014-09-30,48.0,46.79,104874708,52.45,45.72
47,UAL,2014-08-29,46.5,47.61,98826600,49.52,41.93
48,UAL,2014-07-31,41.74,46.39,173983400,49.28,36.65
49,UAL,2014-06-30,44.49,41.07,147170800,48.13,40.74
