,symbol,date,open,close,volume,high,low
0,XEL,2018-07-13,45.84,46.27,24350310,47.08,44.76
1,XEL,2018-06-29,45.61,45.68,73414015,46.24,41.99
2,XEL,2018-05-31,46.4384157513181,45.1201,58852467,46.51771293936731,42.89977873462214
3,XEL,2018-04-30,45.199393680614854,46.4285,67267055,46.96375597779675,43.53910893467121
4,XEL,2018-03-29,42.9096419525066,45.0804,84410595,45.46697335092348,42.191012005277045
5,XEL,2018-02-28,44.87710633086876,42.5286,74193697,44.98519658040665,40.789329621072085
6,XEL,2018-01-31,47.38280613496933,44.8476,67368768,47.5203754601227,43.96322576687117
7,XEL,2017-12-29,50.80236936187903,47.2747,60487219,50.93993864061526,46.70477013094991
8,XEL,2017-11-30,48.43298136020151,50.3348,64831086,50.929727882193376,47.71614202673901
9,XEL,2017-10-31,46.297149737479806,48.2965,59743711,48.59884077140549,45.69734465872374
10,XEL,2017-09-29,48.325700338123404,46.1508,56385491,49.310744885883345,45.53636627218934
11,XEL,2017-08-31,45.80525527272728,47.9256,46152234,48.11923878787879,45.67939006060607
12,XEL,2017-07-31,44.56591325301205,45.8052,56803272,46.17795421686747,43.74294939759036
13,XEL,2017-06-30,46.357086224934605,44.4207,59405087,46.95736595466433,44.33356261987794
14,XEL,2017-05-31,43.295690795241086,46.0341,50989662,46.13018453350031,42.72879204758923
15,XEL,2017-04-28,42.66155027746948,43.2861,43315785,43.660829833518314,42.277211986681465
16,XEL,2017-03-31,41.36441574803149,42.7096,62792261,43.295715995500565,41.24911424071991
17,XEL,2017-02-28,39.05025545641729,41.6517,47926201,41.75175555936856,38.52615490734385
18,XEL,2017-01-31,38.82151277831559,39.3742,46239643,39.47901999031946,38.154476476282674
19,XEL,2016-12-30,36.96334363636363,38.7834,48348023,39.259854545454544,36.42018545454545
20,XEL,2016-11-30,39.28402296846963,36.8648,67872034,39.45412458344015,35.910340938220976
21,XEL,2016-10-31,38.792595788206974,39.2651,64349867,39.50135210589651,36.93092919374248
22,XEL,2016-09-30,39.05725184735051,38.8777,70529938,41.098472848808946,38.12169222168206
23,XEL,2016-08-31,41.09453215667312,38.761,63772784,41.35225157156674,38.489223162475824
24,XEL,2016-07-29,42.172203274215555,41.2163,63133800,42.5658105047749,40.39253629604366
25,XEL,2016-06-30,38.7235205895489,41.9661,69419837,41.9661,38.40957142697632
26,XEL,2016-05-31,37.41405675610346,38.4647,63623226,39.031861397147686,36.90268172588832
27,XEL,2016-04-29,38.76222263302523,37.2188,72429252,39.087643067699226,35.731163727204596
28,XEL,2016-03-31,36.884088402678145,38.8831,71823311,38.91099318507891,35.57310870396939
29,XEL,2016-02-29,35.11938459787557,36.4563,91927265,37.272279400606976,33.422885053110775
30,XEL,2016-01-29,32.83275541601255,35.2392,76142413,35.27608037676608,32.4455114599686
31,XEL,2015-12-31,33.00797883597884,33.1094,85385001,33.856228571428574,31.652623280423285
32,XEL,2015-11-30,32.59293735277622,32.5838,65965254,33.18686528323051,31.368532080762755
33,XEL,2015-10-30,32.36441611001965,32.5563,70265636,34.03654715127701,31.651704518664047
34,XEL,2015-09-30,30.454734510025418,32.3553,78624235,32.38728066930246,29.633288175656595
35,XEL,2015-08-31,31.39398719241032,30.5252,71782793,33.013913311592056,29.71080250578121
36,XEL,2015-07-31,29.167731670031724,31.3759,61180306,31.810293769829823,29.068183097779055
37,XEL,2015-06-30,30.89627563704164,29.1225,72134415,31.04107364822871,28.742405220633934
38,XEL,2015-05-29,30.369918854625556,30.5133,64432999,31.230205726872253,29.31248290748899
39,XEL,2015-04-30,31.024052963727513,30.3878,48407717,31.677332415216746,30.029347626069004
40,XEL,2015-03-31,31.588597385808672,31.1943,85254655,31.714055644929612,29.93971740879057
41,XEL,2015-02-27,33.34248469387755,31.3185,76438442,33.59104421768708,30.7104168792517
42,XEL,2015-01-30,31.97535614175327,33.3158,52473717,34.03928459898748,31.598078896882495
43,XEL,2014-12-31,29.79160066815145,31.8866,67400857,33.36020122494432,29.729460857461024
44,XEL,2014-11-28,29.594317030053034,29.876,57369480,30.016841484973487,29.004543311726582
45,XEL,2014-10-31,27.059190379444278,29.4623,92843370,29.70877278159546,26.566244816253363
46,XEL,2014-09-30,28.18592098684211,26.7599,45934542,28.590840526315787,26.513427236842105
47,XEL,2014-08-29,26.794162964118566,27.9451,39774397,27.971257659906396,25.80889110764431
48,XEL,2014-07-31,28.049733246753245,26.8552,43508390,28.12820623376623,26.794165454545453
49,XEL,2014-06-30,26.75933754266212,28.1021,49846800,28.154415420415763,26.204619701520325
50,XEL,2014-05-30,27.466838816644987,26.5602,57639500,27.95037951885565,25.75717704811443
51,XEL,2014-04-30,26.240768528396607,27.5187,57786100,27.786374835268273,25.9865637816128
52,XEL,2014-03-31,26.07664558629776,26.2148,62361000,26.564503359683794,25.38587351778656
53,XEL,2014-02-28,24.744416573126447,25.8987,44013600,25.932900990425885,24.12024849785408
54,XEL,2014-01-31,23.86377405741958,24.7188,61821800,24.81285285368385,23.31655745416811
55,XEL,2013-12-31,24.017653758052965,23.8894,87079500,24.419515533285608,23.521739226914814
56,XEL,2013-11-29,24.507693790149894,23.7204,65436600,24.651607708779444,23.627279229122056
57,XEL,2013-10-31,23.43256826056826,24.4315,61552900,24.888638253638252,22.975430006930008
58,XEL,2013-09-30,23.754248388265122,23.3733,100306600,23.999748460702648,22.772248098515032
59,XEL,2013-08-30,25.20395873925501,23.3941,61896700,25.480464935530087,22.857845558739257
60,XEL,2013-07-31,23.77950250417362,25.095,54007900,25.396642737896492,23.26000667779633
61,XEL,2013-06-28,24.06440084685956,23.746,105260600,24.91905575158786,22.94161891319689
62,XEL,2013-05-31,26.31044811977716,23.8371,63360200,26.368546901114208,23.513406789693594
63,XEL,2013-04-30,24.66703906888959,26.3851,48149900,26.3851,24.459543787354516
64,XEL,2013-03-28,23.75402181818182,24.6504,81735700,24.683599191919193,23.579726060606063
65,XEL,2013-02-28,22.939535540069688,23.5973,48515700,23.69596466898955,22.68465181184669
66,XEL,2013-01-31,22.22424503239741,22.8409,55001100,22.857344132469404,22.010471310295177
67,XEL,2012-12-31,22.27353796330962,21.9611,47005200,22.742194908274055,21.45133279670535
68,XEL,2012-11-30,23.069807689463957,22.0197,47257900,23.069807689463957,21.034715268022182
69,XEL,2012-10-31,22.443053522123893,22.9966,31513000,23.061723115044245,22.304666902654866
70,XEL,2012-09-28,22.679105738000718,22.557,48860000,23.110546012269936,22.18254240346445
71,XEL,2012-08-31,23.619014700609537,22.4824,36351475,24.118802724991035,22.272811473646463
72,XEL,2012-07-31,22.861257337883956,23.619,48524400,23.93741313993174,22.845135153583616
73,XEL,2012-06-29,22.377628159098908,22.9016,86310000,23.473938472368882,22.264772685674057
74,XEL,2012-05-31,21.625631834403997,22.3763,55823000,22.45615831548894,21.36209939329051
75,XEL,2012-04-30,21.050690761271248,21.6097,51327700,21.665600923872873,20.675355986696232
76,XEL,2012-03-30,21.146485833018513,21.1385,65824300,21.761394975443903,20.69927918398187
77,XEL,2012-02-29,21.129377123442808,20.9475,48416700,21.200546432616083,20.66282276330691
78,XEL,2012-01-31,22.05448932330827,21.0344,60010200,22.08612,20.68638347969925
79,XEL,2011-12-30,20.828802894356006,21.8568,54258700,21.967507380607817,20.235727641099857
80,XEL,2011-11-30,19.870432483834158,20.591,47029900,20.645825789273488,19.439658425256752
81,XEL,2011-10-31,19.298696170212764,20.2464,59852000,20.622348626692453,18.390153655705994
82,XEL,2011-09-30,19.35356456055083,19.3379,81242200,20.04672136492507,18.44502004860267
83,XEL,2011-08-31,18.737677381434942,19.1253,96830400,19.164062261856504,16.43519902715849
84,XEL,2011-07-29,18.853877333333333,18.6058,40255500,19.18723125,18.342217833333333
85,XEL,2011-06-30,19.179506831275717,18.8384,46543900,19.210516543209877,18.40426403292181
86,XEL,2011-05-31,18.71649636216653,18.9773,50294800,19.47589518997575,18.48637550525465
87,XEL,2011-04-29,18.409667077681874,18.6628,39214800,18.693482778462805,17.93408401150843
88,XEL,2011-03-31,18.47871398074508,18.3253,69896300,18.92361452490582,17.773009669317705
89,XEL,2011-02-28,17.970686716791977,18.168,31636300,18.213533834586464,17.758195488721803
90,XEL,2011-01-31,17.96308969028426,17.8872,44040200,18.31977123462028,17.651941960118794
91,XEL,2010-12-31,18.0162910403397,17.8721,48213400,18.130126072186837,17.604587675159234
92,XEL,2010-11-30,17.997798,17.6449,45942500,18.29062825531915,17.397120553191492
