,symbol,date,open,close,volume,high,low
0,ABT,2018-07-09,62.23,62.44,3653022,62.63,62.14
1,ABT,2018-07-06,61.57,62.16,3647913,62.4,61.2608
2,ABT,2018-07-05,61.19,61.33,4065214,61.41,60.76
3,ABT,2018-07-03,60.97,60.81,2245220,61.225,60.63
4,ABT,2018-07-02,60.63,61.0,4365174,61.02,60.32
5,ABT,2018-06-29,61.49,60.99,5807251,61.865,60.92
6,ABT,2018-06-28,60.46,61.27,4237226,61.48,60.46
7,ABT,2018-06-27,61.21,60.49,6665248,62.14,60.49
8,ABT,2018-06-26,60.64,60.81,4303768,61.09,60.49
9,ABT,2018-06-25,61.7,60.77,6012623,61.77,60.3152
10,ABT,2018-06-22,62.23,61.94,5000555,62.39,61.6599
11,ABT,2018-06-21,61.97,61.75,4065615,62.1,61.45
12,ABT,2018-06-20,62.21,62.14,5121291,62.495,62.04
13,ABT,2018-06-19,62.24,62.34,5302313,62.41,61.92
14,ABT,2018-06-18,62.59,62.82,3672742,62.87,62.28
15,ABT,2018-06-15,62.86,62.91,11859419,63.08,62.26
16,ABT,2018-06-14,62.86,62.96,3980778,63.225,62.74
17,ABT,2018-06-13,63.06,62.63,6189058,63.165,62.47
18,ABT,2018-06-12,63.27,62.92,4869381,63.42,62.61
19,ABT,2018-06-11,63.28,63.13,5339303,63.4812,62.9
20,ABT,2018-06-08,63.01,63.27,4674883,63.41,62.84
21,ABT,2018-06-07,63.56,63.18,3834269,63.85,62.87
22,ABT,2018-06-06,63.11,63.54,4064800,63.55,62.775
23,ABT,2018-06-05,63.09,63.03,4469439,63.295,62.61
24,ABT,2018-06-04,62.32,63.02,4063263,63.11,62.28
25,ABT,2018-06-01,61.96,62.41,3595765,62.485,61.85
26,ABT,2018-05-31,61.9,61.53,6322162,62.23,61.505
27,ABT,2018-05-30,61.78,62.07,5954051,62.65,61.44
28,ABT,2018-05-29,61.58,61.3,4967378,61.87,60.85
29,ABT,2018-05-25,62.49,62.37,3839066,62.58,62.06
30,ABT,2018-05-24,61.89,62.51,5783938,62.72,61.89
31,ABT,2018-05-23,61.22,61.84,4318022,61.97,61.22
32,ABT,2018-05-22,62.1,61.39,6802246,62.29,60.96
33,ABT,2018-05-21,62.0,62.11,4610142,62.49,61.79
34,ABT,2018-05-18,61.02,61.71,6357689,61.87,60.94
35,ABT,2018-05-17,60.8,61.06,4157900,61.16,60.37
36,ABT,2018-05-16,60.57,60.77,3588561,61.15,60.4
37,ABT,2018-05-15,61.44,60.54,5333461,61.58,60.32
38,ABT,2018-05-14,61.5,62.02,7705740,62.17,61.39
39,ABT,2018-05-11,60.22,61.26,5768124,61.3,60.22
40,ABT,2018-05-10,59.63,60.56,4791091,60.61,59.36
41,ABT,2018-05-09,58.81,59.4,4103362,59.58,58.42
42,ABT,2018-05-08,59.12,58.71,6778490,59.13,58.24
43,ABT,2018-05-07,58.99,59.32,5656052,59.76,58.94
44,ABT,2018-05-04,57.64,58.74,5833159,59.08,57.48
45,ABT,2018-05-03,57.79,57.93,5641008,57.94,56.81
46,ABT,2018-05-02,58.49,57.85,4519911,58.56,57.67
47,ABT,2018-05-01,57.7,58.82,6406388,58.87,57.55
48,ABT,2018-04-30,59.76,58.13,6096123,59.8,58.1
49,ABT,2018-04-27,59.49,59.56,4135387,59.69,59.1437
50,ABT,2018-04-26,58.69,59.5,7372804,59.52,58.495
51,ABT,2018-04-25,58.04,58.65,5769257,58.67,57.7
52,ABT,2018-04-24,59.09,58.31,7480274,59.17,57.665
53,ABT,2018-04-23,59.28,58.84,4516125,59.46,58.59
54,ABT,2018-04-20,59.85,59.19,5867509,59.95,58.815
55,ABT,2018-04-19,59.52,59.88,7675521,60.03,59.2
56,ABT,2018-04-18,59.0,59.52,12648456,59.62,57.45
57,ABT,2018-04-17,59.65,59.8,5604601,59.96,59.05
58,ABT,2018-04-16,59.0,59.27,6807514,59.53,58.92
59,ABT,2018-04-13,59.18,58.49,8223673,59.375,58.47
60,ABT,2018-04-12,58.5,58.83,4572325,59.18,58.46
61,ABT,2018-04-11,58.362199897348155,58.1731,4044894,58.76528125748502,57.93423697177074
62,ABT,2018-04-10,58.74046834629693,58.8599,5244751,59.32767397700372,58.43193657423064
63,ABT,2018-04-09,57.58590539333562,57.9442,5712315,58.829983888698045,57.177847646856755
64,ABT,2018-04-06,59.158442105263155,57.2973,7447118,59.317684210526316,56.720047368421056
65,ABT,2018-04-05,59.616210491146006,59.5764,6644536,59.86004974941531,59.26786869361844
66,ABT,2018-04-04,58.06360615539859,59.1783,7405245,59.32758935418769,57.17782265388497
67,ABT,2018-04-03,58.12334237288136,58.7205,6113531,58.79016838983051,57.725237288135595
68,ABT,2018-04-02,59.53667455763615,57.9343,6686491,59.80539575674283,57.357047053770835
69,ABT,2018-03-29,59.28785771028037,59.6362,6656596,60.09402129506008,59.0191365153538
70,ABT,2018-03-28,60.24324129664022,58.9494,8128752,60.422388553098095,58.89466056052676
71,ABT,2018-03-27,60.97981113138687,59.9945,6290139,61.32815345056403,59.7008971881221
72,ABT,2018-03-26,59.994442377599476,60.7807,5312349,60.86032102505322,59.39728468970034
73,ABT,2018-03-23,60.740953714285716,59.2182,5890862,60.97981704201681,59.07886305882353
