,symbol,date,open,close,volume,high,low
0,ADBE,2018-07-24,261.04,257.48,2410061,262.7275,255.932
1,ADBE,2018-07-23,257.66,259.47,1807559,260.14,256.38
2,ADBE,2018-07-20,258.17,257.54,2224270,259.45,256.74
3,ADBE,2018-07-19,258.0,257.68,1980234,259.6,256.36
4,ADBE,2018-07-18,257.86,259.78,2637027,260.94,256.54
5,ADBE,2018-07-17,252.68,258.31,2551989,258.68,250.71
6,ADBE,2018-07-16,258.63,254.68,2165057,259.04,253.83
7,ADBE,2018-07-13,254.64,258.59,3934327,259.51,253.4901
8,ADBE,2018-07-12,249.94,254.87,2761631,255.05,249.38
9,ADBE,2018-07-11,246.65,248.12,1730608,249.74,245.85
10,ADBE,2018-07-10,250.47,248.63,2012389,250.8464,248.21
11,ADBE,2018-07-09,249.9,249.77,2170678,250.66,246.37
12,ADBE,2018-07-06,244.48,248.19,1889695,248.72,243.22
13,ADBE,2018-07-05,243.04,244.18,1863413,244.62,242.14
14,ADBE,2018-07-03,244.72,242.01,1307705,245.94,241.67
15,ADBE,2018-07-02,241.05,243.26,4127360,243.33,239.6
16,ADBE,2018-06-29,241.88,243.81,3774674,245.49,241.5
17,ADBE,2018-06-28,236.59,239.81,2217390,241.8186,236.4385
18,ADBE,2018-06-27,243.46,237.68,3499484,244.9797,237.51
19,ADBE,2018-06-26,240.67,242.25,2998299,244.23,239.66
20,ADBE,2018-06-25,240.15,239.68,4575365,241.96,235.87
21,ADBE,2018-06-22,248.11,243.63,4124488,248.7999,243.26
22,ADBE,2018-06-21,252.0,248.83,2639732,252.719,247.57
23,ADBE,2018-06-20,253.5,251.24,2577487,254.8,250.98
24,ADBE,2018-06-19,251.83,251.74,3532529,253.65,247.9
25,ADBE,2018-06-18,250.52,255.69,3764273,256.77,249.8
26,ADBE,2018-06-15,251.28,251.82,9052820,253.87,247.52
27,ADBE,2018-06-14,257.15,258.1,5618308,258.9102,256.58
28,ADBE,2018-06-13,253.7,256.13,3590741,257.9,253.65
29,ADBE,2018-06-12,252.65,252.59,3513342,254.8,251.13
30,ADBE,2018-06-11,251.76,251.0,2868208,253.48,250.125
31,ADBE,2018-06-08,246.86,251.21,2880597,251.66,245.83
32,ADBE,2018-06-07,253.24,247.51,4169213,254.05,244.03
33,ADBE,2018-06-06,253.75,253.95,3963638,254.07,251.5
34,ADBE,2018-06-05,254.0,252.7,2677427,254.06,251.11
35,ADBE,2018-06-04,252.85,253.34,3058747,254.72,251.1
36,ADBE,2018-06-01,250.55,251.31,2773194,251.83,248.8486
