,symbol,date,open,close,volume,high,low
0,AGN,2018-07-16,177.18,175.61,710287,177.46,175.11
1,AGN,2018-07-13,176.06,177.15,1069521,178.1,176.01
2,AGN,2018-07-12,175.83,176.52,1573091,177.285,174.26
3,AGN,2018-07-11,175.63,174.41,1375030,176.94,173.34
4,AGN,2018-07-10,178.0,175.95,1225655,178.0,175.54
5,AGN,2018-07-09,174.86,176.84,1710511,177.83,174.67
6,AGN,2018-07-06,173.0,174.59,1585758,175.63,172.51
7,AGN,2018-07-05,170.43,172.2,1367399,172.43,168.755
8,AGN,2018-07-03,168.57,168.64,864926,171.27,167.945
9,AGN,2018-07-02,165.78,167.21,1478260,167.36,163.36
10,AGN,2018-06-29,169.0,166.72,1816916,169.25,166.64
11,AGN,2018-06-28,167.46,168.58,1429091,169.0,164.06
12,AGN,2018-06-27,169.07,166.6,1443217,170.6,166.53
13,AGN,2018-06-26,170.39,169.91,1745896,171.705,166.72
14,AGN,2018-06-25,173.37,171.24,1749444,173.37,169.51
15,AGN,2018-06-22,173.83,173.42,1997015,174.42,172.2
16,AGN,2018-06-21,174.34,172.49,1248173,175.49,171.89
17,AGN,2018-06-20,173.96,175.19,2744292,178.76,173.39
18,AGN,2018-06-19,170.34,173.05,2034259,173.23,168.8
19,AGN,2018-06-18,170.94,171.72,1577453,172.36,170.48
20,AGN,2018-06-15,173.75,173.18,3819333,174.22,171.88
21,AGN,2018-06-14,170.4,173.95,3164032,174.29,169.9
22,AGN,2018-06-13,171.9,170.23,3087694,173.58,170.09
23,AGN,2018-06-12,170.71,170.96,2383250,173.0,169.05
24,AGN,2018-06-11,171.5,171.04,3477500,173.94,168.96
25,AGN,2018-06-08,162.97,170.35,5289336,170.8,162.2
26,AGN,2018-06-07,159.45,163.27,5009954,164.95,158.74
27,AGN,2018-06-06,152.5,155.38,2537331,155.9,151.39
28,AGN,2018-06-05,151.24,152.21,2599720,154.959,150.16
29,AGN,2018-06-04,154.68,151.18,3619680,154.79,148.225
30,AGN,2018-06-01,151.73,155.0,2296384,155.34,150.565
31,AGN,2018-05-31,151.7,150.8,2453259,152.37,149.54
32,AGN,2018-05-30,152.22,151.52,4248919,153.54,147.03
33,AGN,2018-05-29,152.37,151.03,2348914,152.86,149.68
34,AGN,2018-05-25,153.6,154.0,1271222,155.2699,153.05
35,AGN,2018-05-24,155.85,153.66,1736530,156.4497,153.51
36,AGN,2018-05-23,153.98,155.95,1579566,157.39,153.98
37,AGN,2018-05-22,154.39,154.98,1788147,155.99,154.02
38,AGN,2018-05-21,158.52,154.21,2456297,158.98,153.83
39,AGN,2018-05-18,159.99,158.43,2501792,161.34,158.0
40,AGN,2018-05-17,154.59,160.23,3492504,160.36,154.293
41,AGN,2018-05-16,152.86310483091788,154.5555,1810347,156.1383872463768,152.22596782608696
42,AGN,2018-05-15,153.04228435311822,152.1264,2414366,153.06219488253384,150.40413920554937
43,AGN,2018-05-14,152.9328102487691,153.6695,1801069,155.5510454457113,152.81971841668826
44,AGN,2018-05-11,151.22051760265504,152.9826,2552750,153.03237633890805,149.53807734756296
45,AGN,2018-05-10,146.4916948193009,151.2304,3944787,153.076304862616,146.34236587453097
46,AGN,2018-05-09,143.36575509980858,145.6256,2920117,146.47179742958707,142.7286182116489
47,AGN,2018-05-08,146.59126616828928,143.1567,5264447,147.08902938108483,143.06710262169682
48,AGN,2018-05-07,148.58233734448294,146.432,2360891,149.73714814059417,146.33244734516282
49,AGN,2018-05-04,147.1388103148024,148.6321,1709208,149.0601763764233,146.5912707635633
50,AGN,2018-05-03,150.1154292886179,146.9397,3805019,150.44395300813008,145.08583069552844
51,AGN,2018-05-02,151.4494581717085,150.3942,2855269,154.2369325875422,150.3046026080625
52,AGN,2018-05-01,152.5146368510527,152.2558,3250809,153.85859742382635,150.2647472995946
53,AGN,2018-04-30,165.25745655711032,152.9627,5673785,165.74526471200784,152.89301312072894
54,AGN,2018-04-27,160.4788578128857,161.3151,1898199,162.22102903604048,159.27775519532216
55,AGN,2018-04-26,157.2932174671401,159.8119,3276068,160.67800822276212,156.82531992151
56,AGN,2018-04-25,156.108486831721,156.4171,1700291,156.51665263492873,154.2070315045825
57,AGN,2018-04-24,159.74217416188657,156.1981,2364281,160.20011632887187,155.03333405353726
58,AGN,2018-04-23,158.04975528175623,159.1747,1851987,160.99651312777536,158.04975528175623
59,AGN,2018-04-20,158.47785799634093,157.8009,3180410,160.42908986814714,156.57640244779512
60,AGN,2018-04-19,164.72982459171448,157.8806,12170152,168.12457108266597,150.862135847153
61,AGN,2018-04-18,166.85026379997583,164.8393,1457314,166.90004013165841,164.7098815376253
62,AGN,2018-04-17,166.55159749445542,166.0837,1444137,167.04936078642928,165.3768761253971
63,AGN,2018-04-16,164.93884452988885,165.7054,1787613,166.33258174827276,162.76859657554823
64,AGN,2018-04-13,166.70092179229786,163.6347,1487651,168.1344800328527,162.64912870961854
65,AGN,2018-04-12,165.19765522217546,165.566,1038476,166.25291323432145,164.17226300282604
66,AGN,2018-04-11,162.90795240518597,164.3216,1267448,165.80493444807948,162.5694734036108
67,AGN,2018-04-10,162.29077049479642,163.575,1852991,163.97321069928793,160.98215058426146
68,AGN,2018-04-09,162.1314157894737,161.1558,1844579,163.90345263157894,160.29964736842106
69,AGN,2018-04-06,163.266406636949,160.7975,2105830,163.266406636949,159.0851937840515
70,AGN,2018-04-05,166.68101107612188,164.3913,1870999,166.68101107612188,163.79398406709868
71,AGN,2018-04-04,162.73872043611462,165.7253,2158446,166.22306326064756,161.67350705832885
72,AGN,2018-04-03,162.47984478572295,164.003,1803481,164.16228420541458,157.72132870159038
73,AGN,2018-04-02,166.60137508473528,161.5441,3305935,167.53717008072962,159.77206266715967
74,AGN,2018-03-29,166.33261260918655,167.5372,2860124,168.94089274466697,164.61035129835406
75,AGN,2018-03-28,160.2798007847872,164.909,3829159,167.60687739209175,160.2798007847872
76,AGN,2018-03-27,160.1503395459082,159.6028,2249138,162.78848463073854,158.0995550648703
77,AGN,2018-03-26,160.77758489388265,159.4834,3200680,161.32512465667918,155.00352921348315
78,AGN,2018-03-23,162.70888577878105,158.7666,2354600,163.93836126787062,158.54758412340107
79,AGN,2018-03-22,161.79296840939844,161.8527,2455333,164.1921872985607,161.275294624185
80,AGN,2018-03-21,163.06725265729997,162.9677,2075524,165.12799266340872,162.41020511912035
81,AGN,2018-03-20,165.62579878376727,162.8881,3914393,166.48195185796357,161.7731099498839
82,AGN,2018-03-19,167.23850567149816,165.5262,2834296,168.92721736368554,163.91344698382147
83,AGN,2018-03-16,166.05386221590908,168.2042,3681367,170.04592449100377,165.99413061079545
84,AGN,2018-03-15,166.47197940043344,165.3769,3641273,167.82579619738746,164.2419995304599
85,AGN,2018-03-14,162.5097877888184,166.3127,5032757,168.09469289476834,162.5097877888184
86,AGN,2018-03-13,158.47789325326306,162.46,4250323,163.86369262822478,158.0299062442552
87,AGN,2018-03-12,156.88506802600847,157.7014,2733848,159.32410868000758,156.81538115017995
88,AGN,2018-03-09,154.26677863682605,156.5764,3291115,156.7257289674466,153.1020126907426
89,AGN,2018-03-08,153.27124213680784,152.8133,3242909,153.77448072410422,150.832202495114
90,AGN,2018-03-07,148.6122248270461,152.5346,2927674,152.5943316016186,148.22396941652525
91,AGN,2018-03-06,148.58233129852033,150.0358,3305224,151.02137124278414,147.54698373034304
92,AGN,2018-03-05,142.778452726417,148.0647,4028970,148.980584650037,142.17118138237075
93,AGN,2018-03-02,146.52156315789472,143.3757,8464754,146.61116052631579,142.45981578947365
94,AGN,2018-03-01,150.08560358998582,147.5271,9340223,151.12095134624468,144.10248819083608
95,AGN,2018-02-28,160.18021715730777,153.5301,5928651,160.36936719621323,152.57439454026715
96,AGN,2018-02-27,163.96327365393034,159.1947,3250935,165.1479506159715,159.14492365705712
97,AGN,2018-02-26,160.66141570945948,164.2788,2694742,164.68513631756755,160.06677719594592
98,AGN,2018-02-23,160.0866040347955,160.6416,2566425,161.10740018508238,158.61982898389786
99,AGN,2018-02-22,158.27291919698868,157.9756,2761197,160.2154046173149,157.56926376411542
