,symbol,date,open,close,volume,high,low
0,AJG,2018-07-18,69.7,70.5,887276,70.54,69.55
1,AJG,2018-07-17,69.76,69.69,586010,69.87,69.19
2,AJG,2018-07-16,68.88,69.46,810786,69.57,68.82
3,AJG,2018-07-13,68.6,68.86,564305,68.925,68.41
4,AJG,2018-07-12,68.5,68.66,754796,68.71,68.1
5,AJG,2018-07-11,67.9,68.19,784224,68.33,67.87
6,AJG,2018-07-10,67.95,68.04,664712,68.11,67.71
7,AJG,2018-07-09,66.91,68.17,721448,68.23,66.91
8,AJG,2018-07-06,66.15,66.81,881937,67.22,66.01
9,AJG,2018-07-05,65.8,66.09,754150,66.12,65.4
10,AJG,2018-07-03,65.7,65.53,456975,66.36,65.44
11,AJG,2018-07-02,65.03,65.26,1026217,65.68,64.9968
12,AJG,2018-06-29,65.43,65.28,1891399,65.79,64.92
13,AJG,2018-06-28,64.77,65.12,712581,65.38,64.54
14,AJG,2018-06-27,65.89,64.77,685563,66.25,64.75
15,AJG,2018-06-26,66.45,66.03,632503,66.45,65.86
16,AJG,2018-06-25,66.62,66.38,959980,66.83,65.96
17,AJG,2018-06-22,66.0,66.74,3519848,67.14,65.72
18,AJG,2018-06-21,65.36,65.52,1342202,65.75,65.16
19,AJG,2018-06-20,66.11,65.55,936358,66.45,65.42
20,AJG,2018-06-19,65.85,66.02,903387,66.35,65.75
21,AJG,2018-06-18,65.85,66.39,1001440,66.56,65.47
22,AJG,2018-06-15,65.78,65.81,1618322,65.9,64.78
23,AJG,2018-06-14,66.52,65.98,741302,66.55,65.79
24,AJG,2018-06-13,66.5,66.16,942756,67.11,66.15
25,AJG,2018-06-12,67.3,66.37,711470,67.3,66.35
26,AJG,2018-06-11,67.91,67.24,833680,67.96,67.12
27,AJG,2018-06-08,67.23,67.78,527333,67.79,67.155
28,AJG,2018-06-07,67.0,67.24,552108,67.32,66.84
29,AJG,2018-06-06,66.58,66.91,721203,66.92,66.29
30,AJG,2018-06-05,66.34,66.4,534649,66.51,65.79
31,AJG,2018-06-04,66.56,66.47,699676,66.76,66.25
32,AJG,2018-06-01,66.93,66.23,1136391,67.09,66.2
33,AJG,2018-05-31,66.5,66.28,1418236,67.005,66.1
34,AJG,2018-05-30,65.82281107793372,66.5682,1226871,66.84647853090476,65.76317996416842
35,AJG,2018-05-29,66.52849194528875,65.3955,1038961,66.81670919452888,65.06752864741641
36,AJG,2018-05-25,67.5620868677906,67.2043,726778,67.68134915705413,66.8266360839988
37,AJG,2018-05-24,67.47259853264856,67.731,866404,67.76081555392517,67.25395113719735
38,AJG,2018-05-23,67.48257623878841,67.5919,582200,67.78073195118364,67.21423609763268
39,AJG,2018-05-22,67.6813459054887,67.7211,532936,67.97950161432347,67.52242891267979
40,AJG,2018-05-21,67.25400485978564,67.6913,613491,67.82944551020407,67.25400485978564
41,AJG,2018-05-18,66.55824309195913,67.1148,1179141,67.37320142159041,66.39922683251889
42,AJG,2018-05-17,66.06138922916044,66.5285,998586,66.68751643262623,65.81292605318195
43,AJG,2018-05-16,66.48867847493246,66.2104,745024,66.79677250075052,66.12095334734315
44,AJG,2018-05-15,66.81672554591684,66.449,793859,67.34346754412205,66.28998354771164
45,AJG,2018-05-14,68.54596978534418,67.1347,825602,68.7447401776462,67.0949459215396
46,AJG,2018-05-11,68.74475644457377,68.3174,765981,69.09260471341287,68.2180147803317
47,AJG,2018-05-10,68.35715096736932,68.8342,1026701,68.89383112907882,68.09874940802771
48,AJG,2018-05-09,68.36710080104865,68.2379,696436,68.63047166472474,67.58195747159918
49,AJG,2018-05-08,68.19815328190948,68.2876,920990,68.57581720273615,68.06895246688983
50,AJG,2018-05-07,68.48637622428281,68.5957,723959,68.93360985221675,68.17828194726165
51,AJG,2018-05-04,67.72111789962285,68.5162,815246,68.74478610385843,67.36333095445315
52,AJG,2018-05-03,67.78071324387398,68.1385,1374121,68.40932469734538,66.73716853850641
53,AJG,2018-05-02,68.29750815850817,68.218,2197956,69.3708682983683,66.60795979020979
54,AJG,2018-05-01,69.51995408382206,69.4802,1095772,69.62927781433272,68.67517980260334
55,AJG,2018-04-30,70.22558082583227,69.5597,841572,70.50385937991142,69.54976148021147
56,AJG,2018-04-27,69.53979645992636,70.1858,540795,70.3199699660153,69.38078020390824
57,AJG,2018-04-26,69.16213495657126,69.7982,989470,70.22555620105366,68.27760700555318
58,AJG,2018-04-25,69.11251643124821,68.9535,820101,69.41067223983858,68.26774164024215
59,AJG,2018-04-24,70.01692898217367,69.1324,703575,70.06662162162162,68.51621127084532
60,AJG,2018-04-23,69.53984431478582,69.838,725090,69.90756965988331,69.0429181727622
61,AJG,2018-04-20,69.79820142918395,69.5398,932362,69.97709472631128,69.0726897241675
62,AJG,2018-04-19,69.41059857346649,69.669,870197,69.9770940085592,69.21182824536378
63,AJG,2018-04-18,69.40073852764252,69.3908,865387,69.78834110570038,69.0528900601547
64,AJG,2018-04-17,69.43050894472361,69.2218,1052014,69.7485416223977,69.07272218234027
65,AJG,2018-04-16,68.53606720554272,68.8541,561834,69.45041148960739,68.42177417003464
66,AJG,2018-04-13,68.58575737034332,68.0292,847073,68.80440490869248,67.89999918188458
67,AJG,2018-04-12,67.83040584889147,68.1385,682991,68.5658564031505,67.70120507584598
68,AJG,2018-04-11,67.3831371050698,67.6316,665216,67.8800628949302,67.07504311535635
69,AJG,2018-04-10,67.85031474330847,67.9497,1110970,68.30748692408952,67.4627122422115
70,AJG,2018-04-09,66.92605324039745,67.0155,746328,67.95966024024914,66.68752854812396
71,AJG,2018-04-06,67.47258123416306,66.6775,934109,67.87012185124459,66.17063571322103
72,AJG,2018-04-05,68.21800894344585,68.0093,786940,68.40684084465876,67.76083697208826
73,AJG,2018-04-04,66.57816820175438,67.9795,1201354,68.09876228070175,66.39927478070175
74,AJG,2018-04-03,66.80677285187916,67.4329,1221927,67.61179347089168,66.57818675018423
75,AJG,2018-04-02,68.22797131147541,66.6875,1277401,68.32735655737706,65.66383196721311
76,AJG,2018-03-29,68.21805325185508,68.3075,1265477,68.69510257529464,67.61180306998399
77,AJG,2018-03-28,67.3533436803519,67.7807,944256,68.21799483870967,66.85651711246334
78,AJG,2018-03-27,67.97945091070636,67.1148,746146,68.33723749444692,66.70732083518438
79,AJG,2018-03-26,66.84646387219699,67.8105,1899142,67.86019258390738,66.36941506668622
80,AJG,2018-03-23,68.14844204528416,66.28,1291059,68.34721247563353,66.21043034937773
81,AJG,2018-03-22,69.33108333090273,68.1484,964685,69.89757870788975,68.1185844538428
82,AJG,2018-03-21,70.47406546179023,69.838,716153,70.60326625871639,69.80818443147858
83,AJG,2018-03-20,70.36470741002118,70.4144,741642,70.75230961185603,70.13612149611856
84,AJG,2018-03-19,70.60330346001136,70.0865,1043195,70.96357510280772,69.63926623652864
85,AJG,2018-03-16,70.30506007604562,70.5734,2451287,70.96100211237855,70.09635124630334
86,AJG,2018-03-15,70.67282528979361,70.3051,804181,70.74239493921404,70.07651400904723
87,AJG,2018-03-14,70.98091945151259,70.3051,844506,70.98091945151259,70.03675992366412
88,AJG,2018-03-13,71.69645084888452,70.8318,923221,71.71135862214116,70.69266078293812
89,AJG,2018-03-12,72.07411981592524,71.2691,997429,72.07411981592524,70.96100599637428
90,AJG,2018-03-09,70.85173778053147,72.1835,1646618,72.32263933636239,69.94236283216301
91,AJG,2018-03-08,69.50003781584583,69.6193,746241,69.68886960742327,68.92360392576731
92,AJG,2018-03-07,68.7447362760604,69.1224,707958,69.49012520488857,68.65032034507549
93,AJG,2018-03-06,69.34101623329981,69.182,836141,69.34101623329981,68.38691883350094
94,AJG,2018-03-05,67.94963148148149,69.2317,1187674,69.51991695377549,67.87012335630205
95,AJG,2018-03-02,67.52232633265365,68.2379,808513,68.33231596999708,67.21522596708418
96,AJG,2018-03-01,68.46650333479596,67.9497,1415155,69.1622001316367,67.4627122422115
97,AJG,2018-02-28,69.53036848502387,68.2757,940606,69.96505677904788,68.2757
98,AJG,2018-02-27,68.76966664761359,69.1352,1436077,70.43926493283794,68.75978736781936
99,AJG,2018-02-26,68.42383641055046,68.9178,926478,68.97707563073394,68.3744400516055
