,symbol,date,open,close,volume,high,low
0,ALGN,2018-07-16,365.0,362.28,326599,366.32,358.02
1,ALGN,2018-07-13,364.0,363.45,733989,368.9715,361.285
2,ALGN,2018-07-12,350.31,362.82,810244,363.0399,350.31
3,ALGN,2018-07-11,346.98,348.87,433562,352.4,345.5
4,ALGN,2018-07-10,350.0,351.45,594782,352.83,347.25
5,ALGN,2018-07-09,350.58,348.97,784886,354.12,345.44
6,ALGN,2018-07-06,341.39,347.47,642018,349.7,338.795
7,ALGN,2018-07-05,342.18,341.38,737493,343.229,333.57
8,ALGN,2018-07-03,341.1,338.68,475380,344.52,337.11
9,ALGN,2018-07-02,334.9,340.28,1047083,341.05,332.0133
10,ALGN,2018-06-29,345.71,342.14,937609,346.125,341.7
11,ALGN,2018-06-28,340.57,343.8,1262311,345.9,334.4364
12,ALGN,2018-06-27,352.42,342.78,1009813,356.4741,342.26
13,ALGN,2018-06-26,349.27,352.42,940213,357.69,348.3
14,ALGN,2018-06-25,350.0,346.3,1174116,350.47,341.28
15,ALGN,2018-06-22,361.57,353.27,1296514,363.96,347.15
16,ALGN,2018-06-21,365.66,359.6,1019538,369.0,359.15
17,ALGN,2018-06-20,368.01,364.7,794169,369.2,362.69
18,ALGN,2018-06-19,366.2,365.24,847541,369.08,358.67
19,ALGN,2018-06-18,361.01,370.1,874673,371.55,357.11
20,ALGN,2018-06-15,364.81,362.66,1143538,366.885,358.27
21,ALGN,2018-06-14,364.35,366.27,872402,370.47,363.7
22,ALGN,2018-06-13,356.0,363.49,1231819,365.76,354.59
23,ALGN,2018-06-12,349.6,354.25,861886,355.98,349.29
24,ALGN,2018-06-11,345.28,348.44,634959,349.785,343.72
25,ALGN,2018-06-08,337.03,346.67,774356,347.4399,333.0
26,ALGN,2018-06-07,346.86,339.32,1225350,347.85,333.3
27,ALGN,2018-06-06,347.25,346.37,768034,347.969,342.831
28,ALGN,2018-06-05,343.21,346.08,925154,346.55,341.54
29,ALGN,2018-06-04,335.54,343.2,794570,343.88,333.22
30,ALGN,2018-06-01,333.17,333.09,1081700,335.35,325.28
31,ALGN,2018-05-31,331.7,331.95,1421679,338.5,330.21
32,ALGN,2018-05-30,327.92,331.45,903312,333.34,327.225
33,ALGN,2018-05-29,318.19,326.18,1027815,326.815,317.86
34,ALGN,2018-05-25,318.08,318.54,1268089,322.6717,316.38
35,ALGN,2018-05-24,310.13,317.04,1354331,318.59,308.005
36,ALGN,2018-05-23,297.86,308.2,1243445,308.67,297.17
37,ALGN,2018-05-22,305.96,297.86,856189,306.11,294.0
38,ALGN,2018-05-21,300.0,302.46,853905,304.99,299.47
39,ALGN,2018-05-18,293.49,298.0,900783,299.46,292.76
40,ALGN,2018-05-17,289.52,292.72,927859,294.91,287.73
41,ALGN,2018-05-16,283.5,287.96,881111,292.82,281.61
