,symbol,date,open,close,volume,high,low
0,AN,2018-07-09,49.93,50.48,544939,50.54,49.25
1,AN,2018-07-06,49.03,49.73,833379,50.0,48.9
2,AN,2018-07-05,48.59,48.96,863637,49.02,47.68
3,AN,2018-07-03,48.42,48.27,308643,48.87,48.15
4,AN,2018-07-02,48.45,48.39,585525,48.5,47.64
5,AN,2018-06-29,49.24,48.58,1128596,49.55,48.46
6,AN,2018-06-28,48.72,49.14,912693,49.26,47.77
7,AN,2018-06-27,50.14,48.98,1121599,50.14,48.92
8,AN,2018-06-26,49.85,49.95,816373,50.09,48.92
9,AN,2018-06-25,49.96,49.82,1697936,50.14,48.76
10,AN,2018-06-22,51.05,50.18,1314509,51.99,50.13
11,AN,2018-06-21,50.97,50.48,867337,51.21,50.28
12,AN,2018-06-20,50.53,51.06,720500,51.33,50.12
13,AN,2018-06-19,49.07,50.22,703374,50.3,49.07
14,AN,2018-06-18,49.2,49.51,522539,49.75,49.14
15,AN,2018-06-15,48.91,49.42,815610,49.54,48.74
16,AN,2018-06-14,48.49,49.02,567380,49.11,48.25
17,AN,2018-06-13,49.71,48.46,788140,49.71,48.07
18,AN,2018-06-12,49.73,49.7,673472,50.04,49.31
19,AN,2018-06-11,49.33,49.61,464239,49.83,49.25
20,AN,2018-06-08,48.42,49.11,511569,49.205,48.34
21,AN,2018-06-07,49.0,48.44,1182488,49.79,48.08
22,AN,2018-06-06,47.73,48.91,755356,49.04,47.56
23,AN,2018-06-05,46.85,47.53,524333,47.7,46.39
24,AN,2018-06-04,46.61,46.89,652084,47.0,46.36
25,AN,2018-06-01,45.85,46.61,794853,46.99,45.635
26,AN,2018-05-31,46.62,45.66,4027344,46.72,45.43
27,AN,2018-05-30,46.41,46.53,861527,47.31,46.05
28,AN,2018-05-29,45.79,46.23,581115,46.5,45.65
29,AN,2018-05-25,45.9,46.15,459127,46.36,45.68
30,AN,2018-05-24,45.78,45.94,1310169,46.15,45.28
31,AN,2018-05-23,45.72,45.9,796428,46.03,45.33
32,AN,2018-05-22,47.52,45.79,503827,48.24,45.7
33,AN,2018-05-21,46.51,47.14,547122,47.37,46.35
34,AN,2018-05-18,47.37,46.21,884475,47.37,46.13
35,AN,2018-05-17,46.87,47.61,683518,48.18,46.67
36,AN,2018-05-16,46.35,46.91,682551,47.24,46.22
37,AN,2018-05-15,46.6,46.11,1044612,47.04,45.87
38,AN,2018-05-14,45.9,46.6,598908,46.77,45.55
39,AN,2018-05-11,45.87,46.02,659378,46.33,45.62
40,AN,2018-05-10,46.54,45.95,688341,46.725,45.72
41,AN,2018-05-09,47.64,46.61,920517,47.88,46.07
42,AN,2018-05-08,47.4,47.48,958541,48.3,47.28
43,AN,2018-05-07,47.61,47.55,920365,48.19,47.145
44,AN,2018-05-04,46.84,47.43,854370,48.16,46.62
45,AN,2018-05-03,47.15,47.13,1055941,48.0,46.72
46,AN,2018-05-02,46.5,47.14,1235154,47.65,46.1
47,AN,2018-05-01,45.22,46.52,2046519,47.09,42.945
48,AN,2018-04-30,46.33,46.19,1483568,46.82,46.0
49,AN,2018-04-27,45.95,46.29,959581,46.88,45.55
50,AN,2018-04-26,47.03,45.91,1013339,47.25,45.35
51,AN,2018-04-25,45.68,46.39,1142406,46.75,45.53
