,symbol,date,open,close,volume,high,low
0,ATVI,2018-07-09,77.7,76.84,4511687,77.99,75.93
1,ATVI,2018-07-06,76.2,77.19,2954209,77.48,76.02
2,ATVI,2018-07-05,76.51,76.19,7998765,76.81,75.685
3,ATVI,2018-07-03,77.68,75.88,2028270,77.68,75.72
4,ATVI,2018-07-02,75.36,77.28,3324929,77.325,75.0
5,ATVI,2018-06-29,76.44,76.32,5072620,77.24,76.08
6,ATVI,2018-06-28,74.0,76.01,4755234,76.19,73.66
7,ATVI,2018-06-27,75.77,73.42,4497366,75.89,73.4
8,ATVI,2018-06-26,75.32,75.27,4865448,76.42,74.43
9,ATVI,2018-06-25,75.19,74.7,5390769,75.4,74.14
10,ATVI,2018-06-22,76.46,75.98,3978784,76.56,75.215
11,ATVI,2018-06-21,77.17,76.05,4233816,77.9054,75.31
12,ATVI,2018-06-20,77.25,76.84,3566053,77.67,76.78
13,ATVI,2018-06-19,76.64,77.24,3735314,77.3,75.655
14,ATVI,2018-06-18,77.02,77.87,3993044,77.93,76.47
15,ATVI,2018-06-15,77.66,77.41,6596147,77.83,76.37
16,ATVI,2018-06-14,76.83,77.71,6717555,79.25,76.8
17,ATVI,2018-06-13,76.04,76.67,8634789,77.52,75.7
18,ATVI,2018-06-12,75.23,75.94,4311531,76.04,74.791
19,ATVI,2018-06-11,74.25,75.0,5108047,75.53,74.225
20,ATVI,2018-06-08,73.45,74.29,4672568,74.83,73.45
21,ATVI,2018-06-07,74.79,73.95,4686510,75.28,73.08
22,ATVI,2018-06-06,73.26,74.79,6638541,75.01,73.26
23,ATVI,2018-06-05,72.79,72.77,5354048,73.35,72.19
24,ATVI,2018-06-04,73.25,72.79,4134504,73.86,72.66
25,ATVI,2018-06-01,71.42,73.03,6388352,73.21,70.77
26,ATVI,2018-05-31,70.83,70.91,6050285,72.28,70.69
27,ATVI,2018-05-30,70.92,70.69,4093806,71.21,70.51
28,ATVI,2018-05-29,70.8,70.64,4855943,71.19,69.87
29,ATVI,2018-05-25,70.66,71.46,3705573,71.81,70.6
30,ATVI,2018-05-24,71.75,70.8,5526004,71.94,70.05
31,ATVI,2018-05-23,70.73,71.74,3809449,71.805,70.55
32,ATVI,2018-05-22,71.95,71.35,4008827,72.57,71.23
33,ATVI,2018-05-21,72.5,71.45,6392087,73.5,71.19
34,ATVI,2018-05-18,71.52,71.99,5673341,72.14,71.05
35,ATVI,2018-05-17,70.3,71.66,6447396,71.9,70.11
36,ATVI,2018-05-16,71.13,70.33,5029462,71.94,70.1
37,ATVI,2018-05-15,70.98,70.17,3896220,71.155,69.67
38,ATVI,2018-05-14,71.87,71.7,2964785,72.34,71.035
39,ATVI,2018-05-11,72.77,71.7,4996266,72.78,71.27
40,ATVI,2018-05-10,71.78,72.9,5069928,72.91,71.32
41,ATVI,2018-05-09,69.98,71.31,5664539,72.04,69.81
42,ATVI,2018-05-08,69.66,69.61,4059219,70.16,69.18
43,ATVI,2018-05-07,70.27,70.37,5744520,70.73,69.6
44,ATVI,2018-05-04,66.3,69.84,11358668,69.92,66.0228
45,ATVI,2018-05-03,68.49,66.82,22232009,71.03,64.06
46,ATVI,2018-05-02,67.94,68.39,7675147,68.89,67.66
47,ATVI,2018-05-01,66.15,67.8,4360295,67.99,65.59
48,ATVI,2018-04-30,65.86,66.35,5060767,66.6,65.28
49,ATVI,2018-04-27,66.69,65.79,4749705,67.3,65.51
50,ATVI,2018-04-26,65.26,66.34,4601529,66.695,64.93
51,ATVI,2018-04-25,65.38,64.82,3903632,65.76,64.01
52,ATVI,2018-04-24,66.62,65.34,4825775,67.24,64.71
53,ATVI,2018-04-23,66.6,66.23,4423568,67.84,65.965
54,ATVI,2018-04-20,67.44,66.3,4759437,67.47,65.96
55,ATVI,2018-04-19,68.25,67.68,4564284,68.72,67.44
56,ATVI,2018-04-18,68.75,68.69,4257371,69.01,67.97
57,ATVI,2018-04-17,67.25,68.28,5676297,68.52,67.1
58,ATVI,2018-04-16,66.53,66.56,5717845,66.85,65.76
59,ATVI,2018-04-13,67.46,65.88,4842582,67.59,65.29
60,ATVI,2018-04-12,66.25,67.22,4614940,67.58,65.8
61,ATVI,2018-04-11,65.8,65.85,3140316,66.77,65.71
62,ATVI,2018-04-10,66.96,66.52,6354661,67.05,65.3
63,ATVI,2018-04-09,65.16,65.77,6588199,66.77,64.96
64,ATVI,2018-04-06,65.85,64.56,4599116,66.36,64.13
65,ATVI,2018-04-05,67.2,66.53,4489722,67.66,66.15
66,ATVI,2018-04-04,63.955,66.27,5231650,66.52,63.52
67,ATVI,2018-04-03,65.39,65.48,7186376,65.86,64.09
68,ATVI,2018-04-02,66.8,65.09,9041779,67.23,64.0918
69,ATVI,2018-03-29,66.34,67.46,11704314,68.01,64.92
70,ATVI,2018-03-28,65.93,65.97,10463557,66.54,64.45
71,ATVI,2018-03-27,70.3076416804948,65.9501,7134493,70.3076416804948,65.22384305325087
72,ATVI,2018-03-26,69.07403254851599,69.7207,4664390,69.78039238013699,68.07915954623287
73,ATVI,2018-03-23,69.50176728395061,67.6911,5237847,70.15838289241623,67.67120255731922
74,ATVI,2018-03-22,70.26783900516054,69.4023,5057479,71.25773706278669,69.28788967173163
75,ATVI,2018-03-21,70.83490238793465,71.2428,4714769,72.25756966904063,70.74536388772518
76,ATVI,2018-03-20,70.97425380411937,71.0041,3849084,71.7104599691747,70.476817206109
77,ATVI,2018-03-19,70.63595636875439,70.6857,7787476,71.78005988740324,69.45205794510908
78,ATVI,2018-03-16,73.49127197265625,71.3125,10308708,73.5211181640625,71.24285888671874
