,symbol,date,open,close,volume,high,low
0,BABA,2018-07-09,194.45,192.75,15444674,194.69,190.87
1,BABA,2018-07-06,186.01,192.27,17035621,192.49,185.54
2,BABA,2018-07-05,187.17,186.88,18412131,187.44,182.9
3,BABA,2018-07-03,187.88,184.75,11673699,188.5,184.36
4,BABA,2018-07-02,181.66,186.36,17325917,186.36,181.06
5,BABA,2018-06-29,185.36,185.53,26023406,188.97,184.26
6,BABA,2018-06-28,183.2,188.38,19553796,188.96,182.04
7,BABA,2018-06-27,193.46,185.02,23872564,193.6,184.89
8,BABA,2018-06-26,193.34,191.42,20740355,193.66,188.42
9,BABA,2018-06-25,197.85,191.25,32750867,198.1,187.86
10,BABA,2018-06-22,203.38,202.01,9623582,203.8,200.25
11,BABA,2018-06-21,205.84,202.21,13963829,206.0,201.04
12,BABA,2018-06-20,205.05,206.23,15559583,207.23,205.02
13,BABA,2018-06-19,203.53,204.43,24484164,204.51,199.5
14,BABA,2018-06-18,205.16,208.57,14645182,208.6,203.88
15,BABA,2018-06-15,207.49,208.0,28665573,210.08,206.01
16,BABA,2018-06-14,207.72,210.86,18838274,211.12,207.51
17,BABA,2018-06-13,209.44,206.62,13844190,209.65,206.6
18,BABA,2018-06-12,206.95,209.08,15910860,209.8,206.9
19,BABA,2018-06-11,206.5,205.7,12061370,207.6,205.01
20,BABA,2018-06-08,201.11,205.07,17525218,206.23,200.43
21,BABA,2018-06-07,207.46,203.62,26747768,209.0,200.88
22,BABA,2018-06-06,209.86,208.3,13800519,210.46,207.2893
23,BABA,2018-06-05,209.95,208.37,17787704,211.7,207.13
24,BABA,2018-06-04,205.12,208.95,19357012,209.75,204.73
25,BABA,2018-06-01,199.5,204.34,23131917,204.99,199.45
26,BABA,2018-05-31,198.0,198.01,17982536,199.48,196.85
27,BABA,2018-05-30,199.7,197.98,13930634,200.54,197.5
28,BABA,2018-05-29,197.94,198.0,18768743,202.28,197.0
29,BABA,2018-05-25,197.57,199.2,21269952,201.5,197.21
30,BABA,2018-05-24,198.12,197.37,18527694,199.72,195.6974
31,BABA,2018-05-23,193.88,196.8,12807376,196.9,192.8011
32,BABA,2018-05-22,198.3,195.87,9700121,198.6274,195.7
33,BABA,2018-05-21,197.8,197.64,13830526,199.79,196.4
34,BABA,2018-05-18,196.43,195.0,14242305,197.78,194.72
35,BABA,2018-05-17,196.0,196.02,13470547,198.43,195.57
36,BABA,2018-05-16,196.75,198.11,12887456,199.75,196.3
37,BABA,2018-05-15,195.23,196.61,12694857,196.78,193.86
38,BABA,2018-05-14,195.9,198.64,17627130,200.0,195.87
39,BABA,2018-05-11,196.4,194.36,12741110,196.46,193.38
40,BABA,2018-05-10,196.3,195.96,21295038,199.77,195.16
41,BABA,2018-05-09,195.84,195.43,13780627,197.38,194.5
42,BABA,2018-05-08,194.2,196.31,21856348,197.34,193.01
43,BABA,2018-05-07,190.41,195.35,29862192,196.6,190.3
44,BABA,2018-05-04,180.4,188.89,57788340,190.6,178.62
45,BABA,2018-05-03,183.5,182.45,26257648,183.59,175.77
46,BABA,2018-05-02,180.8,181.45,20681841,184.264,180.11
