,symbol,date,open,close,volume,high,low
0,BHP,2018-07-18,49.09,49.84,2217301,49.98,48.975
1,BHP,2018-07-17,48.05,48.73,2158966,48.89,47.97
2,BHP,2018-07-16,48.67,48.48,2119653,48.71,48.065
3,BHP,2018-07-13,49.09,49.12,1978816,49.21,48.68
4,BHP,2018-07-12,49.39,49.65,2446837,49.67,49.04
5,BHP,2018-07-11,49.64,48.97,3847852,49.67,48.74
6,BHP,2018-07-10,50.72,51.18,2070847,51.22,50.65
7,BHP,2018-07-09,50.27,50.83,1932191,51.005,50.16
8,BHP,2018-07-06,48.6,49.58,2308482,50.0,48.485
9,BHP,2018-07-05,48.93,48.69,2213600,49.1,48.51
10,BHP,2018-07-03,49.77,48.71,1670492,49.8,48.62
11,BHP,2018-07-02,48.74,48.57,3031015,48.98,48.255
12,BHP,2018-06-29,50.36,50.01,1389051,50.7523,49.92
13,BHP,2018-06-28,49.1,50.02,4189114,50.07,48.95
14,BHP,2018-06-27,49.2,49.31,4508924,50.14,49.16
15,BHP,2018-06-26,48.07,48.83,4752280,49.02,47.909
16,BHP,2018-06-25,47.88,47.64,3111395,47.97,47.34
17,BHP,2018-06-22,48.89,48.93,2705623,49.13,48.46
18,BHP,2018-06-21,47.81,47.88,1859522,48.12,47.65
19,BHP,2018-06-20,47.99,47.77,1995271,48.06,47.45
20,BHP,2018-06-19,47.37,47.64,2728447,47.7684,47.1
21,BHP,2018-06-18,48.31,48.97,1863657,49.079,48.2
22,BHP,2018-06-15,49.29,48.7,3335137,49.32,48.33
23,BHP,2018-06-14,50.71,50.36,1449604,50.985,50.305
24,BHP,2018-06-13,50.92,50.69,2372199,51.1712,50.58
25,BHP,2018-06-12,51.19,51.14,1900798,51.44,50.88
26,BHP,2018-06-11,51.84,51.83,780320,52.02,51.6
27,BHP,2018-06-08,51.58,51.67,1229547,51.78,51.39
28,BHP,2018-06-07,51.7,51.76,2757451,52.17,51.547
29,BHP,2018-06-06,51.23,51.95,2852180,51.96,51.23
30,BHP,2018-06-05,50.38,50.56,1742768,50.63,50.31
31,BHP,2018-06-04,50.56,50.19,1380228,50.7,50.13
32,BHP,2018-06-01,50.31,50.24,1907275,50.47,50.05
33,BHP,2018-05-31,49.82,49.78,2011718,50.045,49.53
34,BHP,2018-05-30,48.8,49.43,1767092,49.645,48.62
35,BHP,2018-05-29,48.36,48.14,2064120,48.8,47.95
36,BHP,2018-05-25,49.9,49.02,3588223,49.9,48.89
37,BHP,2018-05-24,50.37,50.88,2160311,50.935,50.15
38,BHP,2018-05-23,50.7,50.99,2333980,51.02,50.21
39,BHP,2018-05-22,51.96,51.14,2941060,52.14,51.1
40,BHP,2018-05-21,51.31,51.49,1650213,51.7272,51.235
41,BHP,2018-05-18,50.9,50.81,1564955,51.135,50.535
42,BHP,2018-05-17,51.36,51.38,2538843,51.705,51.1
43,BHP,2018-05-16,51.42,51.47,2603153,51.83,51.4
44,BHP,2018-05-15,50.51,50.67,2856717,50.87,50.22
45,BHP,2018-05-14,50.95,51.19,2223201,51.52,50.95
46,BHP,2018-05-11,50.69,50.41,2890746,50.99,50.37
47,BHP,2018-05-10,49.41,49.88,2527495,49.96,49.24
48,BHP,2018-05-09,48.31,49.15,2581724,49.205,48.25
49,BHP,2018-05-08,47.69,47.59,1323336,47.69,47.1
50,BHP,2018-05-07,48.26,47.85,1546406,48.4,47.69
51,BHP,2018-05-04,47.56,48.27,1987584,48.45,47.41
52,BHP,2018-05-03,47.3,47.65,2220814,47.82,46.86
53,BHP,2018-05-02,47.0,46.95,1588657,47.43,46.86
54,BHP,2018-05-01,46.38,46.3,1588689,46.42,45.6852
55,BHP,2018-04-30,46.63,46.75,1651805,47.12,46.58
56,BHP,2018-04-27,46.66,46.53,2166295,46.74,46.325
57,BHP,2018-04-26,47.74,47.41,1186681,47.79,47.19
58,BHP,2018-04-25,47.29,47.25,1259457,47.42,46.84
59,BHP,2018-04-24,48.09,47.57,2483972,48.38,47.21
60,BHP,2018-04-23,47.41,47.25,1742348,47.665,47.1052
61,BHP,2018-04-20,48.0,47.7,2705918,48.03,47.57
62,BHP,2018-04-19,48.25,47.75,2680412,48.48,47.58
63,BHP,2018-04-18,47.81,48.13,4683179,48.64,47.8
64,BHP,2018-04-17,46.58,46.67,2166082,46.745,46.4
65,BHP,2018-04-16,47.05,46.28,3109861,47.1,46.02
66,BHP,2018-04-13,46.75,46.8,3725780,47.01,46.64
