,symbol,date,open,close,volume,high,low
0,CAH,2018-07-18,49.94,49.49,2235850,50.1899,49.49
1,CAH,2018-07-17,50.74,49.97,2280861,50.82,49.93
2,CAH,2018-07-16,50.99,50.71,1568583,51.25,50.52
3,CAH,2018-07-13,49.96,50.8,3035446,51.63,49.85
4,CAH,2018-07-12,50.27,50.26,3528175,50.53,49.76
5,CAH,2018-07-11,49.5,49.96,3478891,50.23,48.85
6,CAH,2018-07-10,50.54,50.17,3704152,50.73,49.89
7,CAH,2018-07-09,50.36,50.26,3849889,51.01,50.07
8,CAH,2018-07-06,50.1,49.94,4756042,50.4,49.54
9,CAH,2018-07-05,49.86,50.04,3663037,50.45,49.57
10,CAH,2018-07-03,49.23,49.5,1857763,50.25,49.16
11,CAH,2018-07-02,48.9,49.15,3679364,49.67,48.6
12,CAH,2018-06-29,49.84,48.83,3545331,49.9,48.78
13,CAH,2018-06-28,50.11117808219179,49.8834,6511653,50.50731387730793,47.81359047051817
14,CAH,2018-06-27,52.626671415076515,52.4187,2028333,53.19116525599849,52.09188777630833
15,CAH,2018-06-26,52.8841271567892,52.8049,1779275,53.17132560015004,52.21069632408102
16,CAH,2018-06-25,53.36938663292088,52.8247,1693268,53.76552236595425,52.38895069366329
17,CAH,2018-06-22,53.37937273064097,53.4586,2998333,53.88444657280474,53.260531826602445
18,CAH,2018-06-21,53.85468554351886,53.0228,1745470,53.89122908703772,52.90395920806873
19,CAH,2018-06-20,53.5971559078341,53.7259,1828803,53.91406444239631,53.01285579723503
20,CAH,2018-06-19,52.15131024029574,53.5774,3819029,53.87450203327171,52.15131024029574
21,CAH,2018-06-18,53.8645720754717,52.488,4830957,54.08244679245283,52.13147773584906
22,CAH,2018-06-15,54.013128657534246,54.2211,5362809,54.54791210958904,53.80515731506849
23,CAH,2018-06-14,53.725974002197,54.0924,3350408,54.483584511168075,53.26051395093373
24,CAH,2018-06-13,54.02301881918819,53.6764,3141791,54.38944442804428,53.52784907749077
25,CAH,2018-06-12,53.33970535947712,53.0327,3187617,53.44864274509804,52.76530823529412
26,CAH,2018-06-11,52.795029957257015,53.2902,1067072,53.67643263333953,52.567251737595235
27,CAH,2018-06-08,52.39885072164948,52.8346,1939265,52.87421357075914,52.12155572633552
28,CAH,2018-06-07,53.032703966005656,52.4385,3850990,53.25057875354107,52.22062521246458
29,CAH,2018-06-06,52.488016436309294,53.0228,1819601,53.131737392603654,52.22062465446395
30,CAH,2018-06-05,52.319706816890736,52.2999,2683244,52.80497383071388,51.99289433819352
31,CAH,2018-06-04,52.22063060410334,52.1315,2038062,52.51773261778116,51.88391498860182
32,CAH,2018-06-01,52.50782236992025,52.1513,2490943,52.86434473984049,51.81458442840866
33,CAH,2018-05-31,52.032452908427715,51.5868,4457436,52.10177669418314,51.47786262238432
34,CAH,2018-05-30,51.428320167746854,51.9532,3012154,52.121557682043466,51.051991231414405
35,CAH,2018-05-29,51.70565644444445,51.2501,2632166,51.96314486956522,50.586572135265705
36,CAH,2018-05-25,51.85417284515637,51.9334,2750196,52.7058647597254,51.59668459191457
37,CAH,2018-05-24,51.91359321128909,51.9334,3562620,52.67615457665904,50.903446987032794
38,CAH,2018-05-23,52.289937369519826,52.181,2631821,52.5078121085595,51.83438109698235
39,CAH,2018-05-22,52.60689880749574,52.3197,3066807,52.91390442930153,52.06221141396934
40,CAH,2018-05-21,53.092163523433086,52.6168,3235875,53.547720233389796,52.517765932618104
41,CAH,2018-05-18,53.9536903056441,52.8148,3907698,54.037869154322145,52.71576606037877
42,CAH,2018-05-17,53.95375107675317,53.8052,2368725,54.0824953432726,53.053531551628936
43,CAH,2018-05-16,53.68629818381949,53.9834,2123755,54.40429423958907,53.5575540634746
44,CAH,2018-05-15,54.38950655312846,53.4982,2837176,54.627188300629385,53.37935912624953
45,CAH,2018-05-14,54.904495431472085,54.6272,2923162,55.21150108774475,54.0329955039884
46,CAH,2018-05-11,54.04285182640145,54.7658,3948199,55.201549584086806,53.21096625678119
47,CAH,2018-05-10,52.616752941176465,54.2112,4934907,55.38970434782608,52.51771896236755
48,CAH,2018-05-09,52.190879643669454,52.2503,4046642,52.99305445413192,51.84426089840789
49,CAH,2018-05-08,52.12154407619048,51.9928,3978368,52.39883900952381,51.21043215238095
50,CAH,2018-05-07,52.507784801970814,52.2602,4856556,53.181215463331434,51.9581465415956
51,CAH,2018-05-04,50.51722088285229,52.4979,7400464,52.85442224108659,50.507317487266555
52,CAH,2018-05-03,53.36945230314961,50.3093,15594299,55.05303124015749,50.299396594488194
53,CAH,2018-05-02,62.926222273781896,64.0255,4818845,65.80811252900232,62.68854060324825
54,CAH,2018-05-01,63.05492377358491,62.9856,1811367,63.47086641509434,62.099246037735846
55,CAH,2018-04-30,65.09502996727443,63.5501,2393437,65.16435374785725,63.540196602773875
56,CAH,2018-04-27,63.52042825888788,65.1842,1909302,65.34760615314495,63.52042825888788
57,CAH,2018-04-26,63.40154226515033,63.5699,2055088,63.758064527184914,62.53994679856675
58,CAH,2018-04-25,61.45058352996696,62.9559,3073097,63.223291741387456,61.45058352996696
59,CAH,2018-04-24,63.064848749198205,61.7576,3131896,64.2631601026299,61.252526619627965
60,CAH,2018-04-23,61.698227258116354,61.619,2323670,62.292431693989066,61.25257393121183
61,CAH,2018-04-20,61.81701897857258,61.4704,2696522,62.1339277589818,60.589195522474625
62,CAH,2018-04-19,62.7776674530573,61.7081,1758794,62.78757085540042,61.302060503931955
63,CAH,2018-04-18,62.876664141493194,63.2728,2279509,64.05516832055095,62.38149431835968
