,symbol,date,open,close,volume,high,low
0,CBS,2018-07-18,58.02,58.22,2102980,58.5569,57.88
1,CBS,2018-07-17,58.4,58.02,1851296,58.81,57.63
2,CBS,2018-07-16,59.01,58.83,2507240,59.07,58.42
3,CBS,2018-07-13,58.9,59.01,1143855,59.06,58.59
4,CBS,2018-07-12,59.45,59.12,1718537,59.515,59.01
5,CBS,2018-07-11,58.39,59.3,4434191,59.59,57.99
6,CBS,2018-07-10,58.58,58.74,2454697,58.94,57.9
7,CBS,2018-07-09,58.2,58.37,2437069,58.41,57.34
8,CBS,2018-07-06,57.06,58.15,2642039,58.25,57.0
9,CBS,2018-07-05,55.98,56.9,2019977,56.96,55.86
10,CBS,2018-07-03,56.08,55.64,888084,56.35,55.51
11,CBS,2018-07-02,55.97,55.98,1766741,56.29,55.495
12,CBS,2018-06-29,56.12,56.22,2435378,56.745,55.8
13,CBS,2018-06-28,56.0,56.13,2238956,56.26,55.11
14,CBS,2018-06-27,56.14,55.71,2490410,56.589,55.64
15,CBS,2018-06-26,56.11,55.86,2412938,56.268,55.39
16,CBS,2018-06-25,56.63,56.24,3253695,56.97,55.615
17,CBS,2018-06-22,56.78,56.7,5919278,56.99,56.37
18,CBS,2018-06-21,57.87,56.4,3639108,58.17,56.24
19,CBS,2018-06-20,57.0,58.2,4075166,58.5,57.0
20,CBS,2018-06-19,55.71,56.46,3480437,56.74,55.55
21,CBS,2018-06-18,56.0,56.31,4023702,56.95,55.9392
22,CBS,2018-06-15,55.16,56.11,4680676,56.35,55.16
23,CBS,2018-06-14,54.59,55.12,2948789,55.34,54.58
24,CBS,2018-06-13,54.1,54.26,6966018,55.015,53.55
25,CBS,2018-06-12,52.22,52.38,1987269,52.455,51.95
26,CBS,2018-06-11,51.07,51.99,4556608,52.35,51.05
27,CBS,2018-06-08,51.0,51.13,1985058,51.43,50.9395
28,CBS,2018-06-07,50.75,51.01,4457901,51.6017,50.5462
29,CBS,2018-06-06,50.21277924565561,50.4619,4369180,50.62133728278041,49.61488943522907
30,CBS,2018-06-05,50.12315389209636,50.0534,2243554,50.25269683456103,49.70463053951823
31,CBS,2018-06-04,49.923835162642185,49.9338,2444430,50.003553861504685,49.774362602275
32,CBS,2018-06-01,50.32247198879552,49.8043,2108119,50.38226106442578,49.69468669467787
33,CBS,2018-05-31,50.820684931506854,50.1929,5211473,50.92033333333334,49.684693150684936
34,CBS,2018-05-30,50.48190384540309,51.0499,3598549,51.32891565488971,50.12316943197345
35,CBS,2018-05-29,50.501758026656056,50.0932,3026569,50.79073809429083,49.883938571712754
36,CBS,2018-05-25,50.45199536982539,50.7908,1987344,51.26173843594271,50.442030527761425
37,CBS,2018-05-24,50.541678102766795,50.4221,2515421,50.71108041501976,50.07333053359683
38,CBS,2018-05-23,51.01000902791526,50.3324,3718279,51.24418273609186,50.19289225895862
39,CBS,2018-05-22,51.84700628881987,51.3388,1980390,52.09612701863354,51.308905512422356
40,CBS,2018-05-21,52.17593446153846,51.8172,3563978,52.395161076923074,51.64779761538462
41,CBS,2018-05-18,51.438457198067624,51.568,5354984,52.46483478260869,51.169406763285025
42,CBS,2018-05-17,52.91326002712653,51.4285,11988745,53.71044661887231,49.7743378221275
43,CBS,2018-05-16,54.32827352777262,53.6407,4001139,54.43788669886681,53.222176983094926
44,CBS,2018-05-15,54.17877585446527,54.2286,6122269,55.30480154355017,53.78018269018743
45,CBS,2018-05-14,52.913234482758625,53.4613,9292673,55.274898620689655,52.38509862068966
46,CBS,2018-05-11,52.1559330159939,52.3353,2489509,52.40505382711348,51.75733971820258
47,CBS,2018-05-10,51.49825076452599,52.136,1764877,52.20575382262997,51.169411314984714
48,CBS,2018-05-09,51.109627507776054,51.2591,1655779,51.73741197511664,50.810682523328154
49,CBS,2018-05-08,52.2356558221182,51.0897,2854324,52.54456565242832,50.7010715038034
50,CBS,2018-05-07,52.783766291491794,52.2357,4781997,52.83359049980923,51.35879393361312
51,CBS,2018-05-04,49.82414895617829,52.983,8772506,53.09261312770359,49.20632950912169
52,CBS,2018-05-03,48.757931842429215,48.5686,3956043,48.947263684858434,47.37281994255232
53,CBS,2018-05-02,49.34583596652378,48.8177,2429580,49.88393676260461,48.68815721575832
54,CBS,2018-05-01,48.967252247530745,49.4356,2262106,49.465494537391656,48.359396653900426
55,CBS,2018-04-30,50.003554065040646,49.027,2281527,50.003554065040646,48.97717581300813
56,CBS,2018-04-27,50.01352645587352,49.7943,4060685,50.1032100060036,49.2960580548329
57,CBS,2018-04-26,50.19290459724166,49.8541,1746613,50.41402442114732,49.69466254247451
58,CBS,2018-04-25,49.764387901626336,50.2427,2375919,50.64129341531138,49.51526701705672
59,CBS,2018-04-24,49.7744,49.7744,2477684,50.41215007007007,49.40570074074074
60,CBS,2018-04-23,49.18643073828204,49.5352,2307733,49.854074753570714,49.04692303359485
61,CBS,2018-04-20,50.82062639367525,49.1565,4512591,50.84055605108453,48.86751996756538
62,CBS,2018-04-19,51.07970967615309,50.7708,2446930,51.80714213935231,50.75087034347399
63,CBS,2018-04-18,51.129607797537616,50.9901,1281275,51.66770930232558,50.97017031463748
64,CBS,2018-04-17,50.89044610872116,50.9602,2222071,51.41360029331247,50.362309503324205
65,CBS,2018-04-16,50.15300451866405,50.721,3180953,50.980085658153236,49.70458703339882
66,CBS,2018-04-13,50.00351312162972,49.8939,2951414,51.169398142600365,49.58997270820851
67,CBS,2018-04-12,50.970167798641626,49.884,6522450,51.06483379944067,49.475441470235715
68,CBS,2018-04-11,51.5580326210547,50.8306,6767605,52.155922446579105,49.99355424426583
69,CBS,2018-04-10,52.90328862240983,51.9367,3985517,53.0228665963162,51.896840675364544
70,CBS,2018-04-09,52.79374297067171,52.6642,2654273,53.082723443708616,52.415078902554406
71,CBS,2018-04-06,52.45490325510977,52.6542,3243094,53.122547350492056,51.96662623012869
72,CBS,2018-04-05,53.51121728441755,52.6941,6397705,53.680619648260205,52.34533042738275
73,CBS,2018-04-04,51.73747402862986,53.6009,6509032,53.700548447666854,51.40863415132925
74,CBS,2018-04-03,51.50821469920545,52.6741,5425411,52.823572474460846,50.910324801362094
75,CBS,2018-04-02,51.2192739104713,50.5317,3175222,51.328887142575425,50.148053687635574
76,CBS,2018-03-29,51.71750671336836,51.2093,4046088,51.89687378867484,50.47190202374003
77,CBS,2018-03-28,52.24566630686199,51.6976,3730243,53.242150501156516,51.46840863531226
78,CBS,2018-03-27,51.83706051575931,52.1659,4249077,52.614317478510024,51.448432034383956
79,CBS,2018-03-26,49.68463633197911,51.5082,4721249,51.577953801509,49.43551561230412
80,CBS,2018-03-23,50.21286283742643,49.0968,2817457,50.77089425613964,49.0669054597118
81,CBS,2018-03-22,50.31249138479905,50.0833,2484498,50.76090931157979,50.05340547154795
82,CBS,2018-03-21,50.07328042068017,50.6911,2815177,51.03986911735797,49.93377277373698
83,CBS,2018-03-20,50.73101478312773,50.0833,2601063,50.82069836848389,49.903932829287704
84,CBS,2018-03-19,50.78077244636883,50.6313,3741040,51.07971733910647,49.96365640621925
85,CBS,2018-03-16,50.960131736997056,50.7708,5103782,51.518162119725226,50.75087034347399
86,CBS,2018-03-15,51.2690580916928,50.8605,2531306,51.59789753134797,50.45194190830722
87,CBS,2018-03-14,51.59790649502633,51.0897,3212624,51.93671082504388,50.9003681685196
88,CBS,2018-03-13,52.26556599229288,51.7175,5224160,52.514686897880544,51.54809778420039
89,CBS,2018-03-12,52.09613516924842,52.1061,8700448,52.65416569133678,51.91676821572002
90,CBS,2018-03-09,52.70400316213109,51.9965,8597635,53.01291299348409,50.36226734380989
91,CBS,2018-03-08,51.81712115457653,52.4748,2073444,52.559501063425756,51.81712115457653
92,CBS,2018-03-07,52.524509902130106,51.7499,3806027,52.703266033390896,51.44204221838418
93,CBS,2018-03-06,53.09051035130565,52.8621,3460589,53.378506011647566,51.70515191621266
94,CBS,2018-03-05,52.73304231417338,53.0409,2390342,53.428204830556076,52.633733383261564
95,CBS,2018-03-02,51.54131376594149,52.9515,3410997,53.07067066766692,51.41221220930233
96,CBS,2018-03-01,52.68340424102858,51.7499,2594559,52.792644099021295,51.29307877566685
97,CBS,2018-02-28,53.815468019633755,52.6039,3077894,54.06374015480461,52.58403822918634
98,CBS,2018-02-27,55.215779870729456,53.7758,2437046,55.692462862419205,53.755938208679595
99,CBS,2018-02-26,54.8681716954023,55.2952,1977186,55.43423247126437,54.34679992816093
