,symbol,date,open,close,volume,high,low
0,CCL,2018-07-16,58.23,58.4,2178062,58.57,57.63
1,CCL,2018-07-13,58.02,58.05,3241003,58.62,57.91
2,CCL,2018-07-12,58.31,58.4,3451785,58.55,58.01
3,CCL,2018-07-11,58.0,57.99,5568871,58.4598,57.485
4,CCL,2018-07-10,57.53,58.82,6025528,58.86,57.35
5,CCL,2018-07-09,57.5,57.94,4122736,58.01,57.25
6,CCL,2018-07-06,56.93,57.55,4357579,58.0,56.73
7,CCL,2018-07-05,57.07,56.89,4248793,57.15,56.525
8,CCL,2018-07-03,57.14,56.76,4037378,57.175,56.45
9,CCL,2018-07-02,56.83,57.15,5315088,57.44,56.55
10,CCL,2018-06-29,57.16,57.31,4986132,58.14,57.07
11,CCL,2018-06-28,58.1,57.16,5906188,58.19,56.79
12,CCL,2018-06-27,60.3,58.07,5691441,60.3,58.05
13,CCL,2018-06-26,58.54,59.76,6526342,60.0,58.0005
14,CCL,2018-06-25,60.19,58.54,16789966,60.51,56.95
15,CCL,2018-06-22,62.66,63.53,5180944,63.75,62.6
16,CCL,2018-06-21,62.92,62.4,2829446,63.49,62.175
17,CCL,2018-06-20,63.92,63.0,3974673,64.0,62.63
18,CCL,2018-06-19,63.96,63.47,3106807,64.15,63.065
19,CCL,2018-06-18,64.28,64.45,3604814,64.55,63.98
20,CCL,2018-06-15,64.0,65.18,5509708,65.255,63.43
21,CCL,2018-06-14,64.45,64.2,5777130,65.42,63.81
22,CCL,2018-06-13,62.47,63.83,6936707,63.89,62.39
23,CCL,2018-06-12,61.29,62.17,4348436,62.46,61.24
24,CCL,2018-06-11,61.0,61.14,2225278,61.54,61.0
25,CCL,2018-06-08,61.03,60.94,2878573,61.16,60.47
26,CCL,2018-06-07,61.37,61.33,4265803,61.94,61.0
27,CCL,2018-06-06,60.37,61.45,4817158,61.5,60.3
28,CCL,2018-06-05,60.68,60.59,11535326,61.73,60.49
29,CCL,2018-06-04,63.39,63.34,2827859,63.58,63.04
30,CCL,2018-06-01,62.68,63.17,3127291,63.22,62.61
31,CCL,2018-05-31,63.04,62.28,8064163,63.2,62.14
32,CCL,2018-05-30,62.66,62.88,3175405,63.1,62.35
33,CCL,2018-05-29,63.69,62.55,4545372,63.74,62.22
34,CCL,2018-05-25,64.08,64.25,3637581,64.63,64.07
35,CCL,2018-05-24,64.35,64.15,3276151,64.535,63.71
36,CCL,2018-05-23,64.36833064316636,64.1798,3523365,64.82477325293753,63.53482674706246
37,CCL,2018-05-22,64.37821478862412,64.5469,2800039,64.86442510376634,64.20952957724826
38,CCL,2018-05-21,64.4774759610931,64.2691,2252634,65.00337719623282,64.08056936853481
39,CCL,2018-05-18,64.4079585903763,64.3385,2627331,64.50718514805675,63.69789334361505
40,CCL,2018-05-17,65.03313171860539,64.3187,2679663,65.07272314301143,64.07063343103981
41,CCL,2018-05-16,64.7750922089826,64.9537,2920295,65.48952337305225,64.6064070730217
42,CCL,2018-05-15,64.45760147284442,64.6759,3744974,64.83466256520404,64.14999900276159
43,CCL,2018-05-14,63.505041653810565,64.3187,2552688,64.6759158593027,63.281781741746386
44,CCL,2018-05-11,63.5249,63.5249,2542370,63.95157458606687,63.02876676038739
45,CCL,2018-05-10,63.495141336247265,63.5646,2256556,64.08057864502028,63.465373337496096
46,CCL,2018-05-09,63.008880375293195,63.4554,3239432,63.475245316653634,62.731045942142295
47,CCL,2018-05-08,62.74098128266033,62.6616,3589788,63.49510346793349,62.46314679334917
48,CCL,2018-05-07,63.14780886699508,62.4433,3319443,63.14780886699508,62.09600689655173
49,CCL,2018-05-04,62.51280792826805,63.0784,2228487,63.311582696240364,62.11590121126318
50,CCL,2018-05-03,62.49287507109005,62.8104,4182749,62.850090616113754,61.79312950900474
51,CCL,2018-05-02,63.74314933969769,62.3639,3822580,63.931679824980115,62.19521482895784
52,CCL,2018-05-01,62.75092821712681,63.6142,4537245,63.64396799251287,62.423480299485256
53,CCL,2018-04-30,64.5072188867745,62.5723,3950578,64.5072188867745,62.55245467808436
54,CCL,2018-04-27,63.87212265382226,63.8622,3226538,64.57663107520199,63.45537119328776
55,CCL,2018-04-26,65.88643508008087,63.8126,5282401,66.04519757424974,63.60422422640336
56,CCL,2018-04-25,65.04302179506584,65.559,3147412,65.5689226577872,64.73541940366277
57,CCL,2018-04-24,65.99559781812634,65.0331,3303307,66.2337416081782,64.64611634116571
58,CCL,2018-04-23,65.37051607062018,65.7575,3621127,66.04525728082088,65.30105741662894
59,CCL,2018-04-20,64.43776973284761,65.3705,3845044,65.40026798724955,64.43776973284761
60,CCL,2018-04-19,64.73540780817706,64.5568,4343269,64.99339686443282,64.39307617583768
61,CCL,2018-04-18,64.10038179868239,64.7652,3125453,64.83465861804811,64.0507685000766
62,CCL,2018-04-17,64.17975558672278,63.6737,3573983,64.52704863643447,63.50501480442574
63,CCL,2018-04-16,63.22718426966292,63.5844,2963432,63.80269850187266,63.05849906367041
64,CCL,2018-04-13,63.73322268827456,62.4532,4409029,63.90190784874485,62.254746870034964
65,CCL,2018-04-12,63.54475733333334,63.257,3390636,63.941663999999996,62.62194933333333
66,CCL,2018-04-11,62.75089365179133,63.1478,5543340,64.10037523570081,62.67151238214959
67,CCL,2018-04-10,65.02320697305863,62.612,8881191,65.22166022187005,61.41135784469097
68,CCL,2018-04-09,64.84461054579093,64.3584,2250377,65.12244514338575,64.27901868640149
69,CCL,2018-04-06,65.11251560998295,64.0111,3312409,65.26135555727792,63.49016018446751
70,CCL,2018-04-05,64.69569775606777,65.0033,2332209,65.24144367272172,64.20948775759425
71,CCL,2018-04-04,63.57443856571252,64.4774,3329762,64.5567812249923,63.28668162511542
72,CCL,2018-04-03,64.44764211505661,63.9912,3023561,64.54686866180803,63.50498992091798
73,CCL,2018-04-02,65.17200148560816,64.1202,4017142,65.41014521819869,63.15770241411327
74,CCL,2018-03-29,64.31867788960048,65.0728,3710093,65.4399383958524,63.93169417505338
75,CCL,2018-03-28,65.26136103032178,64.1401,5391099,65.63842226175744,63.75311610457921
76,CCL,2018-03-27,65.56889286474971,65.2216,4171927,66.3726277803134,64.7552352959075
77,CCL,2018-03-26,64.5469005319149,65.2911,4485315,65.32086797872341,63.99619292553192
78,CCL,2018-03-23,66.82916418258034,63.9119,5563768,66.97800419189568,63.9119
79,CCL,2018-03-22,68.18850996978851,65.688,6149606,68.57549365558911,65.45977885196375
80,CCL,2018-03-21,67.35505863405903,66.5414,4580497,67.6229706233224,66.30325600954367
81,CCL,2018-03-20,67.48406268238763,67.3253,4194999,68.4167934414149,67.18638265291082
82,CCL,2018-03-19,66.65055729705753,67.107,3467056,67.47413869584504,66.46202661540737
83,CCL,2018-03-16,66.30319608429232,66.3925,3790168,66.55126251681362,65.81688664997758
84,CCL,2018-03-15,66.700110265248,66.2139,2373526,66.81422083770417,66.16508052030571
85,CCL,2018-03-14,67.14660852747909,66.4421,2151198,67.20614445937873,66.26349220430107
86,CCL,2018-03-13,67.18631721178038,67.0474,2222061,67.76679270386266,66.91840544620393
87,CCL,2018-03-12,67.05729839667458,66.839,1926656,67.22598352137767,66.60085629453683
88,CCL,2018-03-09,66.48183488958055,66.9482,2465357,66.98789064769528,66.20400035571365
89,CCL,2018-03-08,65.93606556271541,66.2139,2095528,66.45204380338677,65.86660695339427
90,CCL,2018-03-07,65.33081472504165,65.4995,2245902,65.5689586426299,64.62630563550975
91,CCL,2018-03-06,65.0926536659108,65.6384,2972082,65.6384,64.59652063492064
92,CCL,2018-03-05,64.62626405890474,64.6858,3380750,65.34069535204786,64.31370036815463
93,CCL,2018-03-02,65.201776589195,64.4675,3749460,65.28115784208097,64.02098045251654
94,CCL,2018-03-01,66.09482747802365,65.4697,2797450,66.77949090633525,65.16209759017885
95,CCL,2018-02-28,67.32522978628008,66.3925,3175760,67.56337356150053,66.38257734269915
96,CCL,2018-02-27,68.20833190102238,66.968,3027680,68.26786783227145,66.95807734479183
97,CCL,2018-02-26,68.21824919871794,68.1091,1643588,68.44647025058275,67.97018283799534
98,CCL,2018-02-23,67.90075226876091,68.2282,2025527,68.24804531704478,67.70229909831296
99,CCL,2018-02-22,68.7044560117302,67.6725,2454982,68.80368255131965,67.56335080645161
