,symbol,date,open,close,volume,high,low
0,CELG,2018-07-09,83.0,83.85,7853552,84.25,82.9435
1,CELG,2018-07-06,81.02,82.44,8581977,82.52,80.627
2,CELG,2018-07-05,78.99,80.39,5879282,80.72,78.841
3,CELG,2018-07-03,79.63,78.65,3034580,79.86,78.45
4,CELG,2018-07-02,78.75,79.51,4315219,79.67,78.15
5,CELG,2018-06-29,78.37,79.42,10269790,80.7,78.02
6,CELG,2018-06-28,77.22,76.66,6233324,77.49,76.28
7,CELG,2018-06-27,78.4,77.25,6104161,79.12,77.23
8,CELG,2018-06-26,78.55,78.31,5062453,79.46,77.91
9,CELG,2018-06-25,78.53,78.53,5716877,79.33,77.92
10,CELG,2018-06-22,79.3,78.8,5630405,79.88,78.72
11,CELG,2018-06-21,79.29,79.14,4411196,79.7196,78.88
12,CELG,2018-06-20,80.0,79.77,6913609,80.1514,78.57
13,CELG,2018-06-19,77.42,79.44,8047600,79.58,77.138
14,CELG,2018-06-18,77.46,77.73,6972175,78.075,76.92
15,CELG,2018-06-15,78.41,78.08,14878283,79.32,77.51
16,CELG,2018-06-14,77.57,78.39,5884820,78.81,77.09
17,CELG,2018-06-13,77.63,77.38,7804318,78.57,77.3
18,CELG,2018-06-12,78.49,77.47,7548885,78.67,77.29
19,CELG,2018-06-11,78.87,78.33,4683396,79.0,78.2
20,CELG,2018-06-08,78.47,79.06,3991279,79.24,78.15
21,CELG,2018-06-07,78.75,78.79,4500336,78.95,78.04
22,CELG,2018-06-06,77.94,78.79,5086486,79.01,77.6598
23,CELG,2018-06-05,78.66,77.97,5140939,78.91,77.38
24,CELG,2018-06-04,79.02,78.65,5799120,79.6681,78.1601
25,CELG,2018-06-01,78.89,79.04,8198307,79.6,78.57
26,CELG,2018-05-31,78.1,78.68,8444903,78.98,77.67
27,CELG,2018-05-30,78.03,77.97,6945737,78.73,77.37
28,CELG,2018-05-29,78.05,77.83,5687290,79.35,77.3
29,CELG,2018-05-25,79.41,78.63,6128107,79.56,78.34
30,CELG,2018-05-24,78.78,79.54,8541563,79.89,78.51
31,CELG,2018-05-23,77.0,77.66,7342792,77.72,76.53
32,CELG,2018-05-22,75.9,76.61,8423956,76.89,75.41
33,CELG,2018-05-21,78.71,74.69,19908509,78.85,74.13
34,CELG,2018-05-18,79.98,78.37,7749278,80.2,78.35
35,CELG,2018-05-17,81.08,79.98,10246824,81.22,79.15
36,CELG,2018-05-16,82.12,81.36,6519984,83.39,81.18
37,CELG,2018-05-15,84.8,81.98,8902223,84.99,81.54
38,CELG,2018-05-14,84.59,85.31,6736018,86.3,84.55
39,CELG,2018-05-11,82.35,84.54,7574842,85.18,82.34
40,CELG,2018-05-10,82.76,82.38,5788495,82.9563,81.62
41,CELG,2018-05-09,82.87,82.8,8089458,83.14,81.05
42,CELG,2018-05-08,84.35,83.13,6688102,84.47,82.6
43,CELG,2018-05-07,86.49,84.57,7930198,86.55,84.21
44,CELG,2018-05-04,86.6,86.89,8553581,88.88,85.57
45,CELG,2018-05-03,86.38,85.4,6547179,86.59,84.3
46,CELG,2018-05-02,87.78,86.9,4517881,88.02,86.68
47,CELG,2018-05-01,87.08,87.93,4217443,88.13,86.43
48,CELG,2018-04-30,91.35,87.1,13899486,91.75,85.15
49,CELG,2018-04-27,92.0,91.18,4765061,92.57,90.1
50,CELG,2018-04-26,89.75,92.08,6051133,92.96,89.65
51,CELG,2018-04-25,89.09,89.2,4136892,89.62,88.07
52,CELG,2018-04-24,90.03,89.14,3897125,91.05,88.86
53,CELG,2018-04-23,89.24,89.485,3474523,90.03,88.71
54,CELG,2018-04-20,89.42,88.95,6231642,90.13,88.25
55,CELG,2018-04-19,90.85,89.62,3938845,91.8,89.27
56,CELG,2018-04-18,91.16,91.01,3682740,91.97,90.92
57,CELG,2018-04-17,91.1053,91.1,4381601,91.815,90.07
58,CELG,2018-04-16,90.15,90.54,3858409,91.36,89.62
59,CELG,2018-04-13,90.39,89.4,4858260,90.99,89.06
60,CELG,2018-04-12,89.3,89.74,5362033,90.848,89.25
61,CELG,2018-04-11,88.77,88.71,5483445,90.24,88.05
62,CELG,2018-04-10,87.8,89.44,5553920,89.62,87.26
63,CELG,2018-04-09,87.41,86.94,6127361,88.9907,86.83
64,CELG,2018-04-06,88.3,86.95,6683406,89.63,86.28
65,CELG,2018-04-05,91.0,88.84,7979273,91.14,88.51
66,CELG,2018-04-04,85.85,90.47,9148891,90.985,85.817
67,CELG,2018-04-03,87.12,86.83,8358497,87.25,84.2504
68,CELG,2018-04-02,88.8,87.07,6879755,89.42,85.79
69,CELG,2018-03-29,88.79,89.21,7588009,90.68,88.46
70,CELG,2018-03-28,86.24,88.41,7747977,89.21,86.24
71,CELG,2018-03-27,87.61,85.81,6985282,88.67,85.3
72,CELG,2018-03-26,86.17,87.17,7409785,87.415,85.14
73,CELG,2018-03-23,87.01,84.98,6927873,87.69,84.95
