,symbol,date,open,close,volume,high,low
0,CERN,2018-07-16,61.43,61.03,840967,61.5,60.91
1,CERN,2018-07-13,60.97,61.47,1301919,61.71,60.79
2,CERN,2018-07-12,60.67,60.99,1710739,61.23,60.485
3,CERN,2018-07-11,60.55,60.24,1199721,60.809,59.96
4,CERN,2018-07-10,62.1,60.76,2372147,62.13,60.58
5,CERN,2018-07-09,63.24,63.71,1443833,63.88,63.0
6,CERN,2018-07-06,62.84,62.96,1655177,63.3476,62.72
7,CERN,2018-07-05,61.57,62.7,2307562,62.9,61.47
8,CERN,2018-07-03,61.29,61.43,1023455,61.75,61.04
9,CERN,2018-07-02,59.59,61.16,2092695,61.2,59.49
10,CERN,2018-06-29,59.88,59.79,1366622,60.32,59.59
11,CERN,2018-06-28,58.87,59.76,997662,59.84,58.8
12,CERN,2018-06-27,59.54,58.86,1121903,60.3,58.83
13,CERN,2018-06-26,59.2,59.66,1625155,60.18,58.95
14,CERN,2018-06-25,59.59,59.19,1372616,59.84,58.67
15,CERN,2018-06-22,60.44,59.81,5208918,60.75,59.74
16,CERN,2018-06-21,61.05,59.93,987759,61.32,59.74
17,CERN,2018-06-20,61.5,61.06,932712,61.61,60.92
18,CERN,2018-06-19,60.91,61.37,1599692,61.48,60.67
19,CERN,2018-06-18,61.41,61.37,1527056,61.74,61.22
20,CERN,2018-06-15,60.98,61.87,2717786,62.05,60.62
21,CERN,2018-06-14,60.28,61.08,1248432,61.13,60.26
22,CERN,2018-06-13,60.78,60.26,1326475,60.98,60.24
23,CERN,2018-06-12,60.64,60.66,1263290,60.99,60.0001
24,CERN,2018-06-11,60.65,60.71,1658101,60.96,60.32
25,CERN,2018-06-08,60.35,60.69,1184953,60.81,59.67
26,CERN,2018-06-07,61.2,60.25,1880653,61.4,59.73
27,CERN,2018-06-06,60.54,61.31,1631301,61.45,60.42
28,CERN,2018-06-05,59.89,60.39,1255627,60.58,59.72
29,CERN,2018-06-04,59.87,59.75,1494187,59.96,59.21
30,CERN,2018-06-01,60.11,59.73,1856815,60.11,59.47
31,CERN,2018-05-31,60.06,59.68,1911417,60.22,59.4895
32,CERN,2018-05-30,59.76,60.17,1124218,60.5,59.0
33,CERN,2018-05-29,59.33,59.47,1727407,59.99,59.0304
34,CERN,2018-05-25,59.6,59.94,1320601,60.6,59.6
35,CERN,2018-05-24,59.32,59.44,1564443,59.68,58.49
36,CERN,2018-05-23,59.29,59.47,1743765,59.74,58.81
37,CERN,2018-05-22,60.81,59.72,1876331,61.07,57.9435
38,CERN,2018-05-21,61.6,60.75,3302568,61.92,60.65
39,CERN,2018-05-18,63.0,61.34,4934974,63.22,61.0
40,CERN,2018-05-17,59.82,60.62,2328540,61.19,59.82
41,CERN,2018-05-16,58.48,59.97,2837234,60.26,58.22
42,CERN,2018-05-15,58.62,58.3,2201052,58.785,57.915
43,CERN,2018-05-14,60.66,59.05,2351951,60.7,58.69
44,CERN,2018-05-11,60.49,60.83,3194792,60.95,60.32
45,CERN,2018-05-10,59.51,60.27,2477943,60.3399,59.35
46,CERN,2018-05-09,58.84,59.35,2941839,59.84,58.57
47,CERN,2018-05-08,57.82,58.76,3951845,59.205,57.61
48,CERN,2018-05-07,57.75,58.06,4267827,58.96,57.58
49,CERN,2018-05-04,54.76,57.24,4531236,57.6199,54.76
50,CERN,2018-05-03,52.18,55.09,6287220,55.8,52.05
51,CERN,2018-05-02,58.29,57.94,4120565,58.71,57.08
52,CERN,2018-05-01,58.22,58.81,1686204,58.82,57.74
53,CERN,2018-04-30,59.59,58.25,3092325,59.6675,58.25
54,CERN,2018-04-27,59.03,59.43,1704645,59.56,58.86
55,CERN,2018-04-26,58.61,58.99,2448160,59.21,58.14
56,CERN,2018-04-25,57.75,58.34,1743143,58.41,57.35
57,CERN,2018-04-24,58.87,57.94,2386890,59.0,57.4
58,CERN,2018-04-23,59.4,58.56,2327468,59.44,58.075
59,CERN,2018-04-20,58.69,58.23,2332680,58.98,58.14
60,CERN,2018-04-19,58.95,58.92,2023685,59.21,58.47
61,CERN,2018-04-18,59.33,59.29,1847770,59.45,58.98
62,CERN,2018-04-17,58.49,59.04,3198810,59.31,57.821
63,CERN,2018-04-16,57.3,57.94,1875731,58.19,56.98
64,CERN,2018-04-13,57.56,56.91,1708724,57.56,56.56
65,CERN,2018-04-12,57.2,57.17,1618019,57.405,56.74
66,CERN,2018-04-11,56.18,56.88,2572437,57.43,56.16
67,CERN,2018-04-10,57.12,56.74,2460666,57.38,56.465
68,CERN,2018-04-09,56.86,56.57,3362919,57.37,56.54
69,CERN,2018-04-06,57.79,56.42,2983674,58.03,56.15
70,CERN,2018-04-05,57.94,58.12,3294548,58.435,57.635
71,CERN,2018-04-04,56.31,57.71,3625602,57.88,56.14
72,CERN,2018-04-03,57.38,56.64,6743474,57.5204,55.29
73,CERN,2018-04-02,57.48,57.1,4450042,58.05,56.01
74,CERN,2018-03-29,58.28,58.0,4517026,58.93,57.85
75,CERN,2018-03-28,57.87,58.64,4876259,59.05,57.87
76,CERN,2018-03-27,58.13,57.65,4014796,58.41,57.16
77,CERN,2018-03-26,57.2,57.77,2708726,57.81,56.65
78,CERN,2018-03-23,57.57,56.51,2308296,58.21,56.49
79,CERN,2018-03-22,58.48,57.47,2373797,59.47,57.44
80,CERN,2018-03-21,59.61,59.86,3877130,60.76,59.51
81,CERN,2018-03-20,60.55,59.44,3547513,60.81,59.32
82,CERN,2018-03-19,60.86,60.39,2930546,61.03,59.69
83,CERN,2018-03-16,61.89,61.26,3961760,62.17,60.69
84,CERN,2018-03-15,62.16,61.78,2212106,62.27,61.4
85,CERN,2018-03-14,63.0,62.04,3700195,63.22,61.65
86,CERN,2018-03-13,64.15,63.05,2033149,64.95,62.55
87,CERN,2018-03-12,64.92,64.64,1475228,65.07,64.45
88,CERN,2018-03-09,64.01,64.91,1728972,64.98,63.77
89,CERN,2018-03-08,64.99,63.66,2553833,65.13,63.395
90,CERN,2018-03-07,64.7,65.04,1986866,65.28,64.042
91,CERN,2018-03-06,64.64,64.98,2632056,65.05,64.42
92,CERN,2018-03-05,62.76,64.33,3450982,64.52,62.55
93,CERN,2018-03-02,62.14,62.94,4135381,63.29,62.1
94,CERN,2018-03-01,64.27,62.37,2506022,64.83,61.991
95,CERN,2018-02-28,64.29,64.16,2314302,65.17,64.05
96,CERN,2018-02-27,64.54,63.95,2575088,65.42,63.95
97,CERN,2018-02-26,64.68,64.25,1441708,65.0,63.99
98,CERN,2018-02-23,63.23,64.53,1518111,64.54,62.83
99,CERN,2018-02-22,63.41,62.91,1294389,64.12,62.73
