,symbol,date,open,close,volume,high,low
0,CHK,2018-07-18,4.69,4.66,48565703,4.71,4.48
1,CHK,2018-07-17,4.83,4.77,37201891,4.87,4.68
2,CHK,2018-07-16,5.08,4.9,38903274,5.119,4.81
3,CHK,2018-07-13,5.13,5.19,18878621,5.26,5.12
4,CHK,2018-07-12,5.22,5.12,26792740,5.26,5.09
5,CHK,2018-07-11,5.32,5.15,38067598,5.4,5.08
6,CHK,2018-07-10,5.47,5.4,33455970,5.6,5.32
7,CHK,2018-07-09,5.32,5.39,27880693,5.46,5.32
8,CHK,2018-07-06,5.22,5.29,16315327,5.33,5.19
9,CHK,2018-07-05,5.3,5.27,22370676,5.376,5.23
10,CHK,2018-07-03,5.3,5.28,17997622,5.42,5.24
11,CHK,2018-07-02,5.14,5.18,19954709,5.23,5.11
12,CHK,2018-06-29,5.17,5.24,30821543,5.35,5.17
13,CHK,2018-06-28,5.17,5.18,29529682,5.24,5.05
14,CHK,2018-06-27,5.1,5.16,54901318,5.44,5.07
15,CHK,2018-06-26,4.91,5.03,33676012,5.05,4.77
16,CHK,2018-06-25,5.06,4.89,30051047,5.12,4.83
17,CHK,2018-06-22,5.05,5.05,51329886,5.13,4.96
18,CHK,2018-06-21,4.83,4.87,40263255,5.02,4.82
19,CHK,2018-06-20,4.84,4.88,24447957,4.89,4.755
20,CHK,2018-06-19,4.64,4.79,24337290,4.8,4.58
21,CHK,2018-06-18,4.61,4.74,25404883,4.79,4.6
22,CHK,2018-06-15,4.7,4.64,37419767,4.7,4.55
23,CHK,2018-06-14,4.83,4.73,21951287,4.8441,4.7
24,CHK,2018-06-13,4.75,4.76,30260181,4.83,4.67
25,CHK,2018-06-12,4.99,4.81,40152920,5.05,4.78
26,CHK,2018-06-11,4.81,4.92,39649281,5.0,4.8012
27,CHK,2018-06-08,4.68,4.81,39993828,4.88,4.58
28,CHK,2018-06-07,4.49,4.7,53369795,4.82,4.45
29,CHK,2018-06-06,4.33,4.37,23926591,4.39,4.21
30,CHK,2018-06-05,4.28,4.32,26393213,4.39,4.2
31,CHK,2018-06-04,4.56,4.32,37188658,4.65,4.28
32,CHK,2018-06-01,4.45,4.53,42455036,4.6,4.41
33,CHK,2018-05-31,4.49,4.47,35259452,4.57,4.39
34,CHK,2018-05-30,4.35,4.51,38914138,4.56,4.315
35,CHK,2018-05-29,4.17,4.28,34775223,4.37,4.16
36,CHK,2018-05-25,4.38,4.3,71867686,4.42,4.09
37,CHK,2018-05-24,4.52,4.55,47646092,4.65,4.49
38,CHK,2018-05-23,4.48,4.64,69229100,4.72,4.37
39,CHK,2018-05-22,4.8,4.54,138935336,5.0,4.46
40,CHK,2018-05-21,4.22,4.61,96034985,4.68,4.15
41,CHK,2018-05-18,4.42,4.06,97155517,4.515,3.97
42,CHK,2018-05-17,4.01,4.29,88621726,4.29,3.97
43,CHK,2018-05-16,3.7,3.93,44193076,3.95,3.67
44,CHK,2018-05-15,3.62,3.71,36538243,3.74,3.61
45,CHK,2018-05-14,3.4,3.6,36172695,3.63,3.37
46,CHK,2018-05-11,3.35,3.36,19513879,3.42,3.31
47,CHK,2018-05-10,3.33,3.35,24482908,3.38,3.27
48,CHK,2018-05-09,3.17,3.26,45696516,3.33,3.16
