,symbol,date,open,close,volume,high,low
0,CMG,2018-07-09,454.38,463.89,729757,464.57,452.76
1,CMG,2018-07-06,449.85,451.04,573485,451.8199,445.615
2,CMG,2018-07-05,450.0,448.02,472546,450.0,444.63
3,CMG,2018-07-03,443.5,448.95,457068,450.4653,441.02
4,CMG,2018-07-02,427.98,442.82,701692,442.99,424.36
5,CMG,2018-06-29,433.0,431.37,1027550,437.6003,429.28
6,CMG,2018-06-28,434.55,428.36,2254095,440.44,415.06
7,CMG,2018-06-27,460.0,457.24,628133,467.51,455.2
8,CMG,2018-06-26,455.46,461.7,907730,465.1509,455.0
9,CMG,2018-06-25,467.0,454.17,794147,467.65,450.585
10,CMG,2018-06-22,469.1865,469.94,663554,474.46,464.08
11,CMG,2018-06-21,468.6,463.16,507118,473.96,462.74
12,CMG,2018-06-20,469.3,465.5,372787,470.76,462.1561
13,CMG,2018-06-19,464.3,469.22,554136,471.2,464.0
14,CMG,2018-06-18,459.02,468.46,551412,472.309,458.5902
15,CMG,2018-06-15,459.88,462.01,544926,465.45,457.07
16,CMG,2018-06-14,459.32,460.44,493967,461.4,454.4
17,CMG,2018-06-13,466.91,457.3,549643,469.415,456.95
18,CMG,2018-06-12,466.44,466.3,715502,469.42,462.44
19,CMG,2018-06-11,452.82,466.64,1128479,470.0,452.82
20,CMG,2018-06-08,448.99,453.38,1388187,459.65,446.91
21,CMG,2018-06-07,454.91,448.28,509564,457.75,446.58
22,CMG,2018-06-06,453.96,453.82,724648,458.69,452.13
23,CMG,2018-06-05,444.69,453.34,719372,456.0,442.47
24,CMG,2018-06-04,441.66,443.83,570786,444.5,438.08
25,CMG,2018-06-01,431.59,438.62,640892,439.945,430.96
26,CMG,2018-05-31,437.08,430.18,665895,441.5,429.15
27,CMG,2018-05-30,433.94,436.61,385369,437.34,432.54
28,CMG,2018-05-29,428.91,433.01,528028,434.85,427.0
29,CMG,2018-05-25,433.91,428.96,454493,436.61,427.56
30,CMG,2018-05-24,435.0,433.43,298003,435.59,430.63
31,CMG,2018-05-23,432.0,435.51,369774,436.25,430.64
32,CMG,2018-05-22,435.77,433.44,410674,435.77,430.6
33,CMG,2018-05-21,433.27,433.86,412500,435.75,430.1975
34,CMG,2018-05-18,438.27,431.95,709961,439.69,431.05
35,CMG,2018-05-17,444.51,438.58,1140878,444.91,436.0921
36,CMG,2018-05-16,429.32,444.67,1860724,447.705,429.32
37,CMG,2018-05-15,424.74,426.56,730912,431.23,422.665
