,symbol,date,open,close,volume,high,low
0,CPB,2018-07-09,41.98,41.55,3862235,41.99,41.25
1,CPB,2018-07-06,41.55,41.91,4273605,42.18,41.31
2,CPB,2018-07-05,41.11,41.49,3669943,41.52,40.61
3,CPB,2018-07-03,41.55,41.03,5876685,42.13,40.91
4,CPB,2018-07-02,40.54,40.29,5149828,41.0,40.23
5,CPB,2018-06-29,40.9,40.54,5060965,40.9,40.27
6,CPB,2018-06-28,40.12,40.75,4803067,41.0694,40.12
7,CPB,2018-06-27,41.23,39.89,7389642,41.25,39.83
8,CPB,2018-06-26,41.6,41.31,9350158,42.3,41.195
9,CPB,2018-06-25,40.56,42.23,28604790,42.88,40.5
10,CPB,2018-06-22,37.52,38.6,6225460,38.64,37.46
11,CPB,2018-06-21,37.12,37.46,5634437,37.86,37.0
12,CPB,2018-06-20,37.04,37.2,4989823,37.22,36.51
13,CPB,2018-06-19,36.64,37.03,6529062,37.18,36.5
14,CPB,2018-06-18,36.87,36.67,8349701,37.27,36.24
15,CPB,2018-06-15,36.4,37.1,10084172,37.26,36.35
16,CPB,2018-06-14,35.6,36.51,10943308,36.64,35.43
17,CPB,2018-06-13,35.09,35.5,8137766,35.61,34.84
18,CPB,2018-06-12,34.82,35.13,6457015,35.26,34.25
19,CPB,2018-06-11,34.18,34.83,5913304,35.07,34.1588
20,CPB,2018-06-08,33.59,34.05,4487249,34.18,33.58
21,CPB,2018-06-07,32.7,33.49,6302946,34.11,32.63
22,CPB,2018-06-06,33.39,33.19,5490569,33.4099,32.73
23,CPB,2018-06-05,33.38,33.33,3548720,33.4634,32.84
24,CPB,2018-06-04,33.32,33.36,4255870,33.49,33.02
25,CPB,2018-06-01,33.69,33.28,3501986,33.8358,33.23
26,CPB,2018-05-31,34.5,33.64,6217832,34.5,33.32
27,CPB,2018-05-30,34.28,34.53,6587034,34.83,33.89
28,CPB,2018-05-29,34.46,34.25,5434056,34.67,33.7
29,CPB,2018-05-25,34.4,34.6,4960032,35.2,34.22
30,CPB,2018-05-24,34.15,34.34,5319160,34.79,34.15
31,CPB,2018-05-23,34.39,34.26,4696352,34.65,34.0
32,CPB,2018-05-22,33.65,34.37,9530034,34.8337,33.65
33,CPB,2018-05-21,33.77,33.58,14112297,34.68,33.28
34,CPB,2018-05-18,34.93,34.37,30688221,35.39,34.09
35,CPB,2018-05-17,39.44,39.22,4619848,39.66,38.87
36,CPB,2018-05-16,39.5,39.48,3341326,39.98,39.0899
37,CPB,2018-05-15,39.75,39.44,4745169,40.05,39.06
38,CPB,2018-05-14,40.63,40.04,3499778,40.78,39.86
39,CPB,2018-05-11,41.33,40.68,4512411,41.8,40.61
40,CPB,2018-05-10,41.4,41.19,2120996,41.7,40.87
41,CPB,2018-05-09,41.38,41.36,2922583,41.61,40.73
42,CPB,2018-05-08,40.94,41.3,2092775,41.32,40.81
43,CPB,2018-05-07,41.09,41.03,1740095,41.24,40.58
44,CPB,2018-05-04,40.32,41.02,1519707,41.27,40.16
45,CPB,2018-05-03,40.16,40.4,2700779,40.52,39.79
46,CPB,2018-05-02,40.93,39.95,2770023,40.965,39.88
47,CPB,2018-05-01,40.64,40.95,1957078,40.95,40.4
48,CPB,2018-04-30,42.18,40.78,2834578,42.28,40.68
49,CPB,2018-04-27,41.79,42.08,2085475,42.27,41.75
50,CPB,2018-04-26,41.68,41.73,1540434,41.82,41.15
51,CPB,2018-04-25,41.01,41.51,1955899,41.96,40.89
52,CPB,2018-04-24,41.02,41.08,2442182,41.28,40.64
53,CPB,2018-04-23,40.5,40.84,2321811,40.9924,40.35
54,CPB,2018-04-20,41.26,40.36,3162342,41.64,39.79
55,CPB,2018-04-19,41.66,41.27,3350156,41.73,40.98
56,CPB,2018-04-18,42.61,41.84,3064594,42.62,41.78
57,CPB,2018-04-17,42.92,42.53,2086886,43.11,42.5
58,CPB,2018-04-16,42.48,42.81,1723530,43.3,42.1
59,CPB,2018-04-13,42.58,42.45,2845540,42.61,41.43
60,CPB,2018-04-12,42.95,42.67,1810968,43.045,42.47
61,CPB,2018-04-11,42.61,42.84,1315828,43.125,42.04
62,CPB,2018-04-10,42.99,42.59,1836838,43.2,42.53
63,CPB,2018-04-09,43.36365067036524,42.9074,2826599,43.4628355987055,42.401556865464634
64,CPB,2018-04-06,43.17523000228677,43.3736,3012213,43.84968799451178,42.92726750514522
65,CPB,2018-04-05,43.00657810487581,43.1256,2154233,43.442991720331186,42.57016448942043
66,CPB,2018-04-04,41.76672995604904,42.8776,2377645,43.30409474901689,41.73697450844321
67,CPB,2018-04-03,41.95523699148533,41.9354,2497061,42.20319938505203,41.20143131504257
68,CPB,2018-04-02,42.95695943195266,41.9056,1992083,42.98116053585799,41.79153742011834
69,CPB,2018-03-29,43.353739782960055,42.957,2929595,43.73064257677211,42.917326021704
70,CPB,2018-03-28,42.41149762727482,43.0562,2748517,43.49261391384474,42.4015791292329
71,CPB,2018-03-27,42.13371187631763,42.342,2622057,42.76323793394238,41.994853127196066
72,CPB,2018-03-26,42.21306635271957,42.1238,2503556,42.2527402872616,41.59812036731811
73,CPB,2018-03-23,41.94533700023657,41.9255,2822707,42.84792051100071,41.83623349893541
74,CPB,2018-03-22,41.717126080760096,41.7568,2944128,42.71889254156769,41.45924560570071
75,CPB,2018-03-21,41.96515895186152,41.8263,4240468,41.98499594498459,40.655917405738684
76,CPB,2018-03-20,43.36360899814471,42.7685,2556831,43.46279383116884,42.431271567718
77,CPB,2018-03-19,43.2446,43.2446,3292460,44.10750830275229,43.05614876146788
78,CPB,2018-03-16,43.006593116108306,43.2248,5667416,43.83974667278569,42.986756126663614
79,CPB,2018-03-15,43.73064257677211,42.957,3093823,44.08770838143616,42.76854860309397
80,CPB,2018-03-14,43.98847726244344,43.8397,4487989,44.27115406108597,43.64133031674208
81,CPB,2018-03-13,43.39334888484297,43.5818,1863828,43.69090327719618,42.99660969503869
82,CPB,2018-03-12,43.383477357192014,43.2347,2060672,43.80005395732965,43.22974075476026
83,CPB,2018-03-09,42.99661946801193,43.2545,1780212,43.2545,42.78833134602156
84,CPB,2018-03-08,42.93717746870654,42.7884,2090440,43.304161891515996,42.77848150208624
85,CPB,2018-03-07,42.96694401114207,42.7289,3011504,43.22482502321263,42.158586223305484
86,CPB,2018-03-06,43.095867653758546,43.5422,3303460,43.581873986332575,42.917334715261966
87,CPB,2018-03-05,41.46923697150736,43.1653,5365029,43.26944422104779,41.43948147977941
88,CPB,2018-03-02,41.72709245597334,41.6775,5138510,42.66934911946692,41.558478105663966
89,CPB,2018-03-01,42.20319938505203,41.9354,5207964,42.85782010406812,41.64776362346263
90,CPB,2018-02-28,43.710785993031365,42.6991,4526473,43.79013391405343,42.6991
91,CPB,2018-02-27,44.05788702776514,43.5818,2825260,44.45462621756942,43.5818
92,CPB,2018-02-26,43.80993038088799,44.0083,2083847,44.37528379535723,43.60164228082038
93,CPB,2018-02-23,43.7703184950136,43.7604,2383322,43.94885140525839,43.16529029918404
94,CPB,2018-02-22,42.73879101455869,43.6017,4324062,44.07778771610555,42.73879101455869
95,CPB,2018-02-21,45.73413363636364,42.5503,7569477,46.0217696969697,42.47095212121212
96,CPB,2018-02-20,45.813503385416666,45.7044,3410125,46.13089505208333,45.37708984375
97,CPB,2018-02-16,45.50606359107646,45.7937,7060102,46.29954333983106,45.099306034871134
98,CPB,2018-02-15,46.616905660377356,47.3112,3946692,47.70793962264151,45.74407849056603
99,CPB,2018-02-14,45.91266158432708,46.5772,3956383,47.128965254684836,45.87298764906303
