,symbol,date,open,close,volume,high,low
0,CTL,2018-07-18,19.68,19.51,4639708,19.7158,19.47
1,CTL,2018-07-17,19.605,19.63,4872098,19.8,19.55
2,CTL,2018-07-16,19.83,19.61,7521734,19.84,19.48
3,CTL,2018-07-13,19.95,19.88,5129550,20.06,19.72
4,CTL,2018-07-12,19.91,20.0,5998238,20.08,19.75
5,CTL,2018-07-11,19.9,19.8,5711385,20.11,19.77
6,CTL,2018-07-10,19.88,20.11,8522942,20.15,19.82
7,CTL,2018-07-09,19.67,19.89,8069399,19.96,19.65
8,CTL,2018-07-06,19.38,19.66,5638973,19.72,19.21
9,CTL,2018-07-05,19.2,19.38,7062276,19.38,18.99
10,CTL,2018-07-03,18.66,19.1,4992732,19.215,18.6
11,CTL,2018-07-02,18.6,18.53,4865327,18.66,18.26
12,CTL,2018-06-29,18.76,18.64,5038966,18.91,18.61
13,CTL,2018-06-28,18.72,18.7,6459877,18.78,18.47
14,CTL,2018-06-27,18.78,18.65,5149037,18.99,18.64
15,CTL,2018-06-26,18.96,18.75,7399916,19.02,18.62
16,CTL,2018-06-25,18.6,18.78,8945055,18.9399,18.4
17,CTL,2018-06-22,18.58,18.62,8422374,18.83,18.55
18,CTL,2018-06-21,18.59,18.45,5089165,18.66,18.41
19,CTL,2018-06-20,18.44,18.57,10032269,18.605,18.11
20,CTL,2018-06-19,18.0,18.44,8624330,18.56,18.0
21,CTL,2018-06-18,18.03,18.13,8453452,18.3,17.97
22,CTL,2018-06-15,18.06,18.02,13092499,18.11,17.937
23,CTL,2018-06-14,17.68,18.01,9035814,18.07,17.68
24,CTL,2018-06-13,17.88,17.54,7195913,17.95,17.54
25,CTL,2018-06-12,17.95,17.95,7700141,18.07,17.77
26,CTL,2018-06-11,17.73,17.85,11621031,17.92,17.54
27,CTL,2018-06-08,17.53,17.65,9326510,17.65,17.29
28,CTL,2018-06-07,17.54,17.62,7029602,17.82,17.51
29,CTL,2018-06-06,17.52,17.59,11748226,17.59,17.4
30,CTL,2018-06-05,17.67,17.43,12455172,17.8,17.39
31,CTL,2018-06-04,17.85,17.64,8942913,17.96,17.565
32,CTL,2018-06-01,17.85,17.74,13349007,17.93,17.6647
33,CTL,2018-05-31,17.788550713501646,17.6818,13836226,17.856482985729965,17.599310812294185
34,CTL,2018-05-30,17.83703211359913,17.7691,6722211,17.83703211359913,17.54589448388859
35,CTL,2018-05-29,17.526526234906694,17.6818,11963576,17.778846103183316,17.397454917672885
36,CTL,2018-05-25,18.079707920792078,17.643,15565751,18.089412541254127,17.429498349834986
37,CTL,2018-05-24,18.487243250539958,17.9729,16334170,18.54547078833693,17.914672462203026
38,CTL,2018-05-23,18.720128143082587,18.4484,7810368,18.744389584429246,18.370763387690687
39,CTL,2018-05-22,18.71049538621047,18.7202,7139919,18.933701503369623,18.671676931052357
40,CTL,2018-05-21,18.788136929460578,18.7105,7641706,18.846364626556017,18.603749221991702
41,CTL,2018-05-18,18.6522677034733,18.7202,14691479,18.80754152410575,18.584335406946604
42,CTL,2018-05-17,18.739527428571428,18.6813,16489762,19.006403142857145,18.67159542857143
43,CTL,2018-05-16,18.778441588785046,18.6911,8620345,18.97253400830737,18.564939927310483
44,CTL,2018-05-15,18.584298915849246,18.7978,8855570,18.817209189468247,18.419320805369125
45,CTL,2018-05-14,19.069487525987526,18.6716,11607992,19.137419542619543,18.652190852390856
46,CTL,2018-05-11,18.836612755102042,19.021,16782835,19.287876275510204,18.72986224489796
47,CTL,2018-05-10,18.390193556701032,18.8269,27891992,19.166560567010308,18.234920154639173
48,CTL,2018-05-09,17.55562300443459,17.5071,13642061,17.798238026607542,17.448872394678496
49,CTL,2018-05-08,17.769082404853833,17.5944,12365879,17.83701445118588,17.35178554881412
50,CTL,2018-05-07,18.002032196969697,17.9341,12307393,18.108782792207794,17.75941720779221
51,CTL,2018-05-04,17.516797728501892,17.9438,7829179,17.997175283937267,17.458570146024876
52,CTL,2018-05-03,17.924383729939123,17.5362,9442724,17.934088323187606,17.39063110127283
53,CTL,2018-05-02,18.050550567874527,17.9438,8991542,18.18641492698756,17.875867820443485
54,CTL,2018-05-01,18.002027582477016,17.9438,10440918,18.196119524067065,17.701282118983237
55,CTL,2018-04-30,18.438692142088268,18.0311,8401287,18.49691959095802,18.0311
56,CTL,2018-04-27,18.01174349206349,18.3417,7935286,18.390223015873016,17.982629682539685
57,CTL,2018-04-26,17.81762656587473,17.9729,8815821,18.035979832613393,17.69146690064795
58,CTL,2018-04-25,17.34211054054054,17.9535,10647758,17.9535,17.254769189189187
59,CTL,2018-04-24,17.283845119910765,17.4003,9483076,17.55072088678193,17.177871179029562
60,CTL,2018-04-23,17.147972588832488,17.2062,6061731,17.26442741116751,16.93447208121827
61,CTL,2018-04-20,16.866594207836457,17.0898,9811259,17.128618398637137,16.769548211243613
62,CTL,2018-04-19,17.03160623556582,16.8084,5971433,17.175719826789837,16.7210584295612
63,CTL,2018-04-18,17.17716923076923,17.0316,4855773,17.274215384615385,17.01219076923077
