,symbol,date,open,close,volume,high,low
0,DISCA,2018-07-09,27.9,28.3,2781444,28.32,27.55
1,DISCA,2018-07-06,27.61,27.87,2739456,28.16,27.41
2,DISCA,2018-07-05,27.43,27.64,3882721,27.72,27.07
3,DISCA,2018-07-03,27.6,27.36,1896828,27.68,27.19
4,DISCA,2018-07-02,27.48,27.42,3969436,27.63,27.08
5,DISCA,2018-06-29,28.56,27.5,4087998,28.56,27.49
6,DISCA,2018-06-28,28.18,28.48,3670865,28.78,28.02
7,DISCA,2018-06-27,28.1,28.19,4710745,28.61,27.9012
8,DISCA,2018-06-26,28.04,27.94,6799675,28.1,27.56
9,DISCA,2018-06-25,27.98,28.1,5863314,28.44,27.68
10,DISCA,2018-06-22,28.19,28.12,5448730,28.56,27.985
11,DISCA,2018-06-21,28.29,27.94,6058241,28.29,27.59
12,DISCA,2018-06-20,27.6,28.21,7444348,28.43,27.395
13,DISCA,2018-06-19,27.01,27.55,6021449,27.605,26.79
14,DISCA,2018-06-18,26.69,27.21,7720021,27.32,26.18
15,DISCA,2018-06-15,25.78,27.17,12567087,27.25,25.5201
16,DISCA,2018-06-14,24.68,25.5,5015140,25.51,24.61
17,DISCA,2018-06-13,24.88,24.41,10595857,25.29,24.39
18,DISCA,2018-06-12,23.91,24.02,5840958,24.09,23.661
19,DISCA,2018-06-11,23.01,23.89,6169924,24.37,22.961
20,DISCA,2018-06-08,22.65,23.02,5564430,23.12,22.65
21,DISCA,2018-06-07,22.27,22.77,5757685,22.87,22.19
22,DISCA,2018-06-06,21.69,22.36,6774512,22.415,21.23
23,DISCA,2018-06-05,21.52,21.74,6744598,22.25,21.45
24,DISCA,2018-06-04,21.27,21.09,6746410,21.5,20.69
25,DISCA,2018-06-01,21.18,20.95,6303553,21.259,20.744
26,DISCA,2018-05-31,21.41,21.09,7977009,21.42,20.595
27,DISCA,2018-05-30,22.04,21.4,5103245,22.04,21.39
28,DISCA,2018-05-29,22.24,21.9,3358327,22.26,21.68
29,DISCA,2018-05-25,22.44,22.34,2153441,22.54,22.235
30,DISCA,2018-05-24,22.56,22.48,3541272,22.61,22.12
31,DISCA,2018-05-23,23.11,22.57,3726167,23.18,22.3
32,DISCA,2018-05-22,22.71,23.16,4489237,23.355,22.52
33,DISCA,2018-05-21,22.7,22.63,3717147,22.89,22.525
34,DISCA,2018-05-18,22.88,22.57,5861111,23.0,22.4
35,DISCA,2018-05-17,23.69,23.02,7260411,23.69,22.795
36,DISCA,2018-05-16,23.02,23.69,7616844,23.9001,22.68
37,DISCA,2018-05-15,23.7,22.96,5618242,23.83,22.83
38,DISCA,2018-05-14,24.0,23.83,6634433,24.029,23.46
39,DISCA,2018-05-11,23.84,24.03,6370102,24.22,23.59
40,DISCA,2018-05-10,22.36,23.82,7515656,23.84,22.2
41,DISCA,2018-05-09,23.04,22.28,8226545,23.205,22.26
42,DISCA,2018-05-08,23.81,23.05,10834917,24.8,22.83
43,DISCA,2018-05-07,23.28,23.39,5459663,23.41,23.08
44,DISCA,2018-05-04,22.78,23.16,7838071,23.43,22.78
45,DISCA,2018-05-03,23.74,22.87,9229892,23.74,22.61
46,DISCA,2018-05-02,23.93,23.58,7725104,24.3,23.58
47,DISCA,2018-05-01,23.88,24.01,4864953,24.19,23.68
48,DISCA,2018-04-30,24.0,23.65,3933884,24.02,23.63
49,DISCA,2018-04-27,24.2,23.95,5760254,24.25,23.77
50,DISCA,2018-04-26,24.1,24.15,4454292,24.235,23.87
51,DISCA,2018-04-25,23.91,24.1,4580310,24.23,23.6472
52,DISCA,2018-04-24,24.48,23.94,5833373,24.75,23.82
53,DISCA,2018-04-23,23.19,23.77,5198007,23.89,23.07
54,DISCA,2018-04-20,23.53,23.16,5190073,23.72,22.96
55,DISCA,2018-04-19,23.62,23.38,3914933,23.73,23.26
56,DISCA,2018-04-18,23.86,23.51,3468000,24.0882,23.49
