,symbol,date,open,close,volume,high,low
0,DLPH,2018-07-16,44.05,43.71,967497,44.25,43.5
1,DLPH,2018-07-13,43.56,44.14,707592,44.41,43.56
2,DLPH,2018-07-12,43.54,43.61,742749,44.3,43.121
3,DLPH,2018-07-11,43.68,43.32,881777,44.11,43.3
4,DLPH,2018-07-10,45.13,44.68,650695,45.409,44.43
5,DLPH,2018-07-09,44.69,45.13,844032,46.03,44.3
6,DLPH,2018-07-06,43.74,42.97,463165,43.98,42.94
7,DLPH,2018-07-05,43.56,43.7,1021058,44.601,43.22
8,DLPH,2018-07-03,44.75,43.29,492167,44.775,43.21
9,DLPH,2018-07-02,44.66,44.35,1220862,44.66,43.03
10,DLPH,2018-06-29,45.99,45.46,914254,46.005,45.24
11,DLPH,2018-06-28,45.35,45.72,859703,45.83,43.96
12,DLPH,2018-06-27,46.41,45.68,734024,47.11,45.62
13,DLPH,2018-06-26,46.68,46.49,1285123,47.155,45.805
14,DLPH,2018-06-25,48.51,46.66,841561,48.51,46.4
15,DLPH,2018-06-22,49.89,48.67,5840813,50.17,47.72
16,DLPH,2018-06-21,50.2,49.44,1136999,50.24,49.01
17,DLPH,2018-06-20,50.47,50.54,678947,51.31,50.02
18,DLPH,2018-06-19,50.75,50.19,799927,50.89,49.565
19,DLPH,2018-06-18,50.22,51.26,555094,51.3,50.11
20,DLPH,2018-06-15,51.57,50.62,853676,51.82,50.17
21,DLPH,2018-06-14,52.96,51.76,433043,53.12,51.71
22,DLPH,2018-06-13,53.56,52.82,757826,53.6,52.2
23,DLPH,2018-06-12,53.41,53.33,590940,53.615,52.84
24,DLPH,2018-06-11,53.17,53.7,754090,53.78,52.87
25,DLPH,2018-06-08,52.8,53.1,486515,53.17,52.131
26,DLPH,2018-06-07,51.78,52.86,839295,52.98,51.38
27,DLPH,2018-06-06,52.05,51.62,457215,52.24,51.345
28,DLPH,2018-06-05,52.09,51.94,368339,52.24,51.46
29,DLPH,2018-06-04,51.3,52.16,750560,52.24,50.67
30,DLPH,2018-06-01,50.56,50.9,549218,51.16,50.3
31,DLPH,2018-05-31,50.6,50.1,518914,50.675,49.73
32,DLPH,2018-05-30,50.29,50.6,549569,51.25,50.29
33,DLPH,2018-05-29,50.62,50.16,758546,51.17,49.185
34,DLPH,2018-05-25,51.9,51.18,675044,52.71,51.07
35,DLPH,2018-05-24,52.81,52.2,833434,53.005,52.05
36,DLPH,2018-05-23,52.97,52.93,739353,53.18,52.5
37,DLPH,2018-05-22,52.5,53.11,630632,53.57,52.4348
38,DLPH,2018-05-21,52.93,52.58,704971,53.271,52.33
39,DLPH,2018-05-18,52.3,52.58,707481,53.41,52.18
40,DLPH,2018-05-17,51.64,52.38,1081894,53.2,51.64
41,DLPH,2018-05-16,51.07,51.64,560864,51.86,50.285
42,DLPH,2018-05-15,49.71,50.61,473100,50.775,49.55
43,DLPH,2018-05-14,50.26,50.16,412501,50.9566,49.97
44,DLPH,2018-05-11,50.11,49.97,488301,50.15,49.42
45,DLPH,2018-05-10,49.69,50.19,1011266,50.66,48.55
46,DLPH,2018-05-09,49.0,49.48,1581642,50.0,46.7001
47,DLPH,2018-05-08,47.19,47.47,848587,47.6,46.59
48,DLPH,2018-05-07,47.13,46.93,523739,47.2897,46.26
49,DLPH,2018-05-04,46.43180990685859,47.0695,671067,47.72711790855207,45.84393935224386
50,DLPH,2018-05-03,46.94988626198083,46.7805,551997,47.90642044728434,46.28230511182109
51,DLPH,2018-05-02,47.86660118343195,47.1492,646541,47.86660118343195,46.86024674556213
52,DLPH,2018-05-01,48.324993717277486,47.5777,691028,48.52427204188482,47.09943202094241
53,DLPH,2018-04-30,48.95270169386491,48.2353,596962,49.151979942160715,48.19544435034084
54,DLPH,2018-04-27,48.75340527817403,48.8929,519414,49.640193152639085,48.673694008559195
