,symbol,date,open,close,volume,high,low
0,EBAY,2018-07-18,37.78,37.95,15302113,38.34,37.62
1,EBAY,2018-07-17,37.43,37.81,9931208,38.145,37.32
2,EBAY,2018-07-16,37.66,37.73,11576858,38.06,37.495
3,EBAY,2018-07-13,37.55,37.61,7785690,37.67,37.125
4,EBAY,2018-07-12,37.46,37.55,9711482,37.78,37.2
5,EBAY,2018-07-11,36.93,36.98,8442009,37.43,36.78
6,EBAY,2018-07-10,37.08,37.04,11250671,37.5,36.99
7,EBAY,2018-07-09,37.54,37.91,4660709,37.93,37.45
8,EBAY,2018-07-06,37.2,37.39,4188534,37.54,36.75
9,EBAY,2018-07-05,36.8,37.03,4653755,37.1,36.5
10,EBAY,2018-07-03,36.89,36.64,3704025,37.21,36.61
11,EBAY,2018-07-02,35.91,36.67,6144215,36.68,35.67
12,EBAY,2018-06-29,36.28,36.26,6335783,36.54,36.13
13,EBAY,2018-06-28,36.18,36.14,11381234,36.37,35.5601
14,EBAY,2018-06-27,37.02,36.3,9898267,37.3,36.29
15,EBAY,2018-06-26,37.13,37.07,12451301,37.37,36.78
16,EBAY,2018-06-25,37.72,37.11,13382642,37.75,36.78
17,EBAY,2018-06-22,38.07,38.09,11808378,38.27,37.65
18,EBAY,2018-06-21,39.22,38.01,11587252,39.59,37.86
19,EBAY,2018-06-20,39.48,39.26,5750482,39.54,38.96
20,EBAY,2018-06-19,38.32,39.18,7190171,39.3,38.28
21,EBAY,2018-06-18,38.5,38.86,10077541,39.035,38.34
22,EBAY,2018-06-15,38.92,38.89,12891615,39.01,38.43
23,EBAY,2018-06-14,39.52,39.0,9353424,39.67,38.95
24,EBAY,2018-06-13,40.25,39.33,14044008,40.27,38.865
25,EBAY,2018-06-12,40.63,40.45,8575069,40.75,40.3
26,EBAY,2018-06-11,40.27,40.49,5208946,40.76,40.08
27,EBAY,2018-06-08,40.26,40.29,6067013,40.41,39.91
28,EBAY,2018-06-07,40.06,40.45,11570738,40.86,39.8352
29,EBAY,2018-06-06,40.07,39.95,6986651,40.11,39.3
30,EBAY,2018-06-05,39.23,40.04,11216124,40.47,39.22
31,EBAY,2018-06-04,38.47,39.07,8115338,39.125,38.39
32,EBAY,2018-06-01,38.06,38.34,7831203,38.855,37.91
33,EBAY,2018-05-31,37.78,37.72,10710686,37.81,37.18
34,EBAY,2018-05-30,37.78,37.85,7908718,38.12,37.53
35,EBAY,2018-05-29,37.73,37.53,8306041,37.88,37.36
36,EBAY,2018-05-25,37.84,37.94,8736645,38.29,37.8
37,EBAY,2018-05-24,38.03,37.79,6256208,38.24,37.63
38,EBAY,2018-05-23,37.61,38.04,7347029,38.055,37.47
39,EBAY,2018-05-22,38.4,37.77,9142228,38.49,37.69
40,EBAY,2018-05-21,38.49,38.29,6599255,38.815,38.189
41,EBAY,2018-05-18,38.3,38.32,6736578,38.575,38.1649
42,EBAY,2018-05-17,38.23,38.4,6370421,38.84,38.23
43,EBAY,2018-05-16,38.0,38.35,11002589,38.57,37.95
44,EBAY,2018-05-15,38.12,38.08,6747247,38.21,37.69
45,EBAY,2018-05-14,38.145,38.39,7462763,38.67,38.145
