,symbol,date,open,close,volume,high,low
0,ETFC,2018-07-09,61.08,61.89,2386485,61.94,61.05
1,ETFC,2018-07-06,59.96,60.58,2274620,61.22,59.5
2,ETFC,2018-07-05,61.11,59.95,2373985,61.27,59.77
3,ETFC,2018-07-03,61.88,60.74,1140022,62.1,60.63
4,ETFC,2018-07-02,60.72,61.62,1829380,61.66,60.25
5,ETFC,2018-06-29,62.05,61.16,1876097,62.33,61.14
6,ETFC,2018-06-28,61.51,61.6,2069639,61.97,60.9
7,ETFC,2018-06-27,62.4,61.25,3180683,62.73,61.16
8,ETFC,2018-06-26,62.68,62.51,1568975,63.29,62.4
9,ETFC,2018-06-25,64.33,62.7,2762774,64.36,62.19
10,ETFC,2018-06-22,65.65,64.93,5136402,65.65,64.78
11,ETFC,2018-06-21,65.19,65.21,1969251,65.62,64.4272
12,ETFC,2018-06-20,64.91,65.21,1838671,65.79,64.89
13,ETFC,2018-06-19,63.6,64.47,1718024,64.55,63.53
14,ETFC,2018-06-18,63.92,64.39,1483025,64.63,63.5
15,ETFC,2018-06-15,64.39,64.31,3944868,64.74,63.33
16,ETFC,2018-06-14,65.07,64.84,1638546,65.49,64.31
17,ETFC,2018-06-13,64.6,64.88,1723553,65.63,64.24
18,ETFC,2018-06-12,64.69,64.52,2548647,64.85,63.97
19,ETFC,2018-06-11,65.6,64.48,2525038,65.95,64.43
20,ETFC,2018-06-08,64.78,65.41,1860682,65.55,64.5
21,ETFC,2018-06-07,66.04,64.96,2242217,66.46,64.54
22,ETFC,2018-06-06,64.9,65.99,3043492,66.09,64.77
23,ETFC,2018-06-05,64.31,64.69,2345868,64.91,64.17
24,ETFC,2018-06-04,64.41,64.5,2664518,64.63,63.88
25,ETFC,2018-06-01,64.02,64.08,2491697,64.74,63.66
26,ETFC,2018-05-31,63.71,63.35,3780177,64.269,63.17
27,ETFC,2018-05-30,62.94,63.63,2334538,64.23,62.93
28,ETFC,2018-05-29,63.68,62.27,3497652,63.88,61.93
29,ETFC,2018-05-25,64.6,64.14,2236424,64.69,63.77
30,ETFC,2018-05-24,65.97,64.76,2156128,65.97,64.09
31,ETFC,2018-05-23,65.25,65.7,2509236,65.77,64.5636
32,ETFC,2018-05-22,65.49,65.71,1917551,66.07,65.22
33,ETFC,2018-05-21,65.16,65.3,1462973,65.74,64.81
34,ETFC,2018-05-18,64.59,64.66,1624926,65.09,64.28
35,ETFC,2018-05-17,64.25,64.85,2184032,65.36,64.1452
36,ETFC,2018-05-16,64.04,64.39,1227670,64.79,63.85
37,ETFC,2018-05-15,63.78,64.2,1555796,64.46,63.59
38,ETFC,2018-05-14,64.5,63.87,2088069,64.665,63.46
39,ETFC,2018-05-11,64.31,64.39,1951368,65.14,64.2
40,ETFC,2018-05-10,64.01,64.1,1529076,64.42,63.51
41,ETFC,2018-05-09,63.21,64.0,1879605,64.28,62.8
42,ETFC,2018-05-08,62.13,62.94,2135227,63.56,62.01
43,ETFC,2018-05-07,61.67,62.15,2076722,62.2909,61.3
44,ETFC,2018-05-04,60.17,61.47,2008164,61.83,59.71
45,ETFC,2018-05-03,60.62,60.45,2193865,60.75,59.2978
46,ETFC,2018-05-02,61.07,60.87,2791211,61.93,60.69
47,ETFC,2018-05-01,60.65,61.04,1693853,61.08,60.23
48,ETFC,2018-04-30,61.36,60.68,2698266,61.92,60.68
49,ETFC,2018-04-27,60.54,61.27,3666072,61.39,60.13
50,ETFC,2018-04-26,59.66,60.57,2076812,60.98,59.16
51,ETFC,2018-04-25,59.5,59.56,2440207,59.84,58.509
52,ETFC,2018-04-24,60.31,59.5,2977961,60.74,58.55
53,ETFC,2018-04-23,60.73,60.33,3040542,61.1,59.66
54,ETFC,2018-04-20,58.3,60.48,6156218,61.8,57.65
55,ETFC,2018-04-19,58.08,58.83,4554305,58.89,57.97
56,ETFC,2018-04-18,59.2144,58.06,3908810,59.23,57.2
57,ETFC,2018-04-17,58.2,58.44,2856659,59.0,57.89
58,ETFC,2018-04-16,57.32,57.59,3217626,58.03,57.17
59,ETFC,2018-04-13,58.248,56.96,2492681,58.38,56.6
60,ETFC,2018-04-12,57.58,57.74,2876603,58.39,57.325
61,ETFC,2018-04-11,56.67,57.12,1676318,57.9,56.33
62,ETFC,2018-04-10,56.86,57.26,4202188,57.75,56.64
63,ETFC,2018-04-09,55.78,55.54,1960104,57.16,55.4
64,ETFC,2018-04-06,56.05,55.24,1993051,56.55,54.49
65,ETFC,2018-04-05,56.49,56.84,2426577,57.55,56.03
66,ETFC,2018-04-04,54.06,55.87,2638143,56.07,53.98
67,ETFC,2018-04-03,54.64,55.17,3234279,55.22,54.14
68,ETFC,2018-04-02,55.12,54.33,4909798,55.3,53.48
69,ETFC,2018-03-29,54.04,55.41,3882456,55.68,53.51
70,ETFC,2018-03-28,53.97,53.6,2691382,54.2565,52.5
71,ETFC,2018-03-27,55.8,54.07,2327444,56.225,53.56
72,ETFC,2018-03-26,54.34,55.56,2326398,55.71,53.74
73,ETFC,2018-03-23,55.07,53.09,2759616,55.37,52.99
74,ETFC,2018-03-22,56.66,54.97,3205658,56.98,54.7
75,ETFC,2018-03-21,57.16,57.61,2003156,58.489,57.06
76,ETFC,2018-03-20,56.98,57.16,1871277,57.43,56.74
77,ETFC,2018-03-19,57.2,56.49,1733672,57.64,55.62
78,ETFC,2018-03-16,56.84,57.29,2763474,57.75,56.55
79,ETFC,2018-03-15,57.46,56.74,3179810,57.46,56.235
80,ETFC,2018-03-14,56.23,57.16,3965193,57.73,55.68
81,ETFC,2018-03-13,58.06,56.99,2001482,58.26,56.81
82,ETFC,2018-03-12,58.15,57.88,3078831,58.45,57.45
83,ETFC,2018-03-09,55.55,57.24,2746465,57.27,55.49
84,ETFC,2018-03-08,55.21,55.17,2343872,55.42,54.31
85,ETFC,2018-03-07,53.68,54.91,2644578,55.15,53.54
86,ETFC,2018-03-06,53.32,54.4,3379913,54.78,52.89
87,ETFC,2018-03-05,51.04,52.62,2161057,53.115,50.771
88,ETFC,2018-03-02,50.91,51.52,1984921,51.64,50.36
89,ETFC,2018-03-01,52.24,51.19,3014118,52.88,50.75
90,ETFC,2018-02-28,53.4,52.23,3220423,54.0,52.21
91,ETFC,2018-02-27,52.32,53.11,5640464,54.7226,52.12
92,ETFC,2018-02-26,51.58,51.96,3480167,51.97,50.955
93,ETFC,2018-02-23,51.09,51.38,2963554,51.39,50.44
94,ETFC,2018-02-22,51.92,50.74,2278026,52.5,50.64
95,ETFC,2018-02-21,52.3,51.76,2090194,52.67,51.73
96,ETFC,2018-02-20,51.7,52.01,2169911,52.46,51.1411
97,ETFC,2018-02-16,51.49,51.81,1835857,52.19,50.84
98,ETFC,2018-02-15,51.97,51.73,2855038,52.16,50.87
99,ETFC,2018-02-14,49.78,51.53,1983051,51.73,49.7
