,symbol,date,open,close,volume,high,low
0,EW,2018-07-18,149.46,149.81,949838,150.135,148.615
1,EW,2018-07-17,146.33,149.2,1373738,149.58,146.33
2,EW,2018-07-16,148.02,146.68,758658,148.02,146.56
3,EW,2018-07-13,147.2,148.13,970700,148.78,146.93
4,EW,2018-07-12,145.77,147.17,1023579,147.55,145.39
5,EW,2018-07-11,145.57,144.65,1889745,145.59,143.9
6,EW,2018-07-10,147.14,147.05,619859,148.0,146.41
7,EW,2018-07-09,147.68,146.99,1185902,148.47,146.17
8,EW,2018-07-06,146.42,147.53,730510,147.77,145.74
9,EW,2018-07-05,146.6,146.46,935622,146.79,145.09
10,EW,2018-07-03,146.49,145.54,616587,146.49,145.09
11,EW,2018-07-02,144.86,146.16,1015138,146.26,144.12
12,EW,2018-06-29,147.1,145.57,1133326,147.66,145.49
13,EW,2018-06-28,144.89,146.73,1196918,147.09,144.42
14,EW,2018-06-27,147.99,144.76,1856683,149.65,144.18
15,EW,2018-06-26,150.28,150.23,856645,151.2,149.31
16,EW,2018-06-25,152.87,149.99,1258970,152.87,148.82
17,EW,2018-06-22,152.77,152.87,1106297,154.1,151.76
18,EW,2018-06-21,153.71,152.18,1195076,154.1825,151.44
19,EW,2018-06-20,153.82,153.9,1322022,155.2225,153.3701
20,EW,2018-06-19,152.0,153.6,1571203,153.75,151.44
21,EW,2018-06-18,151.75,153.11,1199120,154.145,150.9
22,EW,2018-06-15,151.82,152.51,2100152,153.87,151.07
23,EW,2018-06-14,152.47,151.56,1638715,153.5,150.175
24,EW,2018-06-13,150.0,151.98,1892799,153.66,149.6
25,EW,2018-06-12,146.99,148.52,1648827,149.17,146.745
26,EW,2018-06-11,143.1,146.27,1516940,146.94,142.59
27,EW,2018-06-08,141.37,142.82,1005640,143.38,141.37
28,EW,2018-06-07,142.37,142.01,1277636,142.76,140.33
29,EW,2018-06-06,141.37,141.97,1308312,141.97,140.165
30,EW,2018-06-05,143.06,141.86,981149,143.2,141.04
31,EW,2018-06-04,141.92,142.78,1225504,143.76,140.73
32,EW,2018-06-01,138.17,141.91,1532702,142.23,137.12
33,EW,2018-05-31,138.11,137.31,1335035,139.4,136.98
34,EW,2018-05-30,136.34,137.45,826500,138.85,136.28
35,EW,2018-05-29,135.38,135.93,924990,136.08,134.38
36,EW,2018-05-25,137.5,135.95,1002330,137.82,135.25
37,EW,2018-05-24,139.39,137.57,1425526,139.98,136.5
38,EW,2018-05-23,136.15,139.06,1400988,139.5,136.09
39,EW,2018-05-22,137.36,136.63,733891,137.51,136.47
40,EW,2018-05-21,136.5,137.24,788242,137.48,136.16
41,EW,2018-05-18,135.53,135.95,1235253,136.36,134.79
42,EW,2018-05-17,136.0,135.83,630167,136.605,135.22
43,EW,2018-05-16,136.69,136.42,732635,137.345,136.0
44,EW,2018-05-15,137.26,136.43,847100,137.42,135.4201
45,EW,2018-05-14,138.0,138.06,981724,138.98,137.2
46,EW,2018-05-11,136.54,138.11,883734,138.3,136.045
47,EW,2018-05-10,135.85,136.78,922438,137.39,135.48
48,EW,2018-05-09,134.91,135.23,953111,135.7,133.34
49,EW,2018-05-08,135.45,134.83,1250166,136.18,133.97
50,EW,2018-05-07,135.01,136.09,1230461,137.23,135.01
51,EW,2018-05-04,131.93,134.77,1092608,135.51,131.1101
52,EW,2018-05-03,131.19,132.82,1245667,133.29,129.7214
53,EW,2018-05-02,132.01,131.68,1600485,132.85,130.34
54,EW,2018-05-01,128.91,132.59,2920392,132.71,128.26
55,EW,2018-04-30,129.46,127.36,1520620,130.21,127.29
56,EW,2018-04-27,129.45,129.29,1332213,129.91,128.27
57,EW,2018-04-26,129.51,129.61,1994411,131.11,127.4548
58,EW,2018-04-25,124.01,129.52,5385460,130.75,123.0
59,EW,2018-04-24,137.62,134.67,2118290,137.85,132.3
