,symbol,date,open,close,volume,high,low
0,EXC,2018-07-16,42.28,42.15,5151809,42.4,41.96
1,EXC,2018-07-13,42.47,42.39,4771342,42.53,42.04
2,EXC,2018-07-12,42.49,42.35,6071339,42.6,41.96
3,EXC,2018-07-11,42.28,42.45,5569575,42.595,41.2
4,EXC,2018-07-10,41.5,42.17,5310644,42.37,41.46
5,EXC,2018-07-09,43.16,41.85,5951849,43.1997,41.68
6,EXC,2018-07-06,42.91,43.09,3729057,43.185,42.781
7,EXC,2018-07-05,42.9,42.92,4142643,42.985,42.64
8,EXC,2018-07-03,42.89,42.81,3059605,43.085,42.58
9,EXC,2018-07-02,42.67,42.9,4362329,42.92,42.35
10,EXC,2018-06-29,42.34,42.6,10091484,42.715,42.03
11,EXC,2018-06-28,42.33,42.28,7746861,42.61,42.11
12,EXC,2018-06-27,42.03,42.2,5636528,42.345,41.9
13,EXC,2018-06-26,41.95,42.03,10904010,42.215,41.8
14,EXC,2018-06-25,41.59,41.85,6911176,42.105,41.49
15,EXC,2018-06-22,41.59,41.5,5138103,41.73,41.35
16,EXC,2018-06-21,41.71,41.43,6894976,41.9142,41.19
17,EXC,2018-06-20,41.7,41.8,3896691,41.94,41.405
18,EXC,2018-06-19,41.75,41.61,6770706,42.14,41.245
19,EXC,2018-06-18,41.43,41.72,4843900,41.84,41.43
20,EXC,2018-06-15,40.97,41.49,11009624,41.57,40.58
21,EXC,2018-06-14,40.52,41.07,5081679,41.115,40.4
22,EXC,2018-06-13,40.61,40.52,5449404,41.125,40.36
23,EXC,2018-06-12,39.93,40.49,7251344,40.56,39.91
24,EXC,2018-06-11,40.0,39.93,4346327,40.22,39.725
25,EXC,2018-06-08,40.08,40.0,5415304,40.31,39.74
26,EXC,2018-06-07,39.74,40.14,6096995,40.53,39.625
27,EXC,2018-06-06,40.65,39.71,6190366,40.65,39.65
28,EXC,2018-06-05,40.7,40.43,4926430,40.75,40.23
29,EXC,2018-06-04,41.09,40.54,6684668,41.34,40.42
30,EXC,2018-06-01,41.39,40.99,6910550,41.4,40.41
31,EXC,2018-05-31,41.17,41.39,6176581,41.715,40.9099
32,EXC,2018-05-30,40.68,41.22,6727140,41.39,40.45
33,EXC,2018-05-29,40.49,40.71,6144225,40.89,40.33
34,EXC,2018-05-25,40.49,40.67,4390173,40.885,40.42
35,EXC,2018-05-24,40.18,40.53,6119197,40.55,39.935
36,EXC,2018-05-23,39.95,40.3,6601515,40.35,39.9
37,EXC,2018-05-22,39.63,39.87,5331018,40.115,39.62
38,EXC,2018-05-21,39.54,39.64,4903840,39.71,39.11
39,EXC,2018-05-18,39.42,39.44,6491563,39.665,39.105
40,EXC,2018-05-17,39.84,39.35,6401714,40.0,39.25
41,EXC,2018-05-16,40.11,39.79,4343638,40.27,39.58
42,EXC,2018-05-15,40.08,40.21,8295860,40.31,39.87
43,EXC,2018-05-14,40.45,40.34,4226823,40.55,40.08
44,EXC,2018-05-11,40.20616313976378,40.2954,3392956,40.41438248031496,40.002901402559054
45,EXC,2018-05-10,39.95824408866994,40.2557,4839529,40.27553039408866,39.819431330049255
46,EXC,2018-05-09,40.36482564423318,39.6311,6292873,40.444147335501626,39.57160873154866
47,EXC,2018-05-08,40.820853338242514,40.3945,9582960,40.84068372606774,40.22594170348552
48,EXC,2018-05-07,40.781241501210665,40.9498,6937907,41.207595351089594,40.751495883777245
49,EXC,2018-05-04,40.553226144109054,40.7317,4187142,40.85564017770204,40.533395715676726
50,EXC,2018-05-03,39.958263892288855,40.5036,8154002,40.83575926560587,39.70046864137086
51,EXC,2018-05-02,40.0376,40.0376,8072866,40.24581931649331,39.581500544824166
52,EXC,2018-05-01,39.66077210460772,39.8095,14136045,40.087125404732255,39.541789788293904
53,EXC,2018-04-30,39.58146471774194,39.3435,6805284,39.65087109375,39.27409362399193
54,EXC,2018-04-27,39.085746097866995,39.5121,3301544,39.621167277289835,39.07583089084064
55,EXC,2018-04-26,38.88745887117185,39.175,4011043,39.31381295874462,38.81805239179954
56,EXC,2018-04-25,38.67917208886619,38.8279,3818549,38.85764558222676,38.371801072522985
57,EXC,2018-04-24,38.51068279734559,38.8478,5237632,39.28406932108218,38.41153067891781
58,EXC,2018-04-23,38.3916912571133,38.3322,4383282,38.72880838075531,38.15868383341956
59,EXC,2018-04-20,38.65939308290156,38.2727,4593102,38.66930829015544,38.07439585492228
60,EXC,2018-04-19,38.57010882956879,38.6296,3196216,38.69900636550308,38.252822587268994
61,EXC,2018-04-18,38.84776486902928,38.6098,4157449,39.204712172573196,38.6098
62,EXC,2018-04-17,38.37183747120553,38.7387,4972972,38.82793683132838,38.292515843358075
63,EXC,2018-04-16,38.19339352163773,38.2628,4767873,38.357093658460734,37.94551324177248
64,EXC,2018-04-13,37.737274230568595,38.0149,5489899,38.39167782994261,37.70871843714136
65,EXC,2018-04-12,37.79674724576271,37.4398,9585065,38.20822809851695,37.13560162500001
66,EXC,2018-04-11,38.32225844594595,38.1537,3765381,38.32225844594595,38.06446317567568
67,EXC,2018-04-10,38.25286314972847,38.3421,5598181,38.52057370054306,38.08430465477114
68,EXC,2018-04-09,38.381782534335315,38.2628,3835251,38.5602563358383,38.1636478880539
69,EXC,2018-04-06,38.64943184053843,38.3024,3475642,38.75849899042195,38.11956379601345
70,EXC,2018-04-05,38.47099589743589,38.6693,4427988,38.78828246153846,38.08430289743589
71,EXC,2018-04-04,38.3322174316658,38.4512,4286123,38.47103042805569,37.925693656523976
72,EXC,2018-04-03,37.92564,38.4214,6064150,38.599873599999995,37.856233599999996
73,EXC,2018-04-02,38.76847778358599,37.9356,7398704,38.82806820595923,37.64805886042865
74,EXC,2018-03-29,38.48089597539093,38.6792,6223842,38.986571238144066,38.43131996923866
75,EXC,2018-03-28,38.25286081992735,38.2132,7685256,38.63955381421899,38.1338783601453
76,EXC,2018-03-27,37.81659818040031,38.1438,4867389,38.52057785287237,37.667870080582276
77,EXC,2018-03-26,37.57859606299212,37.7769,3385318,37.83639118110235,37.429868110236214
78,EXC,2018-03-23,38.09417883850438,37.3902,4488244,38.25282195704057,37.310878440731905
79,EXC,2018-03-22,37.77688975762315,38.0446,5613211,38.748578785509515,37.77688975762315
80,EXC,2018-03-21,38.03474105594957,37.7472,5770878,38.40160378250591,37.62821749408984
81,EXC,2018-03-20,37.965269616288175,37.9851,9868597,38.262725371965544,37.82149933437745
82,EXC,2018-03-19,38.10411923076923,37.8959,4559888,38.23797445054945,37.58852875457875
83,EXC,2018-03-16,37.6380620114643,38.0545,10255671,38.21314304325169,37.5736132751433
84,EXC,2018-03-15,37.50923916028519,37.5489,5385059,37.88601713757593,37.3753838262477
