,symbol,date,open,close,volume,high,low
0,FCX,2018-07-09,17.86,18.11,16763438,18.13,17.56
1,FCX,2018-07-06,16.92,17.51,15284344,17.615,16.6947
2,FCX,2018-07-05,17.07,16.97,17618050,17.37,16.66
3,FCX,2018-07-03,17.2,17.07,8460045,17.55,16.93
4,FCX,2018-07-02,17.02,17.16,14426426,17.17,16.785
5,FCX,2018-06-29,17.0,17.26,19796790,17.46,16.96
6,FCX,2018-06-28,16.68,16.79,17572541,16.92,16.215
7,FCX,2018-06-27,16.31,16.9,24678602,17.02,16.24
8,FCX,2018-06-26,15.8,16.25,16299997,16.27,15.66
9,FCX,2018-06-25,16.19,15.74,14838875,16.31,15.46
10,FCX,2018-06-22,16.69,16.44,20612124,16.79,16.39
11,FCX,2018-06-21,16.27,16.36,12194658,16.56,16.26
12,FCX,2018-06-20,16.35,16.3,11160275,16.435,16.11
13,FCX,2018-06-19,16.38,16.26,17789140,16.435,15.89
14,FCX,2018-06-18,16.695,16.8,13392693,16.91,16.57
15,FCX,2018-06-15,17.35,16.89,22848293,17.35,16.64
16,FCX,2018-06-14,17.92,17.58,12549356,17.985,17.51
17,FCX,2018-06-13,17.9,17.81,9608098,18.09,17.67
18,FCX,2018-06-12,18.11,17.86,11926324,18.18,17.6716
19,FCX,2018-06-11,17.95,18.19,12672637,18.365,17.9
20,FCX,2018-06-08,17.95,18.03,10326209,18.14,17.86
21,FCX,2018-06-07,18.19,17.93,15733478,18.38,17.68
22,FCX,2018-06-06,17.83,18.2,20784776,18.23,17.68
23,FCX,2018-06-05,17.35,17.65,14530758,17.76,17.291
24,FCX,2018-06-04,17.26,17.21,9196275,17.46,17.1406
25,FCX,2018-06-01,17.17,17.12,12801990,17.34,16.935
26,FCX,2018-05-31,17.24,16.9,15414435,17.37,16.865
27,FCX,2018-05-30,16.81,17.12,13255720,17.24,16.72
28,FCX,2018-05-29,16.82,16.65,12993437,17.2,16.605
29,FCX,2018-05-25,17.2,17.08,9003251,17.3,16.94
30,FCX,2018-05-24,17.3,17.38,13009984,17.52,17.08
31,FCX,2018-05-23,17.07,17.35,18864461,17.375,16.8
32,FCX,2018-05-22,16.94,17.17,27675867,17.78,16.66
33,FCX,2018-05-21,17.07,16.69,13431083,17.11,16.55
34,FCX,2018-05-18,16.7,16.87,16113200,17.17,16.69
35,FCX,2018-05-17,16.67,16.78,18221791,16.98,16.66
36,FCX,2018-05-16,16.08,16.64,18976008,16.9,16.07
37,FCX,2018-05-15,15.98,15.96,14673753,16.09,15.69
38,FCX,2018-05-14,16.35,16.2,10837307,16.47,16.08
39,FCX,2018-05-11,16.27,16.27,12881766,16.53,16.18
40,FCX,2018-05-10,15.92,16.22,19718635,16.41,15.89
41,FCX,2018-05-09,15.39,15.68,14097159,15.76,15.39
42,FCX,2018-05-08,15.19,15.3,12799316,15.35,14.99
43,FCX,2018-05-07,15.48,15.26,13111341,15.67,15.22
44,FCX,2018-05-04,15.12,15.42,15428840,15.55,15.065
45,FCX,2018-05-03,15.28,15.21,18971938,15.35,14.99
46,FCX,2018-05-02,15.23,15.11,20459693,15.37,14.96
47,FCX,2018-05-01,15.12,14.95,19461331,15.295,14.64
48,FCX,2018-04-30,15.32,15.21,17564401,15.485,15.185
49,FCX,2018-04-27,15.33,15.32,16203740,15.53,15.16
50,FCX,2018-04-26,15.5,15.63,31647207,15.71,15.12
51,FCX,2018-04-25,15.93,15.37,39938562,16.06,15.32
52,FCX,2018-04-24,18.4,16.08,77548984,18.4,15.605
53,FCX,2018-04-23,18.96,18.81,14924599,19.275,18.71
54,FCX,2018-04-20,19.59,19.36,13230173,19.68,19.16
55,FCX,2018-04-19,19.18,19.57,22122732,19.7,18.98
56,FCX,2018-04-18,18.82,19.18,19424177,19.36,18.81
57,FCX,2018-04-17,18.19,18.3,10121729,18.41,18.0
58,FCX,2018-04-16,18.09,18.16,12325556,18.22,17.83
59,FCX,2018-04-13,18.0,17.87,9706951,18.0792,17.685
60,FCX,2018-04-12,17.84,17.86,12857710,17.97,17.48
61,FCX,2018-04-11,18.049464961067855,17.9298,11123729,18.119269521690768,17.850023359288095
62,FCX,2018-04-10,17.86998153846154,18.1492,14465858,18.288809230769232,17.650595604395605
63,FCX,2018-04-09,17.401244119334482,17.3813,14785123,17.60567134251291,17.022305851979347
