,symbol,date,open,close,volume,high,low
0,FISV,2018-07-09,75.5,75.82,1224591,76.28,75.5
1,FISV,2018-07-06,75.22,75.49,1282861,75.67,74.95
2,FISV,2018-07-05,74.72,75.03,1238262,75.19,74.01
3,FISV,2018-07-03,74.96,74.42,597408,75.1,74.33
4,FISV,2018-07-02,73.7,74.74,1408802,74.76,73.54
5,FISV,2018-06-29,74.02,74.09,1410396,74.63,73.89
6,FISV,2018-06-28,73.31,73.93,1276365,74.05,73.22
7,FISV,2018-06-27,74.24,73.26,1877586,74.59,73.19
8,FISV,2018-06-26,74.66,74.18,1528174,74.775,73.99
9,FISV,2018-06-25,75.54,74.38,1578143,75.55,74.11
10,FISV,2018-06-22,76.01,75.57,2987983,76.3,75.36
11,FISV,2018-06-21,74.86,75.78,1346835,76.377,74.86
12,FISV,2018-06-20,76.36,76.21,1723888,76.75,76.14
13,FISV,2018-06-19,75.81,76.16,1496293,76.218,75.55
14,FISV,2018-06-18,76.0,76.22,1462455,76.4165,75.48
15,FISV,2018-06-15,76.62,76.49,3351059,76.69,75.85
16,FISV,2018-06-14,76.17,76.43,2083396,76.98,75.93
17,FISV,2018-06-13,75.81,75.85,1920849,76.76,75.6
18,FISV,2018-06-12,75.05,75.85,1487079,75.95,74.72
19,FISV,2018-06-11,75.35,75.13,1188072,75.5,75.01
20,FISV,2018-06-08,75.11,75.47,1141495,75.53,74.75
21,FISV,2018-06-07,76.0,75.07,2461965,76.14,74.54
22,FISV,2018-06-06,74.9,76.06,2636528,76.07,74.9
23,FISV,2018-06-05,74.28,74.68,1943271,74.85,74.16
24,FISV,2018-06-04,73.43,74.26,1194218,74.61,73.34
25,FISV,2018-06-01,73.01,73.33,1230626,73.57,72.12
26,FISV,2018-05-31,72.71,72.6,2077206,73.24,72.48
27,FISV,2018-05-30,71.95,72.75,1675692,73.01,71.59
28,FISV,2018-05-29,71.34,71.63,1920445,71.71,70.78
29,FISV,2018-05-25,71.68,71.77,1003673,71.96,71.61
30,FISV,2018-05-24,71.86,71.68,1836462,72.07,71.25
31,FISV,2018-05-23,71.11,71.87,1600876,71.87,70.73
32,FISV,2018-05-22,73.43,71.66,2409250,73.43,71.54
33,FISV,2018-05-21,73.07,73.25,1559533,73.56,73.0
34,FISV,2018-05-18,72.74,72.98,1461988,73.24,72.5
35,FISV,2018-05-17,72.26,72.5,1511524,72.61,71.9
36,FISV,2018-05-16,72.26,72.28,1278796,72.6,72.01
37,FISV,2018-05-15,72.05,72.09,1473666,72.2,71.58
38,FISV,2018-05-14,72.72,72.42,1205522,73.19,72.31
39,FISV,2018-05-11,72.44,72.79,1518584,72.89,72.25
40,FISV,2018-05-10,71.79,72.41,956078,72.55,71.45
41,FISV,2018-05-09,70.54,71.49,1457263,71.8,70.21
42,FISV,2018-05-08,69.95,70.41,2007558,71.2,69.31
43,FISV,2018-05-07,69.83,70.41,1786771,70.52,69.78
44,FISV,2018-05-04,68.62,69.72,2127310,69.97,68.45
45,FISV,2018-05-03,68.66,68.99,2346784,69.42,68.43
46,FISV,2018-05-02,71.0,69.03,3623266,71.559,68.86
47,FISV,2018-05-01,70.85,71.63,2547569,71.83,70.83
48,FISV,2018-04-30,71.51,70.86,2548402,72.15,70.82
49,FISV,2018-04-27,71.12,71.47,1547429,71.91,70.97
50,FISV,2018-04-26,70.4,71.32,1345051,71.72,70.32
51,FISV,2018-04-25,70.81,70.16,1393756,70.93,69.66
52,FISV,2018-04-24,71.52,70.9,1625860,71.7,70.45
53,FISV,2018-04-23,71.42,71.09,805725,71.74,70.88
54,FISV,2018-04-20,71.68,71.34,1212109,72.11,71.0
55,FISV,2018-04-19,71.95,71.75,958163,72.37,71.53
56,FISV,2018-04-18,72.47,72.12,1150665,72.49,71.84
57,FISV,2018-04-17,72.16,72.29,1724709,72.62,71.8
58,FISV,2018-04-16,71.49,71.59,1091529,71.9,71.15
59,FISV,2018-04-13,71.16,70.9,1304504,71.37,70.6
60,FISV,2018-04-12,71.11,70.98,1258974,71.34,70.734
