,symbol,date,open,close,volume,high,low
0,FOXA,2018-07-09,48.92,49.56,12520195,49.59,48.48
1,FOXA,2018-07-06,48.86,48.93,14853062,49.15,48.59
2,FOXA,2018-07-05,49.04,48.74,13220887,49.08,48.29
3,FOXA,2018-07-03,49.4,48.6,7087721,49.4999,48.39
4,FOXA,2018-07-02,49.56,49.2,11455219,49.88,48.93
5,FOXA,2018-06-29,49.61,49.69,13211370,50.145,49.48
6,FOXA,2018-06-28,49.13,49.79,16554218,49.83,49.06
7,FOXA,2018-06-27,48.48,48.8,29347118,49.045,47.89
8,FOXA,2018-06-26,48.22,47.68,23826049,48.66,47.5
9,FOXA,2018-06-25,48.5,48.14,14087530,48.6525,47.85
10,FOXA,2018-06-22,48.6,48.61,15500763,49.185,48.52
11,FOXA,2018-06-21,48.69,48.35,37866003,49.24,48.18
12,FOXA,2018-06-20,47.59,48.08,66698951,48.52,47.26
13,FOXA,2018-06-19,44.41,44.71,11403484,45.06,44.26
14,FOXA,2018-06-18,44.82,44.56,12101200,44.82,44.3399
15,FOXA,2018-06-15,44.58,44.66,19369393,45.05,44.39
16,FOXA,2018-06-14,44.12,44.58,24743481,44.7,44.1
17,FOXA,2018-06-13,43.71,43.66,49051959,43.93,43.2
18,FOXA,2018-06-12,40.14,40.54,16868064,41.02,40.14
19,FOXA,2018-06-11,39.87,40.13,16121717,41.11,39.8
20,FOXA,2018-06-08,39.57,39.99,10898779,40.3,39.55
21,FOXA,2018-06-07,39.13,39.65,13865657,39.68,39.04
22,FOXA,2018-06-06,39.04,39.3,16787680,39.39,38.86
23,FOXA,2018-06-05,38.75,39.08,9069457,39.1,38.65
24,FOXA,2018-06-04,38.66,38.66,8089218,38.99,38.64
25,FOXA,2018-06-01,38.71,38.56,10364779,38.82,38.38
26,FOXA,2018-05-31,38.66,38.55,8555250,38.86,38.31
27,FOXA,2018-05-30,38.8,38.66,11558663,39.115,38.48
28,FOXA,2018-05-29,38.69,38.65,9866792,38.94,38.24
29,FOXA,2018-05-25,38.95,39.02,8995114,39.28,38.83
30,FOXA,2018-05-24,38.85,38.93,13630869,39.46,38.59
31,FOXA,2018-05-23,38.53,38.77,13707246,39.085,38.38
32,FOXA,2018-05-22,38.09,38.16,9773253,38.55,38.01
33,FOXA,2018-05-21,37.81,37.93,6777265,38.08,37.72
34,FOXA,2018-05-18,37.67,37.66,7432031,37.84,37.5
35,FOXA,2018-05-17,38.05,37.77,7579484,38.32,37.7
36,FOXA,2018-05-16,37.94,38.16,3556597,38.27,37.8
37,FOXA,2018-05-15,37.53,37.87,5411681,37.91,37.43
38,FOXA,2018-05-14,37.87,37.76,8968942,38.02,37.45
39,FOXA,2018-05-11,37.92,37.94,6280150,38.11,37.65
40,FOXA,2018-05-10,37.79,37.92,8358087,38.27,37.69
41,FOXA,2018-05-09,38.21,37.7,10990941,38.32,37.57
42,FOXA,2018-05-08,38.96,37.99,17346619,39.35,37.855
43,FOXA,2018-05-07,37.94,38.04,7139019,38.28,37.7
44,FOXA,2018-05-04,36.72,37.66,9307142,37.8,36.42
45,FOXA,2018-05-03,36.56,36.88,10951004,37.11,35.86
46,FOXA,2018-05-02,36.51,36.73,14058023,37.15,36.33
47,FOXA,2018-05-01,36.43,36.57,6772879,36.74,36.19
48,FOXA,2018-04-30,36.63,36.56,8128468,37.06,36.5
49,FOXA,2018-04-27,36.2,36.42,11439205,36.81,35.92
50,FOXA,2018-04-26,36.65,36.25,17312423,37.19,36.21
51,FOXA,2018-04-25,36.01,36.58,13347865,37.12,35.79
52,FOXA,2018-04-24,36.73,36.02,8179142,36.81,35.805
53,FOXA,2018-04-23,36.7,36.49,5702243,36.85,36.27
54,FOXA,2018-04-20,37.18,36.68,7036204,37.32,36.625
55,FOXA,2018-04-19,37.3,37.2,8640039,37.97,37.075
56,FOXA,2018-04-18,37.58,37.31,4484925,37.76,37.24
57,FOXA,2018-04-17,37.28,37.54,7516955,37.89,37.13
58,FOXA,2018-04-16,37.14,37.04,5975170,37.25,36.72
59,FOXA,2018-04-13,36.61,36.79,9890064,36.995,36.52
