,symbol,date,open,close,volume,high,low
0,FTR,2018-07-09,5.64,5.42,2943970,5.67,5.39
1,FTR,2018-07-06,5.17,5.51,3046787,5.55,5.158
2,FTR,2018-07-05,5.08,5.2,4241660,5.22,4.9
3,FTR,2018-07-03,5.0,4.99,3611188,5.25,4.98
4,FTR,2018-07-02,5.32,4.95,4388157,5.34,4.92
5,FTR,2018-06-29,5.31,5.36,4838397,5.41,5.08
6,FTR,2018-06-28,5.95,5.265,10252007,6.02,5.25
7,FTR,2018-06-27,6.15,6.0,4082620,6.25,5.99
8,FTR,2018-06-26,6.19,6.16,3701708,6.4427,6.0
9,FTR,2018-06-25,6.55,6.17,4188846,6.6,6.16
10,FTR,2018-06-22,6.87,6.54,6188774,6.99,6.32
11,FTR,2018-06-21,7.31,6.7,10909181,7.31,6.67
12,FTR,2018-06-20,7.74,7.31,3140211,7.78,7.28
13,FTR,2018-06-19,7.64,7.74,1623116,7.83,7.59
14,FTR,2018-06-18,7.61,7.7,1885282,7.805,7.57
15,FTR,2018-06-15,7.77,7.63,2943961,7.78,7.53
16,FTR,2018-06-14,7.59,7.84,3422763,7.865,7.321
17,FTR,2018-06-13,7.73,7.64,3023684,8.15,7.62
18,FTR,2018-06-12,7.38,7.77,3098903,7.79,7.3787
19,FTR,2018-06-11,7.35,7.38,1786551,7.38,7.22
20,FTR,2018-06-08,7.33,7.33,1723164,7.38,7.245
21,FTR,2018-06-07,7.3,7.32,3627811,7.43,7.24
22,FTR,2018-06-06,7.73,7.32,3806194,7.7489,7.3
23,FTR,2018-06-05,7.69,7.7,2432375,7.71,7.5
24,FTR,2018-06-04,7.54,7.68,2124155,7.73,7.5
25,FTR,2018-06-01,7.42,7.49,7905174,7.53,7.3
26,FTR,2018-05-31,7.67,7.43,5306377,7.78,7.171
27,FTR,2018-05-30,7.74,7.74,3116904,7.85,7.55
28,FTR,2018-05-29,7.52,7.68,3475965,8.01,7.49
29,FTR,2018-05-25,7.76,7.69,4549962,7.8399,7.22
30,FTR,2018-05-24,8.31,7.75,5622252,8.31,7.67
31,FTR,2018-05-23,9.5,8.36,6347744,9.5,8.34
32,FTR,2018-05-22,9.65,9.52,2035881,9.87,9.495
33,FTR,2018-05-21,9.26,9.6,2073651,9.62,9.205
34,FTR,2018-05-18,9.3,9.27,1446168,9.43,9.13
35,FTR,2018-05-17,9.38,9.29,2520967,9.53,9.21
36,FTR,2018-05-16,9.32,9.38,1512119,9.515,9.21
37,FTR,2018-05-15,9.16,9.31,2012187,9.45,9.0568
38,FTR,2018-05-14,9.05,9.24,2030703,9.4,9.02
39,FTR,2018-05-11,9.16,9.03,2978890,9.51,8.9093
40,FTR,2018-05-10,9.07,9.13,3936410,9.28,8.79
41,FTR,2018-05-09,9.26,9.06,6217208,9.36,8.85
42,FTR,2018-05-08,10.54,9.78,5828800,10.6181,9.7
43,FTR,2018-05-07,11.34,10.56,4464681,11.639,10.53
44,FTR,2018-05-04,11.0,11.34,4871792,11.605,10.83
45,FTR,2018-05-03,10.33,11.05,8201530,11.07,10.18
46,FTR,2018-05-02,8.75,10.38,12418700,10.49,8.71
47,FTR,2018-05-01,8.3,8.15,2179794,8.41,8.1
48,FTR,2018-04-30,8.41,8.3,1406879,8.51,8.2198
49,FTR,2018-04-27,8.21,8.42,2576179,8.43,8.035
50,FTR,2018-04-26,8.49,8.21,1751336,8.5,8.1166
51,FTR,2018-04-25,8.49,8.52,2465821,8.63,8.35
52,FTR,2018-04-24,8.41,8.46,2020272,8.61,8.2
53,FTR,2018-04-23,8.27,8.33,2135722,8.35,7.88
54,FTR,2018-04-20,8.46,8.28,1965253,8.57,8.23
55,FTR,2018-04-19,8.93,8.49,2647096,8.97,8.46
56,FTR,2018-04-18,8.78,8.96,1676760,8.995,8.78
57,FTR,2018-04-17,8.56,8.78,2277573,9.0,8.56
58,FTR,2018-04-16,8.27,8.57,1737575,8.665,8.16
59,FTR,2018-04-13,8.13,8.27,1663953,8.42,8.13
60,FTR,2018-04-12,8.82,8.11,3859324,8.82,8.02
61,FTR,2018-04-11,8.56,8.87,2849743,8.915,8.42
62,FTR,2018-04-10,8.15,8.7,4444021,8.71,7.91
