,symbol,date,open,close,volume,high,low
0,HAS,2018-07-16,94.45,94.35,2469402,95.14,93.67
1,HAS,2018-07-13,97.18,96.52,675607,97.53,96.01
2,HAS,2018-07-12,97.11,97.4,794464,97.54,96.95
3,HAS,2018-07-11,95.96,96.73,807044,97.135,95.96
4,HAS,2018-07-10,96.78,96.59,1052641,97.38,96.47
5,HAS,2018-07-09,96.19,96.74,985126,97.04,95.78
6,HAS,2018-07-06,95.77,96.05,1141764,96.26,95.44
7,HAS,2018-07-05,93.16,95.31,1930846,95.38,93.16
8,HAS,2018-07-03,92.87,93.16,1126945,93.34,92.61
9,HAS,2018-07-02,91.75,93.02,2397806,93.05,91.7
10,HAS,2018-06-29,92.99,92.31,1786053,93.0,91.68
11,HAS,2018-06-28,91.05,92.01,1393315,92.02,90.96
12,HAS,2018-06-27,91.22,90.94,1320535,91.45,90.44
13,HAS,2018-06-26,91.3,90.95,654088,91.6,90.595
14,HAS,2018-06-25,91.19,91.02,863191,91.52,90.19
15,HAS,2018-06-22,91.84,91.68,980892,92.22,91.26
16,HAS,2018-06-21,91.36,91.6,873143,91.8799,90.6
17,HAS,2018-06-20,90.42,91.3,976563,91.57,89.255
18,HAS,2018-06-19,90.29,90.0,1716265,90.41,88.15
19,HAS,2018-06-18,91.5,91.11,1150685,91.91,90.43
20,HAS,2018-06-15,91.62,91.28,1864075,91.62,90.33
21,HAS,2018-06-14,91.08,91.61,1264313,92.02,90.9
22,HAS,2018-06-13,91.03,90.75,1052023,91.55,90.41
23,HAS,2018-06-12,90.57,91.21,837348,91.26,90.17
24,HAS,2018-06-11,90.37,90.43,443634,90.88,90.05
25,HAS,2018-06-08,88.82,90.33,648558,90.5,88.82
26,HAS,2018-06-07,88.45,88.81,656323,89.69,88.25
27,HAS,2018-06-06,87.18,88.43,941167,88.44,86.75
28,HAS,2018-06-05,88.43,87.06,1135087,88.63,86.9401
29,HAS,2018-06-04,87.34,88.65,745253,88.69,87.24
30,HAS,2018-06-01,87.22,87.09,994692,87.62,86.28
31,HAS,2018-05-31,86.96,86.75,1195861,87.22,86.41
32,HAS,2018-05-30,87.2,86.81,699526,87.3,86.69
33,HAS,2018-05-29,87.38,86.98,1031559,87.5,86.38
34,HAS,2018-05-25,88.0,87.64,633591,88.435,87.5
35,HAS,2018-05-24,87.76,87.78,465876,88.1,87.11
36,HAS,2018-05-23,87.3,87.74,460040,87.87,87.15
37,HAS,2018-05-22,87.46,87.56,633518,88.55,87.46
38,HAS,2018-05-21,88.85,87.37,750404,88.85,87.07
39,HAS,2018-05-18,88.58,88.71,873764,89.05,88.172
40,HAS,2018-05-17,88.09,88.67,812009,89.21,88.04
41,HAS,2018-05-16,87.36,88.28,766919,88.45,87.2
42,HAS,2018-05-15,86.27,87.17,759242,87.55,86.27
43,HAS,2018-05-14,87.25,86.63,790041,87.41,86.35
