,symbol,date,open,close,volume,high,low
0,HGV,2018-07-18,35.36,35.26,1173501,35.54,35.13
1,HGV,2018-07-17,34.79,35.25,867184,35.355,34.79
2,HGV,2018-07-16,35.73,34.94,1260226,35.92,34.76
3,HGV,2018-07-13,35.29,35.65,1086870,35.75,35.02
4,HGV,2018-07-12,35.43,35.46,819210,35.64,35.15
5,HGV,2018-07-11,35.21,35.29,811508,35.41,34.91
6,HGV,2018-07-10,35.6,35.47,1758813,36.38,35.161
7,HGV,2018-07-09,34.43,35.59,1607898,35.74,34.38
8,HGV,2018-07-06,34.18,34.41,1931672,34.8,33.93
9,HGV,2018-07-05,34.48,34.03,1864973,34.52,33.56
10,HGV,2018-07-03,34.35,34.43,313898,34.63,34.15
11,HGV,2018-07-02,34.51,34.22,1388809,34.88,33.67
12,HGV,2018-06-29,34.19,34.7,2264805,34.78,34.089
13,HGV,2018-06-28,34.15,34.1,1479439,34.19,33.61
14,HGV,2018-06-27,35.86,34.31,1615159,35.9,34.3
15,HGV,2018-06-26,36.47,35.95,830151,36.49,35.92
16,HGV,2018-06-25,36.79,36.47,610756,36.975,36.26
17,HGV,2018-06-22,36.35,37.03,1727794,37.08,36.26
18,HGV,2018-06-21,36.87,36.21,1658517,36.8912,36.19
19,HGV,2018-06-20,38.09,36.94,1281911,38.19,36.92
20,HGV,2018-06-19,38.42,38.08,995160,38.49,37.8
21,HGV,2018-06-18,38.8,38.67,861492,39.0,38.61
22,HGV,2018-06-15,38.82,38.86,1196927,38.9375,38.55
23,HGV,2018-06-14,39.04,38.92,936792,39.2,38.79
24,HGV,2018-06-13,39.66,38.79,1140127,40.035,38.765
25,HGV,2018-06-12,40.15,39.79,621805,40.21,39.6
26,HGV,2018-06-11,39.77,39.76,452419,40.0,39.54
27,HGV,2018-06-08,39.89,39.62,595134,40.26,39.44
28,HGV,2018-06-07,40.26,39.97,638662,40.43,39.79
29,HGV,2018-06-06,40.28,40.2,1099368,40.65,39.805
30,HGV,2018-06-05,40.24,40.33,850526,40.525,39.83
31,HGV,2018-06-04,40.6,40.46,1005797,40.6,40.23
32,HGV,2018-06-01,39.92,40.43,1313911,40.63,39.92
33,HGV,2018-05-31,40.49,39.76,754352,40.57,39.68
34,HGV,2018-05-30,39.53,40.32,980585,40.4,39.34
35,HGV,2018-05-29,39.61,39.38,509012,39.78,39.21
36,HGV,2018-05-25,39.85,39.88,380787,40.19,39.78
37,HGV,2018-05-24,39.8,39.98,619295,40.16,39.45
38,HGV,2018-05-23,40.09,39.81,761923,40.39,39.8
39,HGV,2018-05-22,40.4,40.18,532973,40.55,40.12
40,HGV,2018-05-21,40.14,40.32,798189,40.4,39.53
41,HGV,2018-05-18,39.67,39.95,1510945,40.09,39.23
42,HGV,2018-05-17,39.34,39.05,1882258,39.49,38.84
43,HGV,2018-05-16,38.99,39.34,1746676,39.39,38.875
44,HGV,2018-05-15,39.92,38.87,1778740,39.92,38.79
45,HGV,2018-05-14,40.4,39.82,560898,40.42,39.81
46,HGV,2018-05-11,40.17,40.32,1449672,40.62,39.8
47,HGV,2018-05-10,40.1,39.87,989808,40.48,39.83
48,HGV,2018-05-09,39.69,40.05,1676969,40.235,39.62
49,HGV,2018-05-08,40.06,39.75,1115801,40.26,39.57
50,HGV,2018-05-07,39.23,39.97,2458736,40.12,38.94
51,HGV,2018-05-04,40.97,39.25,3402093,41.1,38.53
52,HGV,2018-05-03,42.69,41.21,2621499,42.89,40.52
53,HGV,2018-05-02,43.06,42.75,1286901,43.14,42.64
54,HGV,2018-05-01,42.95,42.99,1085222,43.06,42.66
55,HGV,2018-04-30,43.5,43.0,1180478,43.9522,42.77
56,HGV,2018-04-27,43.43,43.37,491927,43.6492,43.18
57,HGV,2018-04-26,44.16,43.35,628383,44.245,43.32
58,HGV,2018-04-25,43.53,43.86,660269,43.98,43.245
59,HGV,2018-04-24,44.45,43.56,508301,44.49,43.285
60,HGV,2018-04-23,44.26,44.15,653808,44.49,43.88
61,HGV,2018-04-20,43.93,44.07,798871,44.39,43.64
