,symbol,date,open,close,volume,high,low
0,IP,2018-07-16,53.16,52.46,1228855,53.275,52.3
1,IP,2018-07-13,53.33,53.15,1312942,53.55,52.93
2,IP,2018-07-12,53.35,53.32,2589798,54.0,53.01
3,IP,2018-07-11,52.88,52.87,2937212,53.33,52.84
4,IP,2018-07-10,53.08,53.47,1867514,53.55,53.08
5,IP,2018-07-09,52.74,53.05,2326460,53.19,52.52
6,IP,2018-07-06,51.95,52.36,1584437,52.65,51.62
7,IP,2018-07-05,51.96,52.19,1966270,52.23,51.295
8,IP,2018-07-03,51.94,51.61,1165808,52.22,51.375
9,IP,2018-07-02,51.9,51.68,3003340,51.96,50.975
10,IP,2018-06-29,52.64,52.08,2361915,52.87,52.07
11,IP,2018-06-28,52.7,52.44,2556576,52.86,52.0284
12,IP,2018-06-27,53.28,52.87,2687468,53.76,52.85
13,IP,2018-06-26,53.15,53.2,2264597,53.44,52.91
14,IP,2018-06-25,52.98,53.04,2736107,53.22,52.3
15,IP,2018-06-22,53.13,53.0,7694469,53.61,52.95
16,IP,2018-06-21,54.19,52.87,4280930,54.2371,52.58
17,IP,2018-06-20,54.99,54.17,2896306,54.99,53.91
18,IP,2018-06-19,55.4,54.78,2917927,55.58,54.64
19,IP,2018-06-18,55.22,55.86,3835110,56.2,55.061
20,IP,2018-06-15,56.1,55.43,6759059,56.36,54.95
21,IP,2018-06-14,57.49,56.84,3981630,57.57,56.67
22,IP,2018-06-13,58.39,57.2,3607734,58.43,57.1
23,IP,2018-06-12,59.3,58.66,2820359,59.57,58.56
24,IP,2018-06-11,58.87,59.01,2364022,59.4,58.8
25,IP,2018-06-08,58.2,58.81,3392418,58.98,58.08
26,IP,2018-06-07,59.0,58.61,3586108,59.0588,58.535
27,IP,2018-06-06,58.03,58.99,4790734,59.0,56.84
28,IP,2018-06-05,57.67,57.19,6374876,58.58,57.12
29,IP,2018-06-04,55.84,57.27,6672961,57.565,55.84
30,IP,2018-06-01,55.08,55.24,3564341,55.67,54.52
31,IP,2018-05-31,53.92,53.5,2271861,54.33,53.24
32,IP,2018-05-30,53.43,53.89,1842035,54.2,53.33
33,IP,2018-05-29,53.67,52.94,2179833,53.81,52.64
34,IP,2018-05-25,54.45,54.13,1716160,54.65,53.81
35,IP,2018-05-24,54.58,54.6,2747671,54.88,53.81
36,IP,2018-05-23,54.86272380090498,54.7735,3250470,55.160136470588235,54.12018350226244
37,IP,2018-05-22,54.714012264320345,55.2097,2967962,55.487285131980606,54.261151949003406
38,IP,2018-05-21,54.72394496741491,54.7636,1851427,54.813168790731346,54.257998334540176
39,IP,2018-05-18,54.525655021834055,54.486,2145602,54.753671397379904,54.277811135371174
40,IP,2018-05-17,54.416566273156555,54.5851,2358087,54.872598710497634,54.406652524518705
41,IP,2018-05-16,53.53428311829911,54.5554,4568113,55.32867297837543,53.494628093767034
42,IP,2018-05-15,53.54417504181379,53.3459,3179338,53.65322631481137,52.55279983274484
43,IP,2018-05-14,53.28646698026195,53.7425,2621474,53.8713788968825,53.02870918649696
44,IP,2018-05-11,52.49333709226468,53.1873,1839886,53.370704482758626,52.38428577819199
45,IP,2018-05-10,51.84895704012112,52.3843,1432628,52.84033289174867,51.79998307305072
46,IP,2018-05-09,51.47222854953056,51.7399,1786207,51.94808890592067,51.16490206936194
47,IP,2018-05-08,51.442447495648814,51.264,1879412,51.492016244440144,50.96757888222781
48,IP,2018-05-07,51.54163759876663,51.4425,2289638,51.591206398149936,50.69896800925034
49,IP,2018-05-04,50.51059407932554,51.7399,2278335,52.05714023759341,50.38171523280322
50,IP,2018-05-03,49.74723795192496,50.7287,4594490,50.8674926128591,49.598531581004494
