,symbol,date,open,close,volume,high,low
0,IPG,2018-07-09,22.88,23.09,2905572,23.13,22.795
1,IPG,2018-07-06,22.43,22.86,2392076,22.9,22.335
2,IPG,2018-07-05,22.4,22.4,3756184,22.52,22.11
3,IPG,2018-07-03,23.17,22.33,3538621,23.17,22.3
4,IPG,2018-07-02,23.25,23.03,3691075,23.29,22.695
5,IPG,2018-06-29,23.83,23.44,2267859,23.83,23.43
6,IPG,2018-06-28,23.36,23.71,2973195,23.73,23.165
7,IPG,2018-06-27,23.62,23.33,2402283,23.71,23.31
8,IPG,2018-06-26,23.48,23.62,2303224,23.725,23.455
9,IPG,2018-06-25,23.87,23.58,3690092,24.205,23.46
10,IPG,2018-06-22,23.67,23.91,7140493,24.01,23.6
11,IPG,2018-06-21,23.42,23.54,2334663,23.71,23.33
12,IPG,2018-06-20,23.4,23.42,1556815,23.54,23.305
13,IPG,2018-06-19,23.42,23.36,2436334,23.57,23.24
14,IPG,2018-06-18,23.41,23.63,2438552,23.64,23.255
15,IPG,2018-06-15,23.53,23.57,3485291,23.6,23.375
16,IPG,2018-06-14,23.39,23.58,3842279,23.83,23.39
17,IPG,2018-06-13,23.68,23.31,3015034,23.71,23.305
18,IPG,2018-06-12,23.5,23.46,3970885,23.59,23.29
19,IPG,2018-06-11,23.11,23.59,2421864,23.725,23.11
20,IPG,2018-06-08,22.95,23.12,2418223,23.14,22.95
21,IPG,2018-06-07,23.0,22.99,1515377,23.17,22.86
22,IPG,2018-06-06,22.84,22.97,1912728,22.97,22.71
23,IPG,2018-06-05,22.69,22.83,2340864,22.88,22.645
24,IPG,2018-06-04,22.65,22.78,2630141,22.82,22.539
25,IPG,2018-06-01,22.49,22.57,2721195,22.595,22.275
26,IPG,2018-05-31,22.44123915929203,22.3917,3241116,22.44123915929203,22.134096371681416
27,IPG,2018-05-30,22.45113914197258,22.4016,3039052,22.461046970367097,22.243074745687746
28,IPG,2018-05-29,22.62945636042403,22.4313,3276730,22.773119721731447,22.267821002650177
29,IPG,2018-05-25,22.847431277150303,22.8078,1982933,22.971279018245003,22.738445264986968
30,IPG,2018-05-24,22.936607821953327,22.9267,2366290,23.144672082973205,22.852391335350045
31,IPG,2018-05-23,23.283349870578085,22.9663,4449813,23.303165487489213,22.74832821397757
32,IPG,2018-05-22,23.669793899873792,23.5509,2064112,23.7787799747581,23.54099217501052
33,IPG,2018-05-21,23.689585966386556,23.5806,3171199,23.768848487394955,23.57069218487395
