,symbol,date,open,close,volume,high,low
0,ISRG,2018-07-18,525.0,527.91,631044,528.44,518.84
1,ISRG,2018-07-17,516.47,523.78,792156,524.855,515.0
2,ISRG,2018-07-16,524.33,518.06,798913,524.33,512.42
3,ISRG,2018-07-13,523.52,524.34,1074398,532.3,522.395
4,ISRG,2018-07-12,506.8,525.0,1452739,525.12,506.78
5,ISRG,2018-07-11,501.49,504.22,881931,506.92,500.29
6,ISRG,2018-07-10,500.0,502.11,898357,502.87,495.37
7,ISRG,2018-07-09,498.73,499.42,751577,501.65,492.44
8,ISRG,2018-07-06,488.98,495.46,600697,498.06,486.35
9,ISRG,2018-07-05,489.22,487.39,716673,491.74,483.94
10,ISRG,2018-07-03,490.34,485.58,383139,490.34,481.99
11,ISRG,2018-07-02,476.48,488.1,617554,488.56,471.8
12,ISRG,2018-06-29,484.01,478.48,639796,485.53,478.26
13,ISRG,2018-06-28,476.4,483.71,489934,485.35,472.17
14,ISRG,2018-06-27,488.0,476.39,626995,490.98,476.11
15,ISRG,2018-06-26,473.57,482.78,619215,485.865,473.57
16,ISRG,2018-06-25,480.35,473.48,884496,482.66,467.98
17,ISRG,2018-06-22,488.72,483.21,570021,489.59,482.16
18,ISRG,2018-06-21,488.75,487.08,565704,491.52,483.0
19,ISRG,2018-06-20,491.0,487.45,400098,493.999,486.4904
20,ISRG,2018-06-19,486.87,488.6,611209,488.81,483.16
21,ISRG,2018-06-18,488.72,490.67,683370,491.99,485.35
22,ISRG,2018-06-15,494.49,490.49,1096850,496.0,489.6355
23,ISRG,2018-06-14,492.37,495.52,1058945,496.61,492.37
24,ISRG,2018-06-13,495.0,490.47,766507,496.92,487.5
25,ISRG,2018-06-12,491.69,494.92,711038,496.23,488.63
26,ISRG,2018-06-11,484.6,490.71,781159,494.35,483.9
27,ISRG,2018-06-08,485.0,484.6,611426,488.4004,480.4071
28,ISRG,2018-06-07,493.0,485.34,880593,493.0,476.2312
29,ISRG,2018-06-06,493.0,493.38,973273,494.07,484.375
30,ISRG,2018-06-05,478.0,492.37,1759232,493.41,476.19
31,ISRG,2018-06-04,480.0,477.93,1011636,484.12,472.58
32,ISRG,2018-06-01,461.81,479.25,1219554,480.0,459.43
33,ISRG,2018-05-31,460.0,459.67,2046854,466.445,458.56
34,ISRG,2018-05-30,456.2,459.66,1081000,465.56,455.18
35,ISRG,2018-05-29,453.29,454.63,871217,455.1,449.64
36,ISRG,2018-05-25,459.36,456.56,651733,461.06,452.75
37,ISRG,2018-05-24,459.22,457.79,472003,461.25,454.25
38,ISRG,2018-05-23,450.0,458.71,546465,459.22,450.0
39,ISRG,2018-05-22,464.0,454.61,712407,464.85,453.79
40,ISRG,2018-05-21,462.1,463.38,553027,467.4,459.66
41,ISRG,2018-05-18,458.78,458.79,599131,459.56,453.78
42,ISRG,2018-05-17,461.03,457.92,654611,462.77,455.765
43,ISRG,2018-05-16,457.99,461.04,513946,465.42,454.68
44,ISRG,2018-05-15,461.6,456.83,783266,463.92,453.11
45,ISRG,2018-05-14,469.56,466.19,674856,471.75,463.99
46,ISRG,2018-05-11,468.09,468.35,615438,472.78,464.245
47,ISRG,2018-05-10,464.01,468.4,509199,468.64,462.72
