,symbol,date,open,close,volume,high,low
0,LTRPA,2018-07-09,17.3,17.05,276424,17.3,16.85
1,LTRPA,2018-07-06,16.85,17.15,390732,17.2,16.8
2,LTRPA,2018-07-05,16.4,16.95,861723,17.0,16.2
3,LTRPA,2018-07-03,16.35,16.35,243612,16.5,16.225
4,LTRPA,2018-07-02,15.95,16.3,492302,16.4,15.8
5,LTRPA,2018-06-29,16.55,16.1,674965,16.65,16.025
6,LTRPA,2018-06-28,16.25,16.5,503732,16.6,16.075
7,LTRPA,2018-06-27,16.5,16.3,468613,16.75,16.3
8,LTRPA,2018-06-26,16.15,16.35,470372,16.35,15.9
9,LTRPA,2018-06-25,16.35,16.1,872652,16.5,15.85
10,LTRPA,2018-06-22,16.6,16.5,2261923,16.75,16.3
11,LTRPA,2018-06-21,17.05,16.45,1349643,17.25,16.4
12,LTRPA,2018-06-20,17.25,17.1,429923,17.45,17.05
13,LTRPA,2018-06-19,17.2,17.25,504867,17.45,16.75
14,LTRPA,2018-06-18,16.8,17.2,1485194,17.2,16.8
15,LTRPA,2018-06-15,16.75,16.9,816019,16.9,16.65
16,LTRPA,2018-06-14,16.5,16.85,542328,16.85,15.55
17,LTRPA,2018-06-13,17.05,16.5,599206,17.05,16.4
18,LTRPA,2018-06-12,16.6,16.9,492275,17.15,16.55
19,LTRPA,2018-06-11,16.2,16.6,581994,16.7,16.1
20,LTRPA,2018-06-08,16.25,16.15,646969,16.45,15.6
21,LTRPA,2018-06-07,16.25,16.15,1051806,16.5,15.975
22,LTRPA,2018-06-06,17.2,16.3,877671,17.2,16.0763
23,LTRPA,2018-06-05,16.05,16.8,759470,16.8,16.0
24,LTRPA,2018-06-04,15.65,16.05,890783,16.15,15.55
25,LTRPA,2018-06-01,14.8,15.65,910242,15.65,14.8
26,LTRPA,2018-05-31,14.25,14.65,1174983,14.75,14.175
27,LTRPA,2018-05-30,14.0,14.25,930665,14.325,13.75
28,LTRPA,2018-05-29,13.5,13.85,843546,13.85,13.35
29,LTRPA,2018-05-25,12.9,13.6,800769,13.7,12.85
30,LTRPA,2018-05-24,13.25,13.5,414342,13.525,13.2
31,LTRPA,2018-05-23,13.15,13.3,844892,13.3,13.075
32,LTRPA,2018-05-22,12.95,13.2,838130,13.2,12.8
33,LTRPA,2018-05-21,12.75,12.85,321510,13.2,12.75
34,LTRPA,2018-05-18,13.2,12.75,1172141,13.2,12.75
35,LTRPA,2018-05-17,12.75,13.15,1074446,13.25,12.75
36,LTRPA,2018-05-16,12.45,12.75,906353,12.975,12.255
37,LTRPA,2018-05-15,12.15,12.35,608352,12.575,12.025
38,LTRPA,2018-05-14,12.3,12.25,507946,12.8,12.1
39,LTRPA,2018-05-11,12.4,12.35,466034,12.5,12.1717
40,LTRPA,2018-05-10,11.95,12.3,1337387,12.55,11.75
41,LTRPA,2018-05-09,11.05,12.05,3357548,12.4,10.9
42,LTRPA,2018-05-08,9.4,9.25,1437011,9.45,9.05
43,LTRPA,2018-05-07,9.15,9.45,1028572,9.675,9.1
44,LTRPA,2018-05-04,9.0,9.1,592808,9.25,8.75
45,LTRPA,2018-05-03,9.25,9.0,714121,9.25,8.95
46,LTRPA,2018-05-02,9.2,9.3,538490,9.475,9.15
47,LTRPA,2018-05-01,9.2,9.2,278775,9.225,9.0
48,LTRPA,2018-04-30,9.35,9.2,357638,9.35,9.05
49,LTRPA,2018-04-27,9.3,9.25,1064726,9.45,9.0
50,LTRPA,2018-04-26,9.7,9.2,673698,9.75,9.15
51,LTRPA,2018-04-25,10.8,9.6,777759,10.8,9.6
52,LTRPA,2018-04-24,11.3,10.85,346475,11.325,10.8
53,LTRPA,2018-04-23,10.9,11.2,463745,11.4863,10.8
54,LTRPA,2018-04-20,10.75,10.85,384471,11.0,10.55
55,LTRPA,2018-04-19,10.9,10.8,249262,11.0,10.75
56,LTRPA,2018-04-18,11.0,10.95,306311,11.1,10.75
57,LTRPA,2018-04-17,10.8,11.0,373218,11.1,10.65
58,LTRPA,2018-04-16,10.45,10.7,384889,10.95,10.3
59,LTRPA,2018-04-13,10.55,10.4,217154,10.6,10.325
60,LTRPA,2018-04-12,10.4,10.5,196768,10.525,10.375
61,LTRPA,2018-04-11,10.5,10.4,267417,10.625,10.35
62,LTRPA,2018-04-10,10.25,10.5,474878,10.7,10.2
63,LTRPA,2018-04-09,10.3,10.1,393003,10.3774,10.1
64,LTRPA,2018-04-06,10.65,10.25,691128,10.75,10.2
65,LTRPA,2018-04-05,10.8,10.7,542282,10.975,10.675
66,LTRPA,2018-04-04,10.2,10.75,572796,10.825,10.2
67,LTRPA,2018-04-03,10.2,10.45,476902,10.45,10.15
68,LTRPA,2018-04-02,10.65,10.2,505217,10.65,10.2
69,LTRPA,2018-03-29,10.5,10.75,869478,10.8,10.5
70,LTRPA,2018-03-28,10.45,10.55,596845,10.725,10.2
71,LTRPA,2018-03-27,11.0,10.4,617914,11.0,10.375
72,LTRPA,2018-03-26,10.55,11.0,657066,11.05,10.4
73,LTRPA,2018-03-23,10.55,10.4,481928,10.85,10.35
74,LTRPA,2018-03-22,10.85,10.5,384973,11.15,10.45
75,LTRPA,2018-03-21,11.0,10.9,383371,11.05,10.85
76,LTRPA,2018-03-20,11.5,11.05,485976,11.5,11.0
77,LTRPA,2018-03-19,11.75,11.5,440966,11.8,11.25
