,symbol,date,open,close,volume,high,low
0,MAT,2018-07-18,16.25,15.98,2832743,16.5,15.91
1,MAT,2018-07-17,16.18,16.36,4099485,16.615,16.161
2,MAT,2018-07-16,16.44,16.28,5069128,16.53,15.91
3,MAT,2018-07-13,17.19,16.46,2725543,17.22,16.44
4,MAT,2018-07-12,17.27,17.21,1386994,17.47,17.03
5,MAT,2018-07-11,17.36,17.23,1612947,17.41,17.085
6,MAT,2018-07-10,17.52,17.38,2791508,17.73,17.24
7,MAT,2018-07-09,17.33,17.62,1999647,17.73,17.3
8,MAT,2018-07-06,16.94,17.27,2205892,17.39,16.8
9,MAT,2018-07-05,16.71,16.97,3855630,17.1,16.71
10,MAT,2018-07-03,16.56,16.63,1314095,16.855,16.48
11,MAT,2018-07-02,16.35,16.54,3078708,16.55,16.08
12,MAT,2018-06-29,16.37,16.42,2411285,16.51,16.25
13,MAT,2018-06-28,16.13,16.34,3690904,16.47,16.0
14,MAT,2018-06-27,17.13,16.78,2046721,17.18,16.755
15,MAT,2018-06-26,17.32,17.11,2275386,17.44,16.99
16,MAT,2018-06-25,17.48,17.35,3005078,17.56,17.1453
17,MAT,2018-06-22,17.54,17.52,7331150,17.8,17.5
18,MAT,2018-06-21,17.42,17.52,1805754,17.67,17.38
19,MAT,2018-06-20,17.21,17.41,4006056,17.43,17.12
20,MAT,2018-06-19,17.4,17.11,5167267,17.4,16.735
21,MAT,2018-06-18,17.62,17.78,3179295,17.865,17.52
22,MAT,2018-06-15,17.95,17.68,6535737,17.98,17.55
23,MAT,2018-06-14,17.69,17.92,4431722,17.97,17.665
24,MAT,2018-06-13,17.3,17.63,4492919,17.94,17.185
25,MAT,2018-06-12,17.25,17.61,3768121,17.77,17.25
26,MAT,2018-06-11,16.99,17.22,3419778,17.45,16.99
27,MAT,2018-06-08,16.45,17.03,4297241,17.15,16.38
28,MAT,2018-06-07,16.09,16.46,5566357,16.71,16.05
29,MAT,2018-06-06,15.58,16.04,2883169,16.065,15.51
30,MAT,2018-06-05,15.9,15.56,3875353,15.98,15.5
31,MAT,2018-06-04,15.8,15.95,3331776,15.96,15.61
32,MAT,2018-06-01,15.58,15.8,3984444,15.84,15.57
33,MAT,2018-05-31,15.35,15.52,3693539,15.58,15.14
34,MAT,2018-05-30,15.26,15.35,3026644,15.36,15.0
35,MAT,2018-05-29,15.11,15.2,3393521,15.28,14.945
36,MAT,2018-05-25,15.09,15.23,2690834,15.25,15.03
37,MAT,2018-05-24,14.92,15.09,4101414,15.13,14.91
38,MAT,2018-05-23,15.0,15.01,3223975,15.185,14.8924
39,MAT,2018-05-22,14.85,15.02,3652345,15.08,14.83
40,MAT,2018-05-21,15.19,14.85,8125459,15.285,14.84
41,MAT,2018-05-18,15.23,15.14,3666204,15.28,14.86
42,MAT,2018-05-17,15.44,15.28,3193181,15.48,15.021
43,MAT,2018-05-16,15.04,15.48,5262443,15.505,14.95
44,MAT,2018-05-15,14.17,15.06,6841783,15.1,14.17
45,MAT,2018-05-14,14.87,14.19,2868960,14.899,14.13
46,MAT,2018-05-11,14.47,14.88,4504987,15.11,14.33
47,MAT,2018-05-10,14.47,14.51,1916275,14.6,14.265
48,MAT,2018-05-09,14.43,14.49,2633896,14.58,14.25
49,MAT,2018-05-08,14.47,14.41,3583501,14.93,14.18
50,MAT,2018-05-07,14.02,14.47,2988415,14.48,13.94
