,symbol,date,open,close,volume,high,low
0,MNST,2018-07-09,58.46,58.72,1251741,58.84,58.18
1,MNST,2018-07-06,57.55,58.44,1757018,58.625,57.55
2,MNST,2018-07-05,57.84,57.64,2879756,58.18,56.73
3,MNST,2018-07-03,57.85,57.68,1160232,58.09,57.58
4,MNST,2018-07-02,57.23,57.58,2286350,57.99,56.97
5,MNST,2018-06-29,56.75,57.3,3176961,57.729,56.48
6,MNST,2018-06-28,55.99,56.78,1957086,56.92,55.8
7,MNST,2018-06-27,56.03,55.93,1949024,56.55,55.74
8,MNST,2018-06-26,56.53,56.24,1600711,56.77,56.0101
9,MNST,2018-06-25,56.91,56.63,2860906,57.3,56.1
10,MNST,2018-06-22,56.08,56.86,3155758,57.015,55.96
11,MNST,2018-06-21,55.61,55.97,2917364,56.15,55.3
12,MNST,2018-06-20,56.07,55.54,1759110,56.07,55.04
13,MNST,2018-06-19,55.78,55.88,3245408,56.12,55.61
14,MNST,2018-06-18,56.11,56.09,3355644,56.3,55.8
15,MNST,2018-06-15,56.02,56.43,4140414,56.48,55.5
16,MNST,2018-06-14,56.19,56.05,2313560,56.19,55.67
17,MNST,2018-06-13,56.43,56.1,2890866,56.43,55.9002
18,MNST,2018-06-12,56.17,56.18,3781879,56.4401,55.92
19,MNST,2018-06-11,55.67,56.07,4491040,56.2,55.385
20,MNST,2018-06-08,54.11,55.48,6809063,56.16,54.1
21,MNST,2018-06-07,53.3,52.83,4762740,53.477,52.69
22,MNST,2018-06-06,52.32,53.2,7208957,53.53,51.72
23,MNST,2018-06-05,51.7,51.36,3533901,52.09,51.03
24,MNST,2018-06-04,51.65,51.79,2795624,51.97,51.255
25,MNST,2018-06-01,51.56,51.5,2915588,51.93,51.3
26,MNST,2018-05-31,51.83,51.16,5884822,52.15,50.85
27,MNST,2018-05-30,49.88,51.96,8027115,52.635,49.81
28,MNST,2018-05-29,49.38,49.29,2866028,49.735,48.83
29,MNST,2018-05-25,49.7,49.66,3607947,51.23,49.32
30,MNST,2018-05-24,49.95,49.62,3211757,50.29,49.23
31,MNST,2018-05-23,49.33,50.01,3587263,50.37,48.961
32,MNST,2018-05-22,49.86,49.68,3738179,50.31,49.52
33,MNST,2018-05-21,49.6,49.91,3693572,50.4,49.49
34,MNST,2018-05-18,48.65,49.47,6544042,49.81,48.3
35,MNST,2018-05-17,47.99,48.57,3534426,48.675,47.61
36,MNST,2018-05-16,48.3,48.09,3250331,48.52,47.71
37,MNST,2018-05-15,48.6,48.2,3988358,48.95,47.94
38,MNST,2018-05-14,49.34,48.93,3931841,49.61,48.76
39,MNST,2018-05-11,50.12,49.27,4638859,50.2699,49.0
40,MNST,2018-05-10,49.19,50.06,3815243,50.86,49.16
41,MNST,2018-05-09,49.5,49.11,9616615,49.75,48.09
42,MNST,2018-05-08,53.34,53.08,3990428,54.31,53.04
43,MNST,2018-05-07,52.87,53.31,4854675,53.51,52.7
44,MNST,2018-05-04,52.12,52.76,5239228,53.31,52.08
45,MNST,2018-05-03,52.71,52.31,4377027,53.14,51.76
46,MNST,2018-05-02,55.0,52.72,4799239,55.08,52.62
47,MNST,2018-05-01,54.88,55.2,1952075,55.26,54.13
48,MNST,2018-04-30,56.26,55.0,3135543,56.63,54.83
49,MNST,2018-04-27,55.07,56.19,2265553,56.44,54.95
50,MNST,2018-04-26,54.38,55.1,3425973,55.58,54.01
51,MNST,2018-04-25,55.64,54.41,4295025,55.729,54.3
52,MNST,2018-04-24,57.22,55.73,2853784,57.22,55.36
53,MNST,2018-04-23,56.73,56.87,2440266,57.46,56.49
54,MNST,2018-04-20,56.94,56.5,3806265,57.16,56.17
55,MNST,2018-04-19,57.1,57.31,5414520,58.0,56.86
56,MNST,2018-04-18,57.68,57.47,1726079,57.78,57.21
57,MNST,2018-04-17,57.13,57.68,2922392,57.78,56.64
58,MNST,2018-04-16,57.19,56.98,1294469,57.35,56.67
59,MNST,2018-04-13,56.81,56.68,1481369,57.16,56.31
60,MNST,2018-04-12,56.26,56.53,1763768,56.83,56.1
61,MNST,2018-04-11,55.78,56.22,2039528,56.49,55.51
62,MNST,2018-04-10,56.66,56.32,2283349,56.82,55.74
63,MNST,2018-04-09,56.48,56.23,2061460,57.0,56.01
64,MNST,2018-04-06,56.79,55.93,3123379,57.24,55.43
65,MNST,2018-04-05,57.15,57.41,1931843,57.8,56.83
66,MNST,2018-04-04,55.29,56.77,2985790,57.03,55.0
67,MNST,2018-04-03,56.01,55.73,3458675,56.05,55.27
68,MNST,2018-04-02,56.89,55.62,2793490,57.02,55.09
69,MNST,2018-03-29,56.63,57.21,1861021,57.59,56.43
70,MNST,2018-03-28,56.37,56.24,1623951,56.98,56.05
71,MNST,2018-03-27,57.25,56.25,1757561,57.51,55.91
72,MNST,2018-03-26,56.81,56.87,1920272,57.13,55.92
73,MNST,2018-03-23,56.77,55.86,3101965,57.12,55.86
74,MNST,2018-03-22,57.74,56.78,2928519,58.03,56.71
75,MNST,2018-03-21,58.53,58.08,3046247,58.87,57.77
76,MNST,2018-03-20,58.58,58.68,2535393,58.92,58.23
77,MNST,2018-03-19,58.42,58.27,4377075,58.66,57.71
78,MNST,2018-03-16,58.2,58.64,3738479,58.91,57.69
79,MNST,2018-03-15,58.71,58.19,2253695,59.34,57.88
80,MNST,2018-03-14,58.87,58.73,3031058,58.99,57.73
81,MNST,2018-03-13,58.77,58.69,3301411,59.37,58.47
82,MNST,2018-03-12,57.99,58.43,4011948,59.35,57.99
83,MNST,2018-03-09,57.1,58.06,3844544,58.06,56.54
84,MNST,2018-03-08,55.59,56.83,2854486,56.9799,55.37
85,MNST,2018-03-07,55.36,55.55,3047840,55.88,54.92
86,MNST,2018-03-06,55.9,55.67,3811972,55.9,54.44
87,MNST,2018-03-05,55.01,55.74,6449372,56.635,54.4814
88,MNST,2018-03-02,53.7,54.16,6638169,54.24,52.73
89,MNST,2018-03-01,57.45,54.22,14689391,57.94,54.0
90,MNST,2018-02-28,64.75,63.37,3855760,64.85,63.3
91,MNST,2018-02-27,65.9,64.17,2774858,66.25,64.16
92,MNST,2018-02-26,66.12,65.81,1686952,66.35,65.165
93,MNST,2018-02-23,65.4,65.88,1877307,65.9501,64.68
94,MNST,2018-02-22,65.1,64.93,2119401,65.77,64.72
95,MNST,2018-02-21,64.75,65.02,2226940,66.26,64.67
96,MNST,2018-02-20,64.98,64.6,1817329,65.585,64.32
97,MNST,2018-02-16,65.97,65.48,1547441,66.43,65.1055
98,MNST,2018-02-15,64.09,65.61,1684835,65.65,63.8
99,MNST,2018-02-14,62.84,63.9,1702743,64.0,62.41
