,symbol,date,open,close,volume,high,low
0,MOMO,2018-07-09,47.61,46.65,5585750,48.522,46.0
1,MOMO,2018-07-06,44.21,46.44,4059284,46.69,44.075
2,MOMO,2018-07-05,44.2,44.2,3498120,45.43,43.7396
3,MOMO,2018-07-03,44.92,44.07,2118145,45.1,43.98
4,MOMO,2018-07-02,42.0,44.72,4815418,44.93,41.84
5,MOMO,2018-06-29,44.97,43.5,5491155,45.59,43.13
6,MOMO,2018-06-28,42.98,44.42,9608746,44.9,42.15
7,MOMO,2018-06-27,45.48,42.86,12125430,45.5,41.44
8,MOMO,2018-06-26,46.64,45.34,10537740,47.51,45.16
9,MOMO,2018-06-25,49.54,48.17,4951110,49.69,46.8
10,MOMO,2018-06-22,50.82,50.78,2175369,51.2,49.84
11,MOMO,2018-06-21,51.8,50.88,2666441,52.18,50.25
12,MOMO,2018-06-20,51.62,51.91,2418787,52.42,51.31
13,MOMO,2018-06-19,50.84,51.09,5775684,51.77,49.8
14,MOMO,2018-06-18,53.48,53.13,3238030,53.5,52.29
15,MOMO,2018-06-15,53.06,53.6,4169744,53.9,52.81
16,MOMO,2018-06-14,53.17,53.86,3361722,54.03,52.77
17,MOMO,2018-06-13,53.0,53.23,2557097,54.06,52.7
18,MOMO,2018-06-12,53.35,52.98,3432076,53.36,52.0
19,MOMO,2018-06-11,52.4,52.86,4874803,54.24,51.99
20,MOMO,2018-06-08,49.09,52.01,6959205,52.8,49.04
21,MOMO,2018-06-07,50.09,49.37,3714678,50.62,48.32
22,MOMO,2018-06-06,49.89,50.09,5467689,50.79,49.41
23,MOMO,2018-06-05,50.52,49.73,4389114,50.7699,49.35
24,MOMO,2018-06-04,50.02,50.3,6567488,50.82,48.22
25,MOMO,2018-06-01,46.34,49.6,11661391,49.91,46.34
26,MOMO,2018-05-31,43.7,45.92,11161105,46.23,43.66
27,MOMO,2018-05-30,45.31,43.13,9851856,45.4499,43.03
28,MOMO,2018-05-29,42.84,44.86,27432094,45.42,42.49
29,MOMO,2018-05-25,39.33,38.95,3627853,40.02,38.55
30,MOMO,2018-05-24,39.92,39.31,1898125,40.1,39.03
31,MOMO,2018-05-23,39.16,39.46,2092743,39.8,38.77
32,MOMO,2018-05-22,40.01,39.61,1451660,40.39,39.35
33,MOMO,2018-05-21,40.42,39.89,3451784,41.2,39.17
34,MOMO,2018-05-18,38.48,39.74,5970565,40.98,38.25
35,MOMO,2018-05-17,37.67,38.31,3726732,39.38,37.21
36,MOMO,2018-05-16,37.36,37.3,1808724,37.77,36.82
37,MOMO,2018-05-15,37.35,37.36,3577484,37.6,36.42
38,MOMO,2018-05-14,37.98,37.75,2630116,39.19,37.64
39,MOMO,2018-05-11,38.54,37.73,1990366,38.54,37.05
40,MOMO,2018-05-10,37.8,38.43,3624876,38.5836,37.31
41,MOMO,2018-05-09,37.89,37.56,2282503,38.31,37.32
42,MOMO,2018-05-08,38.04,38.23,3302136,39.2,37.585
43,MOMO,2018-05-07,35.48,38.03,4465054,38.18,35.11
44,MOMO,2018-05-04,34.73,35.36,2166366,35.56,34.35
45,MOMO,2018-05-03,35.07,35.08,2316664,35.29,34.25
46,MOMO,2018-05-02,35.64,35.43,2764692,36.13,35.07
47,MOMO,2018-05-01,34.9,35.58,2417777,35.66,34.66
48,MOMO,2018-04-30,35.65,34.9,2762932,35.75,34.22
49,MOMO,2018-04-27,36.02,35.75,2077184,36.2,35.13
50,MOMO,2018-04-26,34.77,35.72,2165881,35.93,34.66
51,MOMO,2018-04-25,34.92,34.3,2902525,35.0,33.4
52,MOMO,2018-04-24,36.68,35.06,4369705,37.34,34.59
53,MOMO,2018-04-23,36.45,36.58,3610912,36.99,36.0
54,MOMO,2018-04-20,35.42,36.33,3701319,36.7,35.05
55,MOMO,2018-04-19,35.3,35.76,2452158,35.9,34.89
56,MOMO,2018-04-18,35.44,35.45,2837101,35.77,34.82
57,MOMO,2018-04-17,34.5,35.42,5748803,35.56,34.161
58,MOMO,2018-04-16,34.94,34.39,3437171,34.955,33.68
59,MOMO,2018-04-13,35.65,34.67,5362949,35.675,33.42
60,MOMO,2018-04-12,37.5,35.39,5728138,37.5,35.18
61,MOMO,2018-04-11,36.59,37.4,2699112,37.8474,36.59
62,MOMO,2018-04-10,37.65,36.95,3120400,37.75,36.15
63,MOMO,2018-04-09,36.62,36.79,2674294,37.59,36.55
