,symbol,date,open,close,volume,high,low
0,MRO,2018-07-16,20.92,20.04,23601535,21.04,19.78
1,MRO,2018-07-13,21.49,21.48,8273929,21.76,21.4
2,MRO,2018-07-12,21.46,21.43,8909015,21.62,21.11
3,MRO,2018-07-11,21.72,21.3,11158902,22.13,21.141
4,MRO,2018-07-10,22.15,21.98,15721456,22.74,21.7
5,MRO,2018-07-09,21.24,21.91,11746371,21.93,21.16
6,MRO,2018-07-06,20.49,21.09,9373057,21.195,20.38
7,MRO,2018-07-05,21.4,20.7,8940090,21.52,20.665
8,MRO,2018-07-03,21.0,21.27,8530142,21.62,20.9501
9,MRO,2018-07-02,20.65,20.66,12467428,20.76,20.165
10,MRO,2018-06-29,20.74,20.86,13396238,21.36,20.71
11,MRO,2018-06-28,21.37,20.7,13084851,21.47,20.6
12,MRO,2018-06-27,21.15,21.22,14707143,21.4,20.97
13,MRO,2018-06-26,20.44,20.73,14072706,20.79,20.1
14,MRO,2018-06-25,21.38,20.3,13759744,21.485,20.255
15,MRO,2018-06-22,20.94,21.48,19248347,21.75,20.77
16,MRO,2018-06-21,20.79,19.92,14464610,20.79,19.88
17,MRO,2018-06-20,20.8,21.06,11199095,21.08,20.58
18,MRO,2018-06-19,19.85,20.53,11348614,20.56,19.71
19,MRO,2018-06-18,19.99,20.32,14895335,20.645,19.97
20,MRO,2018-06-15,21.01,19.99,22233950,21.05,19.88
21,MRO,2018-06-14,21.61,21.12,9308231,21.67,21.07
22,MRO,2018-06-13,21.23,21.47,11237962,21.62,21.19
23,MRO,2018-06-12,21.48,21.36,10768772,21.64,21.22
24,MRO,2018-06-11,21.01,21.47,10121701,21.64,20.86
25,MRO,2018-06-08,21.32,20.99,8879296,21.32,20.775
26,MRO,2018-06-07,20.9,21.1,8306422,21.3366,20.81
27,MRO,2018-06-06,20.74,20.7,11156286,20.825,20.34
28,MRO,2018-06-05,20.93,20.58,12466590,21.1538,20.42
29,MRO,2018-06-04,21.72,21.08,12122553,21.84,21.04
30,MRO,2018-06-01,21.41,21.52,12991795,21.8,21.195
31,MRO,2018-05-31,21.33,21.43,12862507,21.83,21.2
32,MRO,2018-05-30,20.9,21.53,9503358,21.65,20.825
33,MRO,2018-05-29,20.39,20.68,9384920,20.83,20.31
34,MRO,2018-05-25,20.79,20.71,14058722,20.82,20.26
35,MRO,2018-05-24,21.17,21.47,12430820,21.71,20.93
36,MRO,2018-05-23,21.36,21.63,10617529,21.785,21.21
37,MRO,2018-05-22,21.91,21.54,12205653,22.12,21.44
38,MRO,2018-05-21,21.63,21.9,10459922,21.94,21.56
