,symbol,date,open,close,volume,high,low
0,MSFT,2018-07-20,108.15,107.33,6074228,108.2,106.7
1,MSFT,2018-07-19,104.93,104.4,36832318,105.31,103.89
2,MSFT,2018-07-18,105.94,105.12,29493927,106.05,104.715
3,MSFT,2018-07-17,104.61,105.95,25901726,106.5,104.32
4,MSFT,2018-07-16,105.4,104.91,21786912,105.82,104.515
5,MSFT,2018-07-13,104.37,105.43,24653500,105.6,104.09
6,MSFT,2018-07-12,102.77,104.19,24335929,104.41,102.73
7,MSFT,2018-07-11,101.15,101.98,19644648,102.34,101.1
8,MSFT,2018-07-10,102.0,102.12,19293140,102.51,101.86
9,MSFT,2018-07-09,101.6452,101.85,18211980,102.25,101.251
10,MSFT,2018-07-06,99.885,101.16,19234627,101.43,99.67
11,MSFT,2018-07-05,99.5,99.76,18977402,99.92,99.0299
12,MSFT,2018-07-03,100.48,99.05,14670275,100.63,98.94
13,MSFT,2018-07-02,98.1,100.01,19564521,100.06,98.0
14,MSFT,2018-06-29,98.93,98.61,28053214,99.91,98.33
15,MSFT,2018-06-28,97.38,98.63,26650671,99.11,97.26
16,MSFT,2018-06-27,99.58,97.54,31298386,100.02,97.4
17,MSFT,2018-06-26,98.82,99.08,26897244,100.08,98.75
18,MSFT,2018-06-25,100.0,98.39,35433333,100.11,97.3
19,MSFT,2018-06-22,100.41,100.41,38923105,100.77,99.625
20,MSFT,2018-06-21,102.075,101.14,23198188,102.46,100.88
21,MSFT,2018-06-20,101.37,101.87,26180792,102.52,101.12
22,MSFT,2018-06-19,99.65,100.86,28653087,101.0,99.5
23,MSFT,2018-06-18,100.01,100.86,23586037,101.11,99.42
24,MSFT,2018-06-15,101.51,100.13,65738585,101.53,100.07
25,MSFT,2018-06-14,101.65,101.42,25691811,102.03,101.0
26,MSFT,2018-06-13,101.72,100.85,29492875,102.01,100.56
27,MSFT,2018-06-12,101.1,101.31,18325228,101.4493,100.75
28,MSFT,2018-06-11,101.37,101.05,23490894,101.59,100.67
29,MSFT,2018-06-08,101.0924,101.63,22165128,101.95,100.54
30,MSFT,2018-06-07,102.65,100.88,28232197,102.69,100.38
31,MSFT,2018-06-06,102.48,102.49,21122917,102.6,101.9
32,MSFT,2018-06-05,102.0,102.19,23514402,102.33,101.53
33,MSFT,2018-06-04,101.26,101.67,27281623,101.86,100.851
34,MSFT,2018-06-01,99.2798,100.79,28655624,100.86,99.17
35,MSFT,2018-05-31,99.29,98.84,34140891,99.99,98.61
36,MSFT,2018-05-30,98.31,98.95,22158528,99.25,97.91
37,MSFT,2018-05-29,97.84,98.01,28670981,98.88,97.23
38,MSFT,2018-05-25,98.3,98.36,18363918,98.98,97.86
39,MSFT,2018-05-24,98.725,98.31,26649287,98.94,96.81
40,MSFT,2018-05-23,96.71,98.66,21251222,98.73,96.32
41,MSFT,2018-05-22,97.68,97.5,15441189,98.17,97.2
42,MSFT,2018-05-21,97.0,97.6,19422467,98.01,96.8
43,MSFT,2018-05-18,96.01,96.36,17865840,96.93,96.01
44,MSFT,2018-05-17,96.76,96.18,17246716,97.5401,95.83
45,MSFT,2018-05-16,97.36,97.15,17384742,97.4,96.615
46,MSFT,2018-05-15,96.8214443485409,96.9011,24594010,97.42881869091656,95.92531826962599
47,MSFT,2018-05-14,97.4984735285117,97.608,19454124,98.26515882892993,96.89109945934919
48,MSFT,2018-05-11,97.37896949846467,97.2794,16778316,97.44866814738997,96.62224131013306
49,MSFT,2018-05-10,97.04043723828005,97.4885,22388119,97.52832780104178,96.63220227760188
50,MSFT,2018-05-09,95.59670339385187,96.5227,27327410,96.55257085826284,94.6408359294409
51,MSFT,2018-05-08,95.43304676505583,95.3976,23484589,95.74609347667257,94.65391492078071
52,MSFT,2018-05-07,94.76031995427147,95.8058,24242019,96.29369068800665,94.69062128455623
53,MSFT,2018-05-04,92.91831996637242,94.7504,22531325,94.95949609079446,92.52004169819251
54,MSFT,2018-05-03,92.55987770808972,93.6651,31142497,94.51641987349846,92.05207287126609
55,MSFT,2018-05-02,94.581129558336,93.1075,27471002,94.76035477489039,92.78887739279222
56,MSFT,2018-05-01,92.8088045368421,94.5911,31408927,94.87985177894737,92.39061230526316
57,MSFT,2018-04-30,95.91530305816939,93.1174,41523605,95.98141720872542,92.74899283575706
58,MSFT,2018-04-27,97.17983719474014,95.4075,48272780,97.47854571070759,93.50572244834065
59,MSFT,2018-04-26,93.14725663059622,93.8542,42529043,94.74036844897094,92.69919393167834
60,MSFT,2018-04-25,92.8983379915502,91.9126,33729257,92.8983379915502,89.89133926985158
61,MSFT,2018-04-24,95.8277625257732,92.7192,34524799,96.05478118556701,92.01225592783504
62,MSFT,2018-04-23,95.33150588945989,94.9396,22331829,95.87555410592554,94.22269898269533
63,MSFT,2018-04-20,95.49718316842105,94.5911,31154377,95.6963223263158,93.645189
64,MSFT,2018-04-19,96.02487953386743,95.6963,23552541,96.6521677348871,94.92961442097597
65,MSFT,2018-04-18,95.80584693073415,96.0249,21043287,96.3036948154293,95.10885989216094
66,MSFT,2018-04-17,94.59110544394711,95.6565,26771000,96.12447704798585,94.47162194233371
67,MSFT,2018-04-16,93.66503049803546,93.7646,20288083,94.2524905596262,93.01782873526601
