,symbol,date,open,close,volume,high,low
0,MTD,2018-07-18,585.45,585.61,128961,586.48,580.375
1,MTD,2018-07-17,573.8,584.8,153154,585.86,573.8
2,MTD,2018-07-16,581.94,575.36,162415,582.99,574.72
3,MTD,2018-07-13,583.91,583.13,186444,585.72,581.28
4,MTD,2018-07-12,588.39,587.03,155963,592.11,585.43
5,MTD,2018-07-11,588.69,581.93,158636,589.975,579.87
6,MTD,2018-07-10,592.45,593.37,152012,596.13,591.79
7,MTD,2018-07-09,585.02,594.76,141739,595.81,584.64
8,MTD,2018-07-06,583.75,583.77,139532,586.4,580.75
9,MTD,2018-07-05,582.84,583.97,168020,587.9,577.73
10,MTD,2018-07-03,576.26,580.58,206802,590.78,576.26
11,MTD,2018-07-02,574.38,570.8,191208,576.46,566.05
12,MTD,2018-06-29,575.07,578.63,255866,584.65,573.64
13,MTD,2018-06-28,564.88,572.68,158024,573.87,560.43
14,MTD,2018-06-27,573.31,564.3,170738,575.77,564.06
15,MTD,2018-06-26,571.52,573.8,208224,575.53,566.105
16,MTD,2018-06-25,575.52,570.47,310580,580.0,563.82
17,MTD,2018-06-22,578.99,582.31,186198,584.84,574.26
18,MTD,2018-06-21,580.26,576.33,258894,581.325,574.74
19,MTD,2018-06-20,583.63,579.65,170263,584.56,572.65
20,MTD,2018-06-19,579.45,581.06,324682,581.77,575.55
21,MTD,2018-06-18,585.85,585.31,178973,586.3799,578.64
22,MTD,2018-06-15,592.78,589.0,292335,594.7,583.25
23,MTD,2018-06-14,594.94,592.7,191138,594.94,590.76
24,MTD,2018-06-13,594.8,593.0,220983,596.26,591.61
25,MTD,2018-06-12,595.37,595.14,196474,596.28,590.09
26,MTD,2018-06-11,594.8,592.28,229909,595.97,589.65
27,MTD,2018-06-08,590.78,594.86,290208,595.31,588.97
28,MTD,2018-06-07,585.0,590.62,366687,590.85,583.88
29,MTD,2018-06-06,573.79,584.87,235608,585.28,572.185
30,MTD,2018-06-05,572.42,574.19,253393,582.6499,569.58
31,MTD,2018-06-04,567.4,572.16,288358,574.705,564.82
32,MTD,2018-06-01,555.0,569.0,323457,569.5,554.83
33,MTD,2018-05-31,549.79,550.74,265588,554.4,546.79
34,MTD,2018-05-30,550.81,551.71,181656,555.88,548.465
35,MTD,2018-05-29,551.5,546.74,193644,554.81,540.24
36,MTD,2018-05-25,565.74,554.83,209295,565.74,552.79
37,MTD,2018-05-24,567.67,565.58,136771,569.97,564.93
38,MTD,2018-05-23,569.85,569.8,211325,572.3,567.0
39,MTD,2018-05-22,583.03,574.1,188660,585.63,573.24
40,MTD,2018-05-21,575.99,582.01,273480,582.43,575.99
41,MTD,2018-05-18,563.0,573.19,253502,575.41,562.095
42,MTD,2018-05-17,559.7,562.1,174824,563.6,559.7
43,MTD,2018-05-16,557.01,560.75,167926,561.72,554.8
44,MTD,2018-05-15,563.62,556.44,433915,564.0,547.38
45,MTD,2018-05-14,566.07,568.92,212367,571.02,563.24
46,MTD,2018-05-11,566.0,563.72,209131,567.26,561.64
47,MTD,2018-05-10,554.48,563.25,205026,564.45,552.955
48,MTD,2018-05-09,548.66,549.66,152414,552.4,544.64
49,MTD,2018-05-08,551.7,546.43,235075,554.41,545.13
50,MTD,2018-05-07,555.6,552.9,171923,563.95,550.005
51,MTD,2018-05-04,580.0,552.97,375290,580.0,550.501
52,MTD,2018-05-03,556.51,574.8,279380,574.98,550.03
53,MTD,2018-05-02,564.03,560.83,181225,566.7,560.12
54,MTD,2018-05-01,555.37,567.22,285137,567.42,550.25
55,MTD,2018-04-30,566.2,559.93,287046,566.2,559.92
56,MTD,2018-04-27,563.86,564.01,98028,566.48,562.33
57,MTD,2018-04-26,562.0,563.61,155855,566.9,560.17
58,MTD,2018-04-25,562.01,560.67,151283,564.34,553.935
59,MTD,2018-04-24,561.93,561.88,174204,573.01,557.075
60,MTD,2018-04-23,577.1,574.35,82009,582.07,573.24
61,MTD,2018-04-20,578.26,576.76,170595,580.79,572.27
62,MTD,2018-04-19,584.61,577.37,132214,584.61,573.42
63,MTD,2018-04-18,584.48,585.63,161145,589.96,578.53
64,MTD,2018-04-17,573.82,581.57,155838,582.73,573.465
65,MTD,2018-04-16,570.49,570.76,122597,575.88,569.55
66,MTD,2018-04-13,572.3,568.21,104596,572.3,565.02
67,MTD,2018-04-12,568.25,569.76,170360,575.43,567.06
68,MTD,2018-04-11,565.22,565.17,214725,581.21,561.88
69,MTD,2018-04-10,563.71,571.28,169959,574.48,561.59
70,MTD,2018-04-09,553.56,560.22,131584,569.86,553.56
71,MTD,2018-04-06,573.36,555.26,255535,576.475,552.125
72,MTD,2018-04-05,577.98,577.67,194841,581.9,573.88
73,MTD,2018-04-04,559.46,574.53,286916,576.24,546.04
74,MTD,2018-04-03,566.45,568.58,279317,574.275,561.62
75,MTD,2018-04-02,575.0,562.68,266760,578.36,556.62
76,MTD,2018-03-29,572.42,575.03,275344,587.61,571.5
77,MTD,2018-03-28,574.44,571.9,240929,576.77,564.53
78,MTD,2018-03-27,588.76,573.21,175401,591.48,568.99
79,MTD,2018-03-26,574.46,588.75,211499,590.295,567.79
80,MTD,2018-03-23,586.01,566.87,224571,594.24,565.86
81,MTD,2018-03-22,601.27,585.39,212563,605.129,583.34
82,MTD,2018-03-21,612.9,606.41,125741,618.99,606.41
83,MTD,2018-03-20,613.55,611.9,119397,618.54,610.37
84,MTD,2018-03-19,610.3,611.51,188106,613.5,606.53
85,MTD,2018-03-16,614.61,613.88,189781,617.54,611.28
86,MTD,2018-03-15,608.62,613.83,167377,618.8,606.17
87,MTD,2018-03-14,615.0,606.13,103644,615.0,604.07
88,MTD,2018-03-13,618.42,612.0,120602,619.64,608.12
89,MTD,2018-03-12,615.4,615.91,223477,620.66,613.69
90,MTD,2018-03-09,610.11,616.0,127918,619.65,606.03
91,MTD,2018-03-08,614.22,606.88,171908,614.22,601.62
92,MTD,2018-03-07,599.3,611.54,175793,612.92,599.3
93,MTD,2018-03-06,601.42,605.29,192730,606.54,596.185
94,MTD,2018-03-05,592.16,599.95,239665,602.69,585.5887
95,MTD,2018-03-02,589.6,593.26,273588,594.62,585.33
96,MTD,2018-03-01,618.1,596.17,240847,618.1,590.58
97,MTD,2018-02-28,628.41,616.22,160028,632.22,616.21
98,MTD,2018-02-27,635.08,625.57,120073,636.76,624.81
99,MTD,2018-02-26,636.94,636.63,72331,639.69,629.4
