,symbol,date,open,close,volume,high,low
0,NEP,2018-07-16,45.04,45.74,200999,46.1,44.46
1,NEP,2018-07-13,46.58,46.0,152574,46.58,45.51
2,NEP,2018-07-12,46.92,46.45,128425,46.92,45.92
3,NEP,2018-07-11,46.11,46.75,146056,47.0,46.11
4,NEP,2018-07-10,46.32,46.74,141772,46.79,46.32
5,NEP,2018-07-09,47.11,46.6,170403,47.11,46.57
6,NEP,2018-07-06,46.93,47.11,156490,47.19,46.76
7,NEP,2018-07-05,45.08,46.87,233116,47.06,44.035
8,NEP,2018-07-03,46.56,47.18,79712,47.37,46.39
9,NEP,2018-07-02,46.65,46.45,396516,46.85,45.35
10,NEP,2018-06-29,45.46,46.67,292136,46.85,45.2396
11,NEP,2018-06-28,46.89,45.39,289870,46.93,45.23
12,NEP,2018-06-27,46.38,46.68,118333,46.93,46.358
13,NEP,2018-06-26,46.75,46.44,283469,47.16,46.25
14,NEP,2018-06-25,45.24,46.5,267850,47.04,45.153
15,NEP,2018-06-22,45.09,45.41,1190361,48.75,44.665
16,NEP,2018-06-21,45.0,44.98,195383,45.29,44.45
17,NEP,2018-06-20,45.39,45.0,135198,45.66,44.81
18,NEP,2018-06-19,44.25,45.44,174109,45.61,44.055
19,NEP,2018-06-18,43.87,44.34,145528,44.73,43.6
20,NEP,2018-06-15,43.71,43.44,219281,43.79,42.95
21,NEP,2018-06-14,43.51,43.56,123167,43.69,43.1571
22,NEP,2018-06-13,43.82,43.2,127097,44.04,43.2
23,NEP,2018-06-12,43.63,44.01,131829,44.13,43.5
24,NEP,2018-06-11,44.21,43.64,121375,44.24,43.4164
25,NEP,2018-06-08,43.37,44.03,200432,44.22,43.31
26,NEP,2018-06-07,43.76,43.38,90620,43.7925,43.25
27,NEP,2018-06-06,44.0,43.84,123722,44.36,43.46
28,NEP,2018-06-05,45.0,44.13,137237,45.5,44.02
29,NEP,2018-06-04,44.16,43.92,134932,44.357,43.59
30,NEP,2018-06-01,44.75,44.05,126275,44.75,44.0
31,NEP,2018-05-31,45.73,44.96,238898,45.83,44.9
32,NEP,2018-05-30,44.4,45.11,237715,45.41,44.38
33,NEP,2018-05-29,43.85,44.3,264636,44.61,43.8148
34,NEP,2018-05-25,43.96,44.06,128349,44.1499,43.85
35,NEP,2018-05-24,43.54,43.85,185944,44.5,43.5
36,NEP,2018-05-23,43.3,43.66,131499,43.76,43.27
37,NEP,2018-05-22,43.57,43.3,169485,43.99,42.92
38,NEP,2018-05-21,43.68,43.5,101922,43.7,43.235
39,NEP,2018-05-18,42.74,43.26,133249,43.31,42.74
40,NEP,2018-05-17,42.93,42.84,218986,42.99,41.8
41,NEP,2018-05-16,42.98,43.11,95692,43.12,42.54
42,NEP,2018-05-15,43.0,42.79,130289,43.1,42.09
43,NEP,2018-05-14,44.25,43.14,122626,44.61,42.845
44,NEP,2018-05-11,44.7,44.27,248268,44.7,43.905
45,NEP,2018-05-10,43.84,44.75,290879,44.98,43.53
46,NEP,2018-05-09,43.31,43.53,460457,43.67,42.36
47,NEP,2018-05-08,43.18,43.22,238825,43.32,42.51
48,NEP,2018-05-07,43.36,43.13,188801,43.85,43.13
49,NEP,2018-05-04,42.17,43.15,235107,43.45,42.17
50,NEP,2018-05-03,41.41687203369998,42.3181,202941,42.397328832202206,41.099956704891184
51,NEP,2018-05-02,41.58525775759025,41.4268,286381,42.228992397800624,41.40699278030122
52,NEP,2018-05-01,41.26828492498214,41.5852,104040,41.684235960943084,40.99098423434151
53,NEP,2018-04-30,42.03087717782577,41.2683,189519,42.38760483945284,41.03061360691145
54,NEP,2018-04-27,41.664413195585816,42.1794,119392,42.31805029349612,41.218751537919694
55,NEP,2018-04-26,41.14947209138012,42.0507,453923,42.82318106453132,41.14947209138012
56,NEP,2018-04-25,40.089803174603176,41.1792,281835,41.36736854256855,39.93134545454546
57,NEP,2018-04-24,40.57503668391229,40.1987,424363,41.397035230352294,39.35699329563931
58,NEP,2018-04-23,39.44600604409215,39.9808,168667,40.099643101312864,39.297452167451084
59,NEP,2018-04-20,39.42620359296483,39.4163,174791,39.54405634924624,39.069674246231166
60,NEP,2018-04-19,39.644150538982196,39.5055,192370,40.1096202055653,39.148970042617194
61,NEP,2018-04-18,39.5054353132019,39.6837,98131,40.069940154729224,39.5054353132019
62,NEP,2018-04-17,38.960790781563134,39.5352,100691,39.82240460921844,38.960790781563134
63,NEP,2018-04-16,38.23777362385321,38.8617,222597,39.020157492354734,38.05455714831803
64,NEP,2018-04-13,38.12891083961529,38.0992,129108,38.267561424486615,37.871416896282824
65,NEP,2018-04-12,38.37646578741186,37.9209,171468,39.04991086445548,37.6832135022199
66,NEP,2018-04-11,38.82211240611241,38.2378,173129,38.99047360787361,38.0595351981352
67,NEP,2018-04-10,39.39649833119384,38.5745,295509,39.39649833119384,38.09417567394095
68,NEP,2018-04-09,39.21825679758308,39.3371,231519,39.90160521148036,38.98057039274924
