,symbol,date,open,close,volume,high,low
0,NFLX,2018-07-16,398.98,400.48,20236309,403.355,391.75
1,NFLX,2018-07-13,409.19,395.8,15747266,410.0,395.081
2,NFLX,2018-07-12,415.1553,413.5,12743273,416.79,407.8
3,NFLX,2018-07-11,411.34,418.65,9713904,419.77,410.6
4,NFLX,2018-07-10,417.24,415.63,9382944,419.44,413.08
5,NFLX,2018-07-09,415.95,418.97,11127477,419.12,411.1
6,NFLX,2018-07-06,397.45,408.25,8629606,408.6495,395.5225
7,NFLX,2018-07-05,393.8003,398.39,8448937,399.24,390.86
8,NFLX,2018-07-03,399.49,390.52,5280344,399.98,389.5
9,NFLX,2018-07-02,385.45,398.18,8142457,398.38,380.0
10,NFLX,2018-06-29,399.19,391.43,9252511,401.3299,390.55
11,NFLX,2018-06-28,395.0,395.42,12219888,396.9,387.1
12,NFLX,2018-06-27,407.56,390.39,16541426,411.5865,390.0
13,NFLX,2018-06-26,393.28,399.39,15191157,404.78,389.05
14,NFLX,2018-06-25,404.69,384.48,22490922,405.99,378.75
15,NFLX,2018-06-22,419.98,411.09,10428621,420.5,409.651
16,NFLX,2018-06-21,421.38,415.44,18389936,423.2056,406.3701
17,NFLX,2018-06-20,415.15,416.76,16494572,419.4675,409.6
18,NFLX,2018-06-19,389.5,404.98,16697104,405.29,388.5
19,NFLX,2018-06-18,387.72,390.4,6824794,393.16,386.5
20,NFLX,2018-06-15,390.71,391.98,13588114,398.86,387.51
21,NFLX,2018-06-14,384.27,392.87,14598333,395.03,383.25
22,NFLX,2018-06-13,367.53,379.93,18222799,384.2537,364.11
23,NFLX,2018-06-12,363.6,363.83,4290969,365.98,362.0
24,NFLX,2018-06-11,361.88,361.45,4432445,365.67,360.91
25,NFLX,2018-06-08,358.06,360.57,5225736,362.39,356.25
26,NFLX,2018-06-07,368.54,361.4,8278040,368.7,357.8
27,NFLX,2018-06-06,367.7848,367.45,7712302,369.6799,363.33
28,NFLX,2018-06-05,363.32,365.8,8358045,369.83,361.4124
29,NFLX,2018-06-04,362.6847,361.81,7681995,363.0,355.51
30,NFLX,2018-06-01,353.88,359.93,7112292,359.99,352.82
31,NFLX,2018-05-31,353.8,351.6,6921687,355.53,350.21
32,NFLX,2018-05-30,352.37,353.54,5685531,354.0,349.26
33,NFLX,2018-05-29,351.5,349.73,9717921,356.1,346.71
34,NFLX,2018-05-25,349.9,351.29,7817400,354.36,348.83
35,NFLX,2018-05-24,344.34,349.29,14758553,354.0,341.12
36,NFLX,2018-05-23,329.04,344.72,10049147,345.0,328.09
37,NFLX,2018-05-22,334.05,331.62,5964448,336.63,331.15
38,NFLX,2018-05-21,327.11,331.82,6657326,331.88,325.45
39,NFLX,2018-05-18,324.9,324.18,3577717,326.42,322.8
40,NFLX,2018-05-17,327.53,325.22,4935708,330.45,323.1734
41,NFLX,2018-05-16,326.28,328.19,3671690,329.72,325.14
42,NFLX,2018-05-15,325.94,326.13,4746096,326.94,322.434
43,NFLX,2018-05-14,327.25,328.53,4089800,330.5038,327.04
44,NFLX,2018-05-11,329.65,326.46,4589731,331.26,324.87
45,NFLX,2018-05-10,331.5,329.6,5302254,332.055,327.3438
46,NFLX,2018-05-09,328.79,330.3,5633444,331.95,327.51
47,NFLX,2018-05-08,325.9,326.89,4735738,327.348,323.05
48,NFLX,2018-05-07,321.9947,326.26,7117823,329.0234,319.34
49,NFLX,2018-05-04,308.71,320.09,8209513,320.98,307.67
50,NFLX,2018-05-03,312.59,311.69,6135828,312.59,305.73
51,NFLX,2018-05-02,311.65,313.36,5697120,317.1,310.4034
52,NFLX,2018-05-01,310.36,313.3,6036639,313.48,306.69
53,NFLX,2018-04-30,311.07,312.46,6088787,317.88,310.118
54,NFLX,2018-04-27,316.25,311.76,7074384,317.45,306.5
55,NFLX,2018-04-26,310.0,313.98,9266699,316.63,305.58
56,NFLX,2018-04-25,306.37,305.76,14919698,309.98,292.615
57,NFLX,2018-04-24,319.2168,307.02,13893217,320.249,302.31
58,NFLX,2018-04-23,329.1499,318.69,8968015,331.22,317.08
59,NFLX,2018-04-20,332.22,327.77,9158655,336.51,326.0
60,NFLX,2018-04-19,332.88,332.7,8438825,335.31,326.77
61,NFLX,2018-04-18,336.3,334.52,11221139,338.82,331.1
62,NFLX,2018-04-17,329.66,336.06,33866456,338.62,323.77
63,NFLX,2018-04-16,315.99,307.78,20307921,316.1,304.0
64,NFLX,2018-04-13,317.29,311.65,12046573,317.49,308.23
65,NFLX,2018-04-12,309.7187,309.25,10249403,311.13,306.75
66,NFLX,2018-04-11,302.8847,303.67,14877429,311.64,301.82
67,NFLX,2018-04-10,297.68,298.07,10719097,298.95,291.69
68,NFLX,2018-04-09,291.77,289.93,9853564,299.55,289.12
69,NFLX,2018-04-06,289.1,288.85,11444777,298.85,285.65
70,NFLX,2018-04-05,293.15,293.97,10655178,299.16,289.11
71,NFLX,2018-04-04,273.63,288.94,12913978,290.31,271.2239
72,NFLX,2018-04-03,285.45,283.67,12694862,291.25,278.01
73,NFLX,2018-04-02,291.94,280.29,13405760,292.87,275.05
74,NFLX,2018-03-29,287.0,295.35,19145522,295.35,275.9
75,NFLX,2018-03-28,298.39,285.77,18972912,298.8,281.61
76,NFLX,2018-03-27,322.49,300.69,11890994,322.9,297.0
77,NFLX,2018-03-26,309.36,320.35,11906279,321.03,302.0
78,NFLX,2018-03-23,307.41,300.94,9226978,310.73,300.36
79,NFLX,2018-03-22,313.07,306.7,7920524,314.12,305.66
80,NFLX,2018-03-21,316.35,316.48,5016980,319.4,314.511
81,NFLX,2018-03-20,313.26,317.5,5922296,319.5,312.8
82,NFLX,2018-03-19,315.8,313.48,9812726,317.0,307.34
83,NFLX,2018-03-16,321.42,318.45,7144077,324.11,318.37
84,NFLX,2018-03-15,323.17,321.09,5217383,323.4,318.14
85,NFLX,2018-03-14,318.16,321.55,10187889,323.88,317.7
86,NFLX,2018-03-13,323.87,315.88,12836292,325.8409,313.278
87,NFLX,2018-03-12,333.56,321.3,20050086,333.98,318.6
88,NFLX,2018-03-09,321.33,331.44,14152860,331.44,320.23
89,NFLX,2018-03-08,322.2,317.0,11182666,322.9176,314.13
90,NFLX,2018-03-07,320.0,321.16,17132222,323.74,314.55
91,NFLX,2018-03-06,319.88,325.22,18525844,325.79,316.5
92,NFLX,2018-03-05,302.85,315.0,18986099,316.91,297.6
93,NFLX,2018-03-02,284.65,301.05,13345313,301.18,283.23
94,NFLX,2018-03-01,292.75,290.39,11932051,295.25,283.83
95,NFLX,2018-02-28,293.1,291.38,7422673,295.75,290.78
96,NFLX,2018-02-27,294.77,290.61,9187578,297.36,290.59
97,NFLX,2018-02-26,288.75,294.16,10203579,295.6475,287.01
98,NFLX,2018-02-23,281.0,285.93,7224968,286.0,277.81
99,NFLX,2018-02-22,283.88,278.14,8769251,284.5,274.45
