,symbol,date,open,close,volume,high,low
0,NOC,2018-07-16,322.79,320.33,603248,324.47,320.08
1,NOC,2018-07-13,319.95,321.73,1418723,322.31,316.28
2,NOC,2018-07-12,315.68,322.13,1216435,322.51,314.04
3,NOC,2018-07-11,313.11,311.77,720858,314.58,311.05
4,NOC,2018-07-10,313.75,315.12,801091,315.5,312.57
5,NOC,2018-07-09,308.49,313.7,864279,315.34,308.12
6,NOC,2018-07-06,307.37,307.36,690209,310.09,305.125
7,NOC,2018-07-05,309.54,308.25,677814,310.5129,305.55
8,NOC,2018-07-03,309.91,308.84,335992,312.1,307.78
9,NOC,2018-07-02,306.44,308.87,636727,310.98,304.62
10,NOC,2018-06-29,308.46,307.7,695075,312.88,307.44
11,NOC,2018-06-28,306.73,307.72,879856,309.7324,303.02
12,NOC,2018-06-27,309.93,306.59,1053332,313.24,306.48
13,NOC,2018-06-26,314.17,309.34,1127086,315.14,309.03
14,NOC,2018-06-25,309.39,313.72,1240799,314.93,309.01
15,NOC,2018-06-22,315.0,312.06,955214,316.467,311.395
16,NOC,2018-06-21,310.95,313.45,1650832,313.89,307.26
17,NOC,2018-06-20,314.33,312.08,999901,315.1,311.56
18,NOC,2018-06-19,318.82,313.84,1117983,320.72,313.02
19,NOC,2018-06-18,320.8,322.42,933172,323.44,320.06
20,NOC,2018-06-15,322.56,321.52,1540245,323.92,318.81
21,NOC,2018-06-14,328.02,322.56,1135386,330.0,321.505
22,NOC,2018-06-13,329.17,327.82,928888,331.25,326.66
23,NOC,2018-06-12,335.91,329.35,1224158,335.91,327.19
24,NOC,2018-06-11,338.5,334.36,863508,339.8371,333.82
25,NOC,2018-06-08,338.97,338.63,849101,339.2,336.14
26,NOC,2018-06-07,336.67,338.07,748945,340.14,336.35
27,NOC,2018-06-06,332.41,335.22,1359197,337.25,332.41
28,NOC,2018-06-05,333.33,329.19,867896,333.43,328.43
29,NOC,2018-06-04,330.0,332.81,684718,333.17,329.29
30,NOC,2018-06-01,327.64,329.99,884239,330.19,327.64
31,NOC,2018-05-31,328.94382888311685,326.0643,2126448,330.5878505637892,325.41665509549273
32,NOC,2018-05-30,326.8812817866514,330.3686,733095,330.7970419519257,324.5198691678982
33,NOC,2018-05-29,328.94383911418765,325.2971,1062521,330.3188391080617,322.5471000122519
34,NOC,2018-05-25,331.79342301087576,330.7273,1047121,332.72005329135663,328.9736771036062
35,NOC,2018-05-24,326.8115284997446,331.6041,1388529,332.341418692347,325.9048257834801
36,NOC,2018-05-23,321.919324141608,327.0407,825307,327.170228961399,321.0126214118149
37,NOC,2018-05-22,328.9537276733436,323.3242,1557245,328.9537276733436,322.0189466810478
38,NOC,2018-05-21,329.5117551122646,330.1594,734950,331.72371149806855,327.73820449662
39,NOC,2018-05-18,323.9719217220838,327.8279,1185534,329.0932985563188,323.8274470837639
40,NOC,2018-05-17,319.9764464070011,323.3442,1013518,324.5597796992481,319.4981855417232
41,NOC,2018-05-16,320.6539085378005,319.9963,982509,323.74267591231785,319.03977849047203
42,NOC,2018-05-15,316.2001926586867,318.8107,1249467,322.17845374566366,315.2237433478138
43,NOC,2018-05-14,323.981866315261,317.5652,1192578,324.4202720883534,316.92751887550196
44,NOC,2018-05-11,325.4664083768829,324.1213,826848,325.7653213495235,323.2046335505687
45,NOC,2018-05-10,328.40574149076315,325.2273,1230040,329.2925167029196,324.6195102478478
46,NOC,2018-05-09,328.9935790775055,326.403,1169376,330.4283613358162,325.01803657010294
47,NOC,2018-05-08,318.20290557900813,328.077,2055470,329.02355799192156,317.11685483038235
48,NOC,2018-05-07,314.4763713871283,315.9809,1173312,318.2078016223631,313.14122679027525
49,NOC,2018-05-04,312.2943218225267,312.7128,993627,314.08779972598376,310.4111700238968
50,NOC,2018-05-03,304.7916357704004,314.5362,1988941,318.46192423973645,302.92841132159145
