,symbol,date,open,close,volume,high,low
0,NOV,2018-07-18,43.59,43.25,3026340,43.655,42.8
1,NOV,2018-07-17,43.83,43.7,3181259,43.97,43.49
2,NOV,2018-07-16,43.65,43.85,2646377,44.02,43.5
3,NOV,2018-07-13,44.28,44.24,2362770,44.815,44.02
4,NOV,2018-07-12,44.64,44.24,2441050,44.69,43.915
5,NOV,2018-07-11,44.76,44.49,3364928,45.28,44.41
6,NOV,2018-07-10,45.42,45.33,2207817,46.0,44.93
7,NOV,2018-07-09,44.55,45.0,2104760,45.25,44.55
8,NOV,2018-07-06,43.18,44.26,2083440,44.97,43.01
9,NOV,2018-07-05,43.48,43.58,2095059,43.74,43.19
10,NOV,2018-07-03,43.33,43.15,1431261,43.88,43.02
11,NOV,2018-07-02,42.91,42.75,2456938,43.24,42.01
12,NOV,2018-06-29,42.98,43.4,2978032,43.83,42.8
13,NOV,2018-06-28,42.9,43.2,2433552,43.31,42.55
14,NOV,2018-06-27,42.41,42.79,2426596,43.47,42.37
15,NOV,2018-06-26,41.39,41.92,2010666,42.05,41.21
16,NOV,2018-06-25,42.41,41.33,2526610,42.41,41.18
17,NOV,2018-06-22,43.13,42.6,3991564,43.7,42.455
18,NOV,2018-06-21,42.1,41.69,2166531,42.14,41.55
19,NOV,2018-06-20,42.47,42.35,2406385,42.55,42.035
20,NOV,2018-06-19,41.78,42.19,2550438,42.27,41.35
21,NOV,2018-06-18,41.31,42.22,2746923,42.56,41.24
22,NOV,2018-06-15,41.66,41.48,4906041,41.825,41.15
23,NOV,2018-06-14,42.58,42.16,1993982,42.62,41.82
24,NOV,2018-06-13,42.12005397163121,42.2499,1732616,42.50959205673759,41.73051588652482
25,NOV,2018-06-12,42.13000667139816,42.2199,1860871,42.639402200141944,41.8902911284599
26,NOV,2018-06-11,42.43970941650855,42.1101,2024819,42.68941351992411,42.10011183586339
27,NOV,2018-06-08,42.78929224988258,42.5296,2481356,42.87918572099578,42.050168154062945
28,NOV,2018-06-07,42.5794843946816,42.8192,3124090,42.9490459528808,42.369733240028
29,NOV,2018-06-06,42.19001183431953,42.2,2294534,42.439715976331364,41.9003550295858
30,NOV,2018-06-05,41.520768466111775,42.0002,2414898,42.09009341260405,41.35096979785969
31,NOV,2018-06-04,41.91027483840077,41.7205,3910144,42.23988376825473,41.53072516159923
32,NOV,2018-06-01,41.670554074074076,41.8004,2364327,42.47959407407408,41.46080296296296
33,NOV,2018-05-31,41.48076960405601,41.3709,4195259,41.85033099951713,41.011326750362144
34,NOV,2018-05-30,41.64061323143062,41.8204,2237938,42.34977215189873,41.5207553857177
35,NOV,2018-05-29,40.5419522875817,41.2611,2038269,41.33101713870733,40.43208249818445
36,NOV,2018-05-25,41.50075630150266,41.2111,3810746,41.52073259815803,40.471977023751826
