,symbol,date,open,close,volume,high,low
0,NRG,2018-07-18,32.29,32.47,5089635,32.87,32.16
1,NRG,2018-07-17,32.23,32.27,3276088,32.885,32.05
2,NRG,2018-07-16,31.53,32.15,4147379,32.225,31.335
3,NRG,2018-07-13,31.49,31.57,2924630,31.73,31.25
4,NRG,2018-07-12,30.85,31.48,4599894,31.54,30.53
5,NRG,2018-07-11,30.9,30.67,3329147,31.05,30.54
6,NRG,2018-07-10,30.43,30.97,4322818,31.15,30.43
7,NRG,2018-07-09,31.11,30.57,4595807,31.42,30.4
8,NRG,2018-07-06,30.83,31.13,3124031,31.22,30.66
9,NRG,2018-07-05,30.42,30.73,5436402,30.77,30.32
10,NRG,2018-07-03,31.08,30.58,2385720,31.08,30.5
11,NRG,2018-07-02,30.3,30.97,4387322,31.025,29.9
12,NRG,2018-06-29,30.75,30.7,5336725,31.07,30.54
13,NRG,2018-06-28,31.01,30.71,4995750,31.32,30.68
14,NRG,2018-06-27,31.25,30.93,5245174,31.655,30.92
15,NRG,2018-06-26,31.23,31.33,7610689,31.67,31.14
16,NRG,2018-06-25,31.0,31.06,7500049,31.195,30.35
17,NRG,2018-06-22,32.23,31.02,7349225,32.24,30.96
18,NRG,2018-06-21,31.87,31.88,4974060,32.04,31.69
19,NRG,2018-06-20,32.0,31.85,5970667,32.39,31.76
20,NRG,2018-06-19,32.61,31.96,10248266,32.75,31.85
21,NRG,2018-06-18,33.34,32.98,5494844,33.69,32.78
22,NRG,2018-06-15,33.5,33.38,5280072,33.555,32.93
23,NRG,2018-06-14,34.09,33.51,4382960,34.52,33.46
24,NRG,2018-06-13,33.54,33.98,5840229,34.04,33.5303
25,NRG,2018-06-12,32.77,33.51,6485688,33.97,32.77
26,NRG,2018-06-11,33.18,32.66,6026645,33.52,32.66
27,NRG,2018-06-08,33.5,33.15,5622290,33.68,32.75
28,NRG,2018-06-07,34.06,33.5,4355088,34.29,33.5
29,NRG,2018-06-06,33.7,33.94,4097860,34.01,33.39
30,NRG,2018-06-05,33.78,33.65,4586402,34.21,33.49
31,NRG,2018-06-04,34.21,33.85,5117789,34.3,33.47
32,NRG,2018-06-01,34.17,33.91,3552385,34.25,33.535
