,symbol,date,open,close,volume,high,low
0,NWS,2018-07-18,15.45,15.65,523782,15.85,15.45
1,NWS,2018-07-17,15.6,15.55,338029,15.625,15.475
2,NWS,2018-07-16,15.75,15.65,159612,15.8,15.6
3,NWS,2018-07-13,15.75,15.8,115934,15.85,15.75
4,NWS,2018-07-12,15.9,15.75,156100,15.9,15.65
5,NWS,2018-07-11,15.9,15.8,258053,16.15,15.75
6,NWS,2018-07-10,15.7,16.05,260744,16.1,15.7
7,NWS,2018-07-09,15.75,15.7,209782,15.775,15.6
8,NWS,2018-07-06,15.45,15.6,169549,15.7,15.45
9,NWS,2018-07-05,15.55,15.5,477752,15.6,15.35
10,NWS,2018-07-03,15.6,15.55,226072,15.7,15.55
11,NWS,2018-07-02,15.7,15.45,469935,15.8,15.4
12,NWS,2018-06-29,15.75,15.85,379695,15.95,15.75
13,NWS,2018-06-28,15.8,15.8,285729,15.85,15.65
14,NWS,2018-06-27,15.75,15.75,346061,16.0,15.7
15,NWS,2018-06-26,15.75,15.7,370510,15.85,15.6
16,NWS,2018-06-25,16.0,15.75,313040,16.1,15.7
17,NWS,2018-06-22,16.15,16.05,541024,16.15,16.0
18,NWS,2018-06-21,16.1,16.0,716133,16.2,15.9
19,NWS,2018-06-20,16.15,16.15,820068,16.3,16.1
20,NWS,2018-06-19,16.1,16.1,643535,16.2,16.05
21,NWS,2018-06-18,16.1,16.3,400507,16.3,16.05
22,NWS,2018-06-15,16.0,16.25,1883836,16.45,15.95
23,NWS,2018-06-14,16.2,16.15,803181,16.25,16.0
24,NWS,2018-06-13,16.35,16.1,903072,16.675,16.05
25,NWS,2018-06-12,16.25,16.4,213780,16.45,16.25
26,NWS,2018-06-11,16.0,16.2,264996,16.325,16.0
27,NWS,2018-06-08,16.1,16.15,449110,16.3,16.05
28,NWS,2018-06-07,16.1,16.1,286751,16.2,16.0
29,NWS,2018-06-06,16.0,16.1,291172,16.2,15.95
30,NWS,2018-06-05,15.65,16.05,239521,16.05,15.65
31,NWS,2018-06-04,15.75,15.65,251245,15.775,15.6
32,NWS,2018-06-01,15.5,15.6,307581,15.75,15.5
33,NWS,2018-05-31,15.85,15.45,430421,15.9,15.4
34,NWS,2018-05-30,15.75,15.875,289916,15.95,15.675
35,NWS,2018-05-29,16.0,15.55,573572,16.1,15.5
36,NWS,2018-05-25,15.95,16.05,159529,16.1,15.95
37,NWS,2018-05-24,16.1,16.0,731380,16.1,15.85
38,NWS,2018-05-23,16.1,16.0,506700,16.1,15.85
39,NWS,2018-05-22,16.2,16.05,1311517,16.3,16.0
40,NWS,2018-05-21,16.1,16.2,677153,16.275,16.1
41,NWS,2018-05-18,16.15,16.1,1104766,16.2,16.0
42,NWS,2018-05-17,16.25,16.2,981592,16.35,16.1
43,NWS,2018-05-16,16.2,16.25,594644,16.4,16.125
44,NWS,2018-05-15,16.25,16.25,584980,16.325,15.95
45,NWS,2018-05-14,15.75,16.25,1629978,16.35,15.75
46,NWS,2018-05-11,16.75,15.5,962941,16.75,15.35
47,NWS,2018-05-10,16.75,16.675,1046179,16.8,16.575
48,NWS,2018-05-09,16.75,16.65,911437,16.75,16.5
49,NWS,2018-05-08,16.65,16.6,315081,16.75,16.5
50,NWS,2018-05-07,16.35,16.6,364828,16.65,16.35
51,NWS,2018-05-04,16.15,16.35,277291,16.4,16.1
52,NWS,2018-05-03,15.95,16.2,679257,16.25,15.8
53,NWS,2018-05-02,16.15,15.85,300700,16.225,15.85
54,NWS,2018-05-01,16.2,16.2,380880,16.2,16.0
55,NWS,2018-04-30,16.35,16.25,401555,16.425,16.15
56,NWS,2018-04-27,16.2,16.25,140661,16.25,16.075
57,NWS,2018-04-26,16.15,16.2,182125,16.3,16.125
58,NWS,2018-04-25,16.15,16.15,355238,16.25,15.975
59,NWS,2018-04-24,16.45,16.15,389552,16.5,16.05
60,NWS,2018-04-23,16.3,16.35,375613,16.45,16.25
61,NWS,2018-04-20,16.4,16.35,308299,16.4,16.25
62,NWS,2018-04-19,16.25,16.4,179917,16.425,16.25
63,NWS,2018-04-18,16.35,16.25,200675,16.4,16.2
64,NWS,2018-04-17,16.25,16.25,251383,16.35,16.1
65,NWS,2018-04-16,16.1,16.2,234205,16.25,15.95
66,NWS,2018-04-13,16.1,15.9,189479,16.15,15.9
67,NWS,2018-04-12,16.05,16.1,159772,16.175,15.9
68,NWS,2018-04-11,16.05,16.0,323081,16.15,15.925
69,NWS,2018-04-10,16.0,16.2,413631,16.375,15.95
