,symbol,date,open,close,volume,high,low
0,ORLY,2018-07-18,289.76,290.51,538903,290.81,288.21
1,ORLY,2018-07-17,284.59,289.5,678165,289.76,284.11
2,ORLY,2018-07-16,286.62,285.32,624824,287.63,283.39
3,ORLY,2018-07-13,285.47,286.0,370896,289.39,285.47
4,ORLY,2018-07-12,285.35,284.91,467674,287.32,283.58
5,ORLY,2018-07-11,286.82,283.34,436614,286.99,281.18
6,ORLY,2018-07-10,289.4,288.11,488824,290.01,285.85
7,ORLY,2018-07-09,284.24,289.38,857155,290.34,283.64
8,ORLY,2018-07-06,280.88,282.95,439462,283.5,279.32
9,ORLY,2018-07-05,277.64,279.73,509573,280.35,273.7425
10,ORLY,2018-07-03,276.24,276.78,323913,280.4,275.76
11,ORLY,2018-07-02,272.45,274.52,611079,274.71,270.97
12,ORLY,2018-06-29,277.51,273.57,598483,278.0,273.3
13,ORLY,2018-06-28,272.87,276.26,569775,278.625,271.581
14,ORLY,2018-06-27,281.79,272.84,853042,281.98,272.37
15,ORLY,2018-06-26,280.56,281.04,635483,282.23,280.48
16,ORLY,2018-06-25,281.43,280.32,751174,283.54,278.44
17,ORLY,2018-06-22,288.34,286.16,925951,290.35,285.57
18,ORLY,2018-06-21,284.01,287.07,505081,288.34,282.8
19,ORLY,2018-06-20,283.14,284.18,679967,287.0,280.79
20,ORLY,2018-06-19,280.17,282.01,591811,283.2,278.8535
21,ORLY,2018-06-18,281.86,282.11,509462,283.57,280.33
22,ORLY,2018-06-15,280.0,282.93,1316960,285.06,279.91
23,ORLY,2018-06-14,282.74,281.89,641957,284.26,280.37
24,ORLY,2018-06-13,284.25,281.65,540338,284.86,281.56
25,ORLY,2018-06-12,284.95,284.78,500356,286.86,283.725
26,ORLY,2018-06-11,282.62,284.78,599196,286.51,282.31
27,ORLY,2018-06-08,281.53,283.13,486767,284.16,281.26
28,ORLY,2018-06-07,279.79,282.76,725842,287.66,278.54
29,ORLY,2018-06-06,276.34,279.13,698799,279.65,275.84
30,ORLY,2018-06-05,277.44,275.82,711424,277.705,274.51
31,ORLY,2018-06-04,273.15,277.72,528979,279.34,272.94
32,ORLY,2018-06-01,269.91,272.48,585183,274.72,269.2643
33,ORLY,2018-05-31,272.85,269.41,1182916,272.86,268.35
34,ORLY,2018-05-30,270.1,273.56,673123,273.87,268.04
35,ORLY,2018-05-29,266.4,269.15,592472,270.3,265.265
36,ORLY,2018-05-25,267.99,268.29,471707,269.92,267.56
37,ORLY,2018-05-24,270.29,268.64,756294,271.5,265.11
38,ORLY,2018-05-23,266.58,271.24,774212,271.31,266.316
39,ORLY,2018-05-22,280.02,267.45,1135748,280.4,264.5
40,ORLY,2018-05-21,273.85,276.18,653554,278.835,272.28
41,ORLY,2018-05-18,273.9,272.09,521001,273.9,270.61
42,ORLY,2018-05-17,270.49,272.89,692319,276.34,269.96
43,ORLY,2018-05-16,273.38,271.26,616216,274.96,269.93
44,ORLY,2018-05-15,271.81,272.45,734855,273.55,266.64
45,ORLY,2018-05-14,269.67,272.85,841931,274.95,267.745
46,ORLY,2018-05-11,264.96,269.62,724308,270.89,263.06
47,ORLY,2018-05-10,265.55,265.2,507072,265.55,261.75
48,ORLY,2018-05-09,266.17,265.41,1003259,267.89,258.7334
49,ORLY,2018-05-08,262.95,265.74,791128,266.2,261.09
50,ORLY,2018-05-07,259.98,263.17,777977,264.0,259.41
51,ORLY,2018-05-04,257.18,259.51,662108,262.3024,256.19
52,ORLY,2018-05-03,258.64,258.94,613257,260.9886,255.16
53,ORLY,2018-05-02,258.26,259.5,829829,261.98,255.75
54,ORLY,2018-05-01,254.09,258.76,843013,259.745,254.09
55,ORLY,2018-04-30,263.98,256.07,1239328,264.57,256.07
56,ORLY,2018-04-27,259.23,263.29,1551195,265.0,256.53
57,ORLY,2018-04-26,254.94,257.4,3738433,262.0,249.5
58,ORLY,2018-04-25,224.4,227.67,1730007,229.59,224.4
59,ORLY,2018-04-24,224.33,224.63,1111451,227.62,223.08
60,ORLY,2018-04-23,222.24,222.58,643238,224.46,220.945
61,ORLY,2018-04-20,222.76,221.48,897464,223.68,217.64
62,ORLY,2018-04-19,225.81,222.95,931496,226.58,221.63
63,ORLY,2018-04-18,225.31,226.73,857771,229.1,224.735
64,ORLY,2018-04-17,226.76,224.01,898577,227.34,223.51
65,ORLY,2018-04-16,227.26,226.77,733789,229.36,223.76
66,ORLY,2018-04-13,231.15,224.87,1374745,232.22,222.72
67,ORLY,2018-04-12,232.21,229.85,754421,234.115,229.79
68,ORLY,2018-04-11,234.68,232.79,796608,236.33,232.3
69,ORLY,2018-04-10,235.24,236.69,691784,237.85,232.42
70,ORLY,2018-04-09,237.08,232.28,857815,239.35,231.85
71,ORLY,2018-04-06,242.64,237.19,661852,243.4,234.36
72,ORLY,2018-04-05,243.93,243.87,634147,245.0,239.28
73,ORLY,2018-04-04,234.25,242.03,800112,242.92,234.06
74,ORLY,2018-04-03,236.63,237.77,757099,240.83,234.2337
75,ORLY,2018-04-02,245.48,236.08,1206804,247.36,232.335
76,ORLY,2018-03-29,243.86,247.38,714299,249.96,243.86
77,ORLY,2018-03-28,239.4,242.72,673748,245.49,239.26
78,ORLY,2018-03-27,246.66,238.97,854459,247.6898,238.26
79,ORLY,2018-03-26,242.94,245.4,878556,245.97,241.1
80,ORLY,2018-03-23,241.37,239.44,826392,245.99,239.38
81,ORLY,2018-03-22,244.9,241.16,955159,247.4739,240.97
82,ORLY,2018-03-21,247.43,247.05,621354,251.895,246.9
83,ORLY,2018-03-20,249.63,247.61,453299,250.57,246.879
84,ORLY,2018-03-19,250.16,248.7,743260,254.11,246.43
85,ORLY,2018-03-16,250.08,251.16,895803,253.342,248.3
86,ORLY,2018-03-15,249.55,248.84,419197,252.315,248.5
87,ORLY,2018-03-14,251.4,249.14,493029,253.145,248.19
88,ORLY,2018-03-13,250.13,250.82,643714,253.44,248.15
89,ORLY,2018-03-12,250.52,249.12,702823,251.0081,246.01
90,ORLY,2018-03-09,244.44,250.51,634564,250.83,243.25
91,ORLY,2018-03-08,244.42,242.34,653957,244.86,241.665
92,ORLY,2018-03-07,249.32,242.78,880431,250.5,242.43
93,ORLY,2018-03-06,246.78,251.74,661269,252.78,245.64
94,ORLY,2018-03-05,240.0,246.85,744538,246.91,240.0
95,ORLY,2018-03-02,242.33,241.01,934884,244.13,237.7036
96,ORLY,2018-03-01,243.63,243.26,938926,248.16,240.54
97,ORLY,2018-02-28,240.88,244.19,1166105,250.31,239.01
98,ORLY,2018-02-27,253.4,238.58,1963790,253.67,238.41
99,ORLY,2018-02-26,254.4,254.97,753525,255.03,251.5
