,symbol,date,open,close,volume,high,low
0,PH,2018-07-18,159.08,162.1,1604760,162.9,158.26
1,PH,2018-07-17,156.92,158.75,1453612,159.08,156.76
2,PH,2018-07-16,159.89,157.7,1230202,160.3191,157.06
3,PH,2018-07-13,158.18,161.51,1495829,162.25,158.18
4,PH,2018-07-12,158.3,158.6,767755,159.19,156.73
5,PH,2018-07-11,158.45,157.96,986381,158.99,157.1704
6,PH,2018-07-10,160.1,160.03,1053918,160.729,158.64
7,PH,2018-07-09,157.7,159.79,950901,160.305,157.7
8,PH,2018-07-06,156.86,156.82,757837,157.7,155.37
9,PH,2018-07-05,157.74,157.08,852322,158.05,156.14
10,PH,2018-07-03,156.51,156.81,763397,158.76,156.34
11,PH,2018-07-02,154.88,156.09,778845,156.5,153.86
12,PH,2018-06-29,155.95,155.85,811161,158.48,155.72
13,PH,2018-06-28,154.01,154.83,1202976,155.8,152.47
14,PH,2018-06-27,157.38,153.96,1360734,158.03,153.92
15,PH,2018-06-26,156.12,155.83,1060781,157.63,155.77
16,PH,2018-06-25,156.88,155.76,1607537,157.0,153.5
17,PH,2018-06-22,160.02,157.38,3209080,160.49,156.51
18,PH,2018-06-21,162.66,158.5,1758792,162.66,157.46
19,PH,2018-06-20,164.1,164.47,1020123,165.04,162.14
20,PH,2018-06-19,167.35,163.61,1192884,167.48,163.05
21,PH,2018-06-18,169.12,169.55,1215179,170.44,168.025
22,PH,2018-06-15,171.28,170.92,1171484,171.4,168.08
23,PH,2018-06-14,173.06,171.91,768166,174.43,171.03
24,PH,2018-06-13,173.96,172.14,1233513,174.2182,172.0
25,PH,2018-06-12,175.05,174.17,855113,175.48,172.87
26,PH,2018-06-11,174.76,174.5,1321524,176.33,174.36
27,PH,2018-06-08,175.48,174.71,485796,175.96,174.15
28,PH,2018-06-07,174.6,175.48,497991,175.72,173.8
29,PH,2018-06-06,173.82,174.18,779438,174.18,172.371
30,PH,2018-06-05,172.14,173.07,819328,173.645,172.05
31,PH,2018-06-04,173.7,172.23,652779,174.46,172.01
32,PH,2018-06-01,172.28,172.71,893705,174.64,172.17
33,PH,2018-05-31,174.68,170.9,1000253,175.48,170.06
