,symbol,date,open,close,volume,high,low
0,PLD,2018-07-18,62.9,62.97,4784191,63.69,62.3
1,PLD,2018-07-17,66.19,63.42,6336560,66.26,63.0
2,PLD,2018-07-16,65.4,65.04,3073782,65.57,64.49
3,PLD,2018-07-13,65.83,65.53,1942134,66.07,65.29
4,PLD,2018-07-12,65.42,65.67,2168088,65.76,65.26
5,PLD,2018-07-11,65.75,65.4,2372552,65.97,65.31
6,PLD,2018-07-10,65.71,65.83,2775138,66.06,65.45
7,PLD,2018-07-09,66.24,65.8,2263149,66.43,65.49
8,PLD,2018-07-06,66.12,66.2,2129569,66.35,65.5
9,PLD,2018-07-05,65.57,65.98,2206970,66.02,65.17
10,PLD,2018-07-03,64.77,65.05,1744367,65.8005,64.68
11,PLD,2018-07-02,65.59,64.52,3457079,65.78,63.77
12,PLD,2018-06-29,65.12,65.69,4552688,66.23,64.57
13,PLD,2018-06-28,64.41,65.15,3045812,65.23,64.41
14,PLD,2018-06-27,64.15,64.41,3420864,64.81,63.94
15,PLD,2018-06-26,64.4,64.02,3397415,64.47,63.93
16,PLD,2018-06-25,64.42,64.14,3159495,64.65,63.63
17,PLD,2018-06-22,64.12,64.31,8736196,64.76,63.71
18,PLD,2018-06-21,64.12,63.95,2698833,64.4966,63.59
19,PLD,2018-06-20,63.61,64.11,2329944,64.44,63.55
20,PLD,2018-06-19,64.0,63.51,2617335,64.31,63.395
21,PLD,2018-06-18,63.9,64.17,2724978,64.315,63.43
22,PLD,2018-06-15,64.53,63.95,4504420,64.53,63.86
23,PLD,2018-06-14,64.45,64.42,1938306,64.8,64.25
24,PLD,2018-06-13,65.18,64.23,2409123,65.66,63.905
25,PLD,2018-06-12,64.86528675011448,65.0241,2388325,65.5154284918333,64.65684435963975
26,PLD,2018-06-11,65.4608137599267,64.9943,2186987,65.61962695479535,64.83548680513132
27,PLD,2018-06-08,65.51042911296437,65.4608,1752762,65.6890939196361,64.9744346929492
28,PLD,2018-06-07,65.5401807307459,65.4707,2477595,65.80817783505154,64.99426070345665
29,PLD,2018-06-06,65.46082582650897,65.4509,2693936,66.00674628450108,65.08364441916895
30,PLD,2018-06-05,65.75854217141126,65.5501,2608663,65.86772616596002,65.25728837825561
31,PLD,2018-06-04,64.8851272754717,65.7586,2716501,65.80822913207547,64.23994855849057
32,PLD,2018-06-01,64.16048656120411,64.627,2951400,64.73618399631393,63.51530840116725
33,PLD,2018-05-31,64.15062317016317,63.8727,4961479,64.30943641025642,63.64440596736598
34,PLD,2018-05-30,63.96197055555555,64.3193,3035443,64.76596180555556,63.71382510802469
35,PLD,2018-05-29,63.565002643445816,63.833,3202847,64.21018146477996,63.39626356709687
36,PLD,2018-05-25,64.06123564663874,63.9322,1643751,64.29945530197175,63.78331271541687
37,PLD,2018-05-24,64.27962301488834,64.0017,2143187,64.468213632134,63.57488965570719
38,PLD,2018-05-23,63.30694284390922,64.2896,2421055,64.35908080901652,63.20768454531419
39,PLD,2018-05-22,63.28707417280852,63.297,2633580,63.48559071663791,63.01907683863885
40,PLD,2018-05-21,63.01904785333752,63.3466,2878418,63.52526480727045,62.27461115637732
41,PLD,2018-05-18,62.83045493358633,62.7709,2386455,63.028971378874125,62.2944605313093
42,PLD,2018-05-17,63.05874554361568,62.8106,2823943,63.237410335018964,62.62200938685209
43,PLD,2018-05-16,63.96198529968454,62.9297,2876279,63.96198529968454,62.81059015772871
44,PLD,2018-05-15,64.28951996262846,63.7436,3709273,64.2994457801308,63.425973839925256
45,PLD,2018-05-14,65.0141489035424,64.7263,2897942,65.08362967336298,64.24986043551603
46,PLD,2018-05-11,65.21265544160417,64.8454,2249752,65.24243290984235,64.75606759528547
47,PLD,2018-05-10,64.92483511205975,65.1035,2893613,65.18290661686233,64.80572518676628
48,PLD,2018-05-09,64.70642253909843,64.7362,2875781,64.9247905857099,64.41857375038332
49,PLD,2018-05-08,64.98432287160608,64.7064,2979165,65.26224574321216,64.60714183156927
50,PLD,2018-05-07,65.03397746220797,65.0042,3248233,65.16301313177586,64.72627701939227
51,PLD,2018-05-04,64.16052475095786,64.766,2514749,65.07121908045978,64.11089563218391
52,PLD,2018-05-03,64.07115455246914,64.3193,2319120,64.5773712654321,63.912341466049384
53,PLD,2018-05-02,64.40866151351352,64.2697,3940237,64.8453976988417,63.932222038610035
54,PLD,2018-05-01,64.6567807284463,64.5873,4037691,64.96448109727986,64.42848690640848
55,PLD,2018-04-30,63.63443437066708,64.4285,9085685,65.30197219226622,63.42599214296719
56,PLD,2018-04-27,65.27218287774107,66.0861,1687480,66.49802147041154,65.23247960348453
57,PLD,2018-04-26,64.73622146652497,65.3814,1349490,65.8479137088204,64.4086692879915
58,PLD,2018-04-25,64.45827459777227,64.1605,1943439,64.55753279702971,63.73368974319306
59,PLD,2018-04-24,64.6865708984974,64.7362,2272683,65.3913041398344,64.25976062557497
60,PLD,2018-04-23,64.5972163378545,64.3987,1533055,64.8751392108508,64.03144477496919
61,PLD,2018-04-20,64.73619384520697,64.5079,2391685,64.96448769041392,64.28953197414988
62,PLD,2018-04-19,65.17291010271346,64.7461,2104552,65.30194571516174,64.39869642802391
63,PLD,2018-04-18,65.13329667986598,65.173,2819993,65.6593656716418,64.78589262869326
64,PLD,2018-04-17,62.95947179173048,64.8156,3776244,65.26226186830016,62.88006523736601
65,PLD,2018-04-16,61.8379250798722,62.1357,2392448,62.40369742811502,61.366448123003195
66,PLD,2018-04-13,61.39124108576936,61.7982,1899860,61.847829135881796,61.00413382589143
67,PLD,2018-04-12,62.32427014925373,61.1828,1842284,62.40367676833225,61.014060934458136
68,PLD,2018-04-11,60.91475451152223,61.1629,1716018,61.738597533268425,60.86512541382668
69,PLD,2018-04-10,61.22250662337662,61.1431,2260072,61.629465568181814,60.99421258116883
70,PLD,2018-04-09,61.01398723091976,60.8651,2350326,61.78820083170254,60.840285461513375
71,PLD,2018-04-06,61.430878069888955,60.7857,1921512,62.07069619888961,60.557406221423896
72,PLD,2018-04-05,61.818042940414514,61.3019,1865655,61.897449546632124,60.815534536917106
73,PLD,2018-04-04,60.7956757843926,61.689,2593203,61.77833242156074,60.51775269509252
74,PLD,2018-04-03,60.95447369188401,61.2721,2205646,61.54009719747287,60.50781169609591
75,PLD,2018-04-02,62.70147201954398,60.9446,2424208,62.71139785016287,60.368901824104235
76,PLD,2018-03-29,62.3937642165423,62.5228,2455542,62.89005569137958,62.1753959676139
77,PLD,2018-03-28,61.91731258595874,62.0662,2137939,62.48308475931553,61.84783179273949
78,PLD,2018-03-27,61.3812835589942,61.5798,2947069,62.602159671179884,60.94454738878143
79,PLD,2018-03-26,60.44824791768741,60.7758,1806518,60.9544647721705,59.89240195982362
80,PLD,2018-03-23,61.3018601896523,59.6641,2397001,61.43089584095824,59.46558361337548
81,PLD,2018-03-22,61.907404812834216,61.2523,1971276,62.651842100145835,61.133190034030136
82,PLD,2018-03-21,62.99916873702698,62.1654,1652110,63.26716583107137,61.75844144978444
83,PLD,2018-03-20,63.01906756841775,63.1084,1564997,63.46572972632904,62.66173784208872
84,PLD,2018-03-19,63.35656561414587,62.8702,1430345,63.35656561414587,62.468203931165135
85,PLD,2018-03-16,63.01902216825944,63.3565,2750010,63.50538727870907,62.56243451355162
86,PLD,2018-03-15,62.88006762295082,62.9694,1841522,63.17684963114754,62.61207049180328
