,symbol,date,open,close,volume,high,low
0,RACE,2018-07-24,134.46,133.25,1279898,135.03,133.03
1,RACE,2018-07-23,132.5,136.49,2595186,137.0,132.45
2,RACE,2018-07-20,140.02,140.0,499839,140.7,139.86
3,RACE,2018-07-19,142.21,142.52,332334,143.09,140.915
4,RACE,2018-07-18,142.72,143.03,152003,143.22,142.41
5,RACE,2018-07-17,141.58,143.68,270872,144.83,141.09
6,RACE,2018-07-16,142.0,142.0,315112,142.07,140.94
7,RACE,2018-07-13,143.25,142.51,434093,143.7,141.89
8,RACE,2018-07-12,137.36,139.66,334183,139.77,137.13
9,RACE,2018-07-11,136.08,136.21,236885,137.04,135.78
10,RACE,2018-07-10,138.37,137.7,284540,138.39,137.17
11,RACE,2018-07-09,136.03,136.38,229719,136.42,134.84
12,RACE,2018-07-06,135.16,135.36,239529,135.53,134.29
13,RACE,2018-07-05,135.92,135.94,284923,136.16,134.58
14,RACE,2018-07-03,134.57,133.94,219026,134.93,133.87
15,RACE,2018-07-02,132.78,135.15,326939,135.17,132.66
16,RACE,2018-06-29,135.61,135.01,398158,136.81,134.72
17,RACE,2018-06-28,131.87,135.05,551675,135.26,131.67
18,RACE,2018-06-27,137.8,135.18,356682,138.9,135.18
19,RACE,2018-06-26,136.87,137.13,421009,137.4,136.22
20,RACE,2018-06-25,137.98,136.9,393003,138.0,135.5
21,RACE,2018-06-22,141.61,139.48,731222,141.77,138.34
22,RACE,2018-06-21,141.55,140.9,368158,141.69,140.0
23,RACE,2018-06-20,144.48,143.21,325753,145.1,143.01
24,RACE,2018-06-19,145.35,145.45,424507,146.28,144.755
25,RACE,2018-06-18,146.45,147.81,311181,148.32,146.2901
26,RACE,2018-06-15,149.85,148.9,368180,149.85,148.25
27,RACE,2018-06-14,148.08,149.33,801947,149.58,147.27
28,RACE,2018-06-13,142.59,143.96,702660,145.07,142.38
29,RACE,2018-06-12,140.58,140.64,516874,140.9,139.445
30,RACE,2018-06-11,138.74,139.08,431256,139.69,138.56
31,RACE,2018-06-08,136.22,136.37,175475,136.57,135.23
32,RACE,2018-06-07,138.24,136.45,286116,138.9,136.1
33,RACE,2018-06-06,136.97,139.46,306567,139.54,136.9215
34,RACE,2018-06-05,135.84,136.49,434606,137.465,135.39
35,RACE,2018-06-04,132.61,132.25,267919,132.87,131.915
36,RACE,2018-06-01,133.66,132.9,287031,133.81,131.44
37,RACE,2018-05-31,130.38,131.35,266497,131.98,129.565
38,RACE,2018-05-30,129.62,130.25,407189,130.99,128.81
39,RACE,2018-05-29,127.81,127.02,836304,129.11,125.95
40,RACE,2018-05-25,131.13,131.19,212694,131.96,129.89
41,RACE,2018-05-24,130.54,131.44,181163,131.77,130.34
42,RACE,2018-05-23,130.68,131.31,229014,131.43,130.11
43,RACE,2018-05-22,133.91,132.46,179621,134.24,132.36
44,RACE,2018-05-21,134.5,134.07,250180,135.0,133.47
45,RACE,2018-05-18,133.16,132.53,211115,133.39,132.31
46,RACE,2018-05-17,133.55,133.73,176536,134.36,133.36
47,RACE,2018-05-16,133.46,133.84,258460,134.225,132.35
48,RACE,2018-05-15,134.02,133.89,191107,134.55,133.27
49,RACE,2018-05-14,135.35,135.2,179433,136.24,135.04
50,RACE,2018-05-11,135.61,136.05,211806,136.29,135.12
