,symbol,date,open,close,volume,high,low
0,SCHW,2018-07-16,50.79,51.06,6082200,51.385,50.66
1,SCHW,2018-07-13,50.72,50.62,4965955,50.78,49.9
2,SCHW,2018-07-12,50.78,50.75,5750047,50.99,50.34
3,SCHW,2018-07-11,50.71,50.47,6404555,51.015,50.24
4,SCHW,2018-07-10,51.9,51.11,5354302,51.98,51.03
5,SCHW,2018-07-09,50.9,51.9,6146245,52.02,50.84
6,SCHW,2018-07-06,49.49,50.65,6753370,51.06,49.35
7,SCHW,2018-07-05,50.57,49.48,8985588,50.57,49.42
8,SCHW,2018-07-03,51.5,50.24,2490104,51.7,50.19
9,SCHW,2018-07-02,50.56,51.3,6474768,51.325,50.32
10,SCHW,2018-06-29,52.23,51.1,6827650,52.49,51.05
11,SCHW,2018-06-28,51.9,51.71,7194298,52.05,51.11
12,SCHW,2018-06-27,53.22,51.9,6768809,53.68,51.9
13,SCHW,2018-06-26,53.44,53.07,5021456,53.685,53.01
14,SCHW,2018-06-25,54.5,53.41,6193418,54.5301,52.73
15,SCHW,2018-06-22,55.79,54.9,7593533,55.84,54.85
16,SCHW,2018-06-21,55.31,55.31,4311048,55.58,54.58
17,SCHW,2018-06-20,55.47,55.54,3743897,56.15,55.39
18,SCHW,2018-06-19,54.72,55.27,4881926,55.505,54.51
19,SCHW,2018-06-18,55.45,55.48,5051678,55.7,55.02
20,SCHW,2018-06-15,56.34,56.09,8367326,56.6,55.37
21,SCHW,2018-06-14,57.59,56.61,6049696,57.83,56.01
22,SCHW,2018-06-13,57.4,57.36,4353906,58.22,57.02
23,SCHW,2018-06-12,57.7,57.31,3495421,57.755,56.98
24,SCHW,2018-06-11,57.85,57.41,2731952,58.04,57.26
25,SCHW,2018-06-08,57.29,57.73,2843591,57.7725,56.96
26,SCHW,2018-06-07,58.11,57.34,3851875,58.25,56.78
27,SCHW,2018-06-06,56.63,57.95,4799281,57.95,56.63
28,SCHW,2018-06-05,56.52,56.3,4364900,56.95,56.13
29,SCHW,2018-06-04,57.09,56.86,4588504,57.26,56.66
30,SCHW,2018-06-01,56.53,56.73,6694538,57.02,56.34
