,symbol,date,open,close,volume,high,low
0,SIG,2018-07-18,58.59,58.71,1143440,59.5549,58.3025
1,SIG,2018-07-17,57.68,58.59,1025127,59.26,57.68
2,SIG,2018-07-16,58.12,58.01,1320535,58.83,57.44
3,SIG,2018-07-13,59.69,58.14,1784800,60.0,58.1
4,SIG,2018-07-12,59.96,59.94,927929,60.65,59.36
5,SIG,2018-07-11,59.03,59.95,1262410,60.3499,58.9793
6,SIG,2018-07-10,60.1,59.52,1354981,60.81,58.84
7,SIG,2018-07-09,59.13,60.05,1604119,60.3899,59.13
8,SIG,2018-07-06,57.85,59.0,1689177,59.72,57.85
9,SIG,2018-07-05,56.27,57.85,2370361,58.0,56.11
10,SIG,2018-07-03,56.3,56.05,1396146,57.19,55.97
11,SIG,2018-07-02,55.65,56.11,1820899,56.89,55.251
12,SIG,2018-06-29,58.28,55.75,2078400,58.57,55.66
13,SIG,2018-06-28,57.2,57.74,1566968,58.15,56.69
14,SIG,2018-06-27,58.07,57.14,1584472,59.22,57.05
15,SIG,2018-06-26,57.45,58.03,1411666,58.115,56.62
16,SIG,2018-06-25,57.52,57.1,2292830,58.99,56.64
17,SIG,2018-06-22,58.63,58.09,8559735,58.91,57.17
18,SIG,2018-06-21,59.38,58.25,2328283,61.08,58.16
19,SIG,2018-06-20,57.13,59.17,2574689,60.36,57.13
20,SIG,2018-06-19,57.31,57.14,1875970,58.25,56.54
21,SIG,2018-06-18,55.64,57.39,2173120,57.97,55.26
22,SIG,2018-06-15,55.46,55.94,2346795,56.69,55.295
23,SIG,2018-06-14,56.9,55.51,3040563,56.96,54.39
24,SIG,2018-06-13,58.12,57.09,2948605,58.97,56.61
25,SIG,2018-06-12,56.74,57.92,2522356,58.48,56.31
26,SIG,2018-06-11,55.36,56.53,2776113,57.825,54.8
27,SIG,2018-06-08,53.99,55.41,3713460,55.8,53.61
28,SIG,2018-06-07,52.52,53.9,5187859,55.03,51.53
29,SIG,2018-06-06,50.01,52.27,18012061,55.37,49.97
30,SIG,2018-06-05,43.8,44.15,3411090,44.63,43.42
31,SIG,2018-06-04,42.78,43.7,2083050,43.75,42.76
32,SIG,2018-06-01,42.65,42.61,1354544,42.88,41.73
33,SIG,2018-05-31,43.17,43.0,2077362,43.37,42.07
34,SIG,2018-05-30,42.77,43.05,1420062,43.59,42.67
35,SIG,2018-05-29,42.28,42.59,2894358,42.64,41.38
36,SIG,2018-05-25,42.32,42.63,1769508,42.91,41.91
37,SIG,2018-05-24,41.46,42.53,1722410,42.59,41.11
38,SIG,2018-05-23,40.46,41.19,1858577,41.85,40.005
39,SIG,2018-05-22,40.0,39.84,1269375,40.09,39.12
40,SIG,2018-05-21,39.68,39.89,1073601,40.6,39.67
41,SIG,2018-05-18,38.96,39.49,1444146,39.89,38.96
42,SIG,2018-05-17,38.9,38.97,1020781,39.46,38.79
43,SIG,2018-05-16,38.4,38.84,1260606,39.36,38.29
44,SIG,2018-05-15,37.92,38.17,1134141,38.78,37.72
45,SIG,2018-05-14,38.34,38.08,1522926,39.41,37.95
46,SIG,2018-05-11,38.41,38.13,776002,38.49,37.76
47,SIG,2018-05-10,37.99,38.29,819141,38.74,37.87
48,SIG,2018-05-09,37.47,37.84,1010928,38.13,37.24
49,SIG,2018-05-08,37.19,37.2,901520,37.86,36.54
50,SIG,2018-05-07,37.9,37.37,1080828,37.9,36.4
51,SIG,2018-05-04,37.19,37.88,1291094,38.36,36.92
52,SIG,2018-05-03,37.48,37.19,1637828,37.92,36.76
53,SIG,2018-05-02,38.279206640316204,37.5762,1639766,38.45743367588933,37.55639699604743
54,SIG,2018-05-01,38.43761948823986,38.3089,1439761,38.59604347376583,37.190030602222805
55,SIG,2018-04-30,40.209958076131684,38.497,1229466,40.487199845679015,38.44749254115226
56,SIG,2018-04-27,40.002059503319394,40.2694,1483333,40.57634649618883,39.80402950577822
57,SIG,2018-04-26,39.714889547038325,39.7842,783703,40.06144181184669,39.46735221503235
58,SIG,2018-04-25,38.96238924918932,39.6951,1104469,39.71490299326515,38.93268475929159
59,SIG,2018-04-24,39.219817928589514,39.101,1412926,39.42774930362117,38.47720587490504
