,symbol,date,open,close,volume,high,low
0,TWX,2018-07-16,0.0,98.77,0,0.0,0.0
1,TWX,2018-06-15,98.77,98.77,8475,98.77,98.77
2,TWX,2018-06-14,98.41,98.77,29545371,99.65,98.39
3,TWX,2018-06-13,99.96,97.95,61996739,100.07,96.24
4,TWX,2018-06-12,95.85,96.22,23047525,96.35,95.02
5,TWX,2018-06-11,95.38,96.17,10895082,96.72,94.68
6,TWX,2018-06-08,95.34,95.34,8902660,95.56,94.92
7,TWX,2018-06-07,94.79,95.37,5600640,95.42,94.67
8,TWX,2018-06-06,93.5,94.92,7783975,94.94,93.25
9,TWX,2018-06-05,93.46,93.46,3847752,93.78,93.01
10,TWX,2018-06-04,93.9,93.46,3461284,94.15,93.46
11,TWX,2018-06-01,94.2,93.89,3317147,94.2,93.599
12,TWX,2018-05-31,93.91,94.16,7004039,94.16,93.08
13,TWX,2018-05-30,93.45,94.1,4365082,94.18,93.29
14,TWX,2018-05-29,93.59,93.36,6890233,93.99,92.99
15,TWX,2018-05-25,94.25,94.17,2464244,94.44,93.7527
16,TWX,2018-05-24,93.98,94.26,4309281,94.38,93.65
17,TWX,2018-05-23,94.39,94.0,5464658,94.39,93.2
18,TWX,2018-05-22,94.77,94.43,4299237,95.05,94.4
19,TWX,2018-05-21,94.47,94.74,3476756,94.88,93.77
20,TWX,2018-05-18,93.14,94.45,8719518,94.45,92.93
21,TWX,2018-05-17,94.22,92.88,4710426,94.3734,92.78
22,TWX,2018-05-16,94.49,94.19,3863849,94.52,93.645
23,TWX,2018-05-15,94.12,94.42,4731000,94.46,93.69
24,TWX,2018-05-14,93.8,94.38,8000681,94.465,93.79
25,TWX,2018-05-11,92.76,93.81,4095819,93.81,92.6596
26,TWX,2018-05-10,92.64,92.54,2604306,92.81,92.31
27,TWX,2018-05-09,92.3,92.38,4525546,92.49,91.51
28,TWX,2018-05-08,92.35,92.45,4289265,92.77,92.1601
29,TWX,2018-05-07,93.08,92.56,3447533,93.23,92.31
30,TWX,2018-05-04,91.95,93.14,3507585,93.21,91.51
31,TWX,2018-05-03,92.95,92.18,8969600,93.0,90.72
32,TWX,2018-05-02,94.06,93.02,6701130,94.21,92.655
33,TWX,2018-05-01,94.8,94.27,3731684,94.91,93.82
34,TWX,2018-04-30,94.34,94.8,8296992,97.0,93.66
35,TWX,2018-04-27,93.64,94.6,7354726,94.895,93.42
36,TWX,2018-04-26,95.02,93.67,9454933,95.11,93.42
37,TWX,2018-04-25,95.87,96.28,3986857,96.39,95.37
38,TWX,2018-04-24,96.36,96.04,3793196,96.745,95.33
39,TWX,2018-04-23,96.23,96.36,3981763,96.36,95.78
40,TWX,2018-04-20,96.49,96.24,5882283,96.95,95.44
41,TWX,2018-04-19,97.1,96.58,3165999,97.23,96.34
42,TWX,2018-04-18,97.63,97.1,5228489,97.65,96.98
43,TWX,2018-04-17,97.44,97.41,3284356,97.75,97.06
44,TWX,2018-04-16,97.02,97.34,4171098,97.63,96.77
45,TWX,2018-04-13,96.84,96.68,4603435,97.09,96.51
46,TWX,2018-04-12,96.59,96.34,5101555,96.84,96.18
47,TWX,2018-04-11,96.19,96.27,4971527,96.92,95.97
48,TWX,2018-04-10,95.99,96.71,6493754,97.1,95.59
49,TWX,2018-04-09,95.43,95.49,5656054,96.16,95.1516
50,TWX,2018-04-06,95.79624602177556,95.1191,12035313,96.20452524078728,94.66600964719431
51,TWX,2018-04-05,95.73644938271605,95.9854,4875524,96.18456049382716,95.44268765432098
52,TWX,2018-04-04,94.28256315295592,95.5074,5360197,95.60698023146702,93.78466199562091
53,TWX,2018-04-03,94.32243692566503,94.7108,5306802,94.84025435811166,93.52579472190097
54,TWX,2018-04-02,94.31247775316456,94.4021,6033635,94.79046306962026,93.77972328586499
55,TWX,2018-03-29,94.02367160076128,94.183,4424610,94.59127902304927,93.86434320152253
56,TWX,2018-03-28,93.89422222929936,93.8046,5845380,94.57136796178342,93.60543949044585
57,TWX,2018-03-27,93.6751456687898,93.8046,6141927,94.41701856687897,93.16728636942675
58,TWX,2018-03-26,93.20713692946057,93.5955,6783830,93.77474449409512,92.86856399616981
59,TWX,2018-03-23,93.98380179323755,92.1814,6460067,94.13317210759426,92.00713463325052
60,TWX,2018-03-22,94.64112641629535,93.8644,6538237,94.92990931466157,93.44616269891789
61,TWX,2018-03-21,94.76054570259208,94.89,4152525,95.36798509812152,94.61117535942911
62,TWX,2018-03-20,94.95974448413531,94.7805,4208025,95.58710017860894,94.15314430552637
63,TWX,2018-03-19,95.84596265123619,94.651,4433181,95.96545891635981,94.2228050499737
64,TWX,2018-03-16,96.58292003531366,95.8759,6262119,96.67254229331117,95.54728505400914
65,TWX,2018-03-15,95.97549847233691,96.4734,6973062,97.16050410817506,95.83608604459124
66,TWX,2018-03-14,96.12485437759335,95.9954,3728024,96.46342736514522,95.61699489626555
67,TWX,2018-03-13,96.59287437603993,95.7564,3757617,96.68249663061565,95.71656788685524
68,TWX,2018-03-12,95.28834926098192,96.3439,6249734,96.61276669767442,95.18876900258398
69,TWX,2018-03-09,94.56145908041151,94.8602,4099552,94.89007409195887,94.01376739449927
