,symbol,date,open,close,volume,high,low
0,UNM,2018-07-09,38.42,39.42,1740861,39.465,38.29
1,UNM,2018-07-06,37.6,38.12,1758765,38.28,37.44
2,UNM,2018-07-05,37.69,37.77,1630317,37.855,37.44
3,UNM,2018-07-03,37.66,37.55,771901,38.19,37.5
4,UNM,2018-07-02,36.78,37.59,1606879,37.62,36.76
5,UNM,2018-06-29,37.25,36.99,1278598,37.86,36.99
6,UNM,2018-06-28,36.63,36.94,1602774,37.17,36.1525
7,UNM,2018-06-27,37.8,36.64,1750016,38.0,36.56
8,UNM,2018-06-26,38.18,37.88,1440142,38.18,37.54
9,UNM,2018-06-25,37.93,38.11,1546029,38.36,37.75
10,UNM,2018-06-22,38.17,37.99,2693999,38.34,37.89
11,UNM,2018-06-21,37.97,37.88,1111480,38.13,37.7
12,UNM,2018-06-20,38.6,38.03,1277554,38.785,37.99
13,UNM,2018-06-19,38.26,38.53,1613582,38.64,38.21
14,UNM,2018-06-18,38.79,38.61,1334327,38.94,38.31
15,UNM,2018-06-15,38.62,39.14,3155390,39.21,38.23
16,UNM,2018-06-14,38.93,38.83,2318788,39.125,38.61
17,UNM,2018-06-13,39.14,38.92,2703202,39.34,38.6901
18,UNM,2018-06-12,39.12,39.13,2214653,39.37,38.9212
19,UNM,2018-06-11,39.6,39.37,1124765,39.8,39.29
20,UNM,2018-06-08,39.32,39.35,1566961,39.64,39.12
21,UNM,2018-06-07,39.1,39.25,1597146,39.4,38.92
22,UNM,2018-06-06,38.86,38.97,2103664,39.41,38.7556
23,UNM,2018-06-05,38.71,38.63,1686963,38.94,37.98
24,UNM,2018-06-04,39.09,38.91,2767207,39.47,38.9
25,UNM,2018-06-01,39.25,39.12,2354520,39.68,39.06
26,UNM,2018-05-31,38.13,38.81,5107934,39.07,37.87
27,UNM,2018-05-30,37.72,38.15,2050205,38.25,37.39
28,UNM,2018-05-29,38.05,37.19,2077315,38.35,36.91
29,UNM,2018-05-25,38.31,38.69,1667348,38.83,38.24
30,UNM,2018-05-24,38.43,38.54,1782273,38.67,38.11
31,UNM,2018-05-23,38.82,38.51,1196505,38.88,38.21
32,UNM,2018-05-22,38.81,39.07,1286375,39.14,38.74
33,UNM,2018-05-21,38.95,38.79,966729,39.01,38.66
34,UNM,2018-05-18,38.76,38.63,2966283,39.04,38.35
35,UNM,2018-05-17,38.53,38.86,2641804,39.11,38.43
36,UNM,2018-05-16,38.05,38.47,2761922,38.69,38.05
37,UNM,2018-05-15,37.88,38.11,2109059,38.4,37.83
38,UNM,2018-05-14,38.1,37.88,2439355,38.445,37.78
39,UNM,2018-05-11,38.13,37.95,2972367,38.78,37.8
40,UNM,2018-05-10,37.76,38.01,3074474,38.18,37.57
41,UNM,2018-05-09,38.21,37.76,3870395,38.26,37.64
42,UNM,2018-05-08,39.72,38.25,5605826,39.8,38.05
43,UNM,2018-05-07,39.94,39.61,2436279,39.98,39.42
44,UNM,2018-05-04,38.83,39.86,3922675,39.95,38.75
45,UNM,2018-05-03,39.36,39.05,3501516,40.0,38.93
46,UNM,2018-05-02,40.39,39.78,8186911,41.694,39.6
47,UNM,2018-05-01,48.21,47.9,1250175,48.38,47.59
48,UNM,2018-04-30,48.94,48.38,1292324,49.24,48.38
49,UNM,2018-04-27,48.0,48.92,1469675,48.96,47.97
50,UNM,2018-04-26,48.11378078512397,48.1735,1142186,48.452189669421486,47.795278305785125
51,UNM,2018-04-25,48.12371481634337,48.2332,1062245,48.462123565827476,47.506616508460574
52,UNM,2018-04-24,48.68116527777777,48.0143,953250,49.099200228026525,47.73561003316749
53,UNM,2018-04-23,48.880202643984425,48.5617,708725,48.92996868210699,48.36263584750974
54,UNM,2018-04-20,48.72097248363339,48.6513,1669578,48.800598179214404,48.233265098199674
55,UNM,2018-04-19,47.89485409398728,48.502,1294726,48.62143853888776,47.83513482454341
56,UNM,2018-04-18,47.60613608161565,47.8052,2713263,47.88482556735374,47.36725937955445
57,UNM,2018-04-17,48.083889697224556,47.3374,1134409,48.083889697224556,47.22791484440707
58,UNM,2018-04-16,47.7355532012513,47.7256,1590534,48.00428963503649,47.4469103649635
59,UNM,2018-04-13,48.153629256998535,47.2877,1116549,48.253161355504105,47.14835506209219
60,UNM,2018-04-12,46.96914411335694,47.7654,1189030,47.94455757449468,46.81486953531985
61,UNM,2018-04-11,46.85973680837427,46.591,1150466,47.088660756248665,46.5163508865627
62,UNM,2018-04-10,46.99901872769263,47.4071,1505927,47.750485460844004,46.81986109594793
63,UNM,2018-04-09,46.78002583423035,46.2326,1831132,47.24782609257265,46.16292762109795
64,UNM,2018-04-06,47.27774200472204,46.372,1700123,47.387227301996134,45.993778063962225
65,UNM,2018-04-05,47.795272408759125,47.7256,1357452,47.99433643378519,47.33742515119916
66,UNM,2018-04-04,46.083357172818786,47.4569,1078118,47.59624492449664,46.083357172818786
67,UNM,2018-04-03,46.91944036463854,46.9493,1512503,47.1384110239559,46.26252838668645
68,UNM,2018-04-02,47.44696812339331,46.4616,1766731,47.73561131105398,45.69520257069408
69,UNM,2018-03-29,47.417059609325776,47.3872,1383860,47.835094139886586,47.16822953161101
70,UNM,2018-03-28,47.36729610911398,47.0687,1797748,47.62607940367943,46.48146098540918
71,UNM,2018-03-27,48.024250579313254,47.2479,1507080,48.39251944385928,46.959256835896355
72,UNM,2018-03-26,47.63607790215588,48.0143,1897456,48.09392570480928,46.884610313018236
73,UNM,2018-03-23,48.57168497232865,46.7602,1351896,48.70107675606641,46.650714644529586
