,symbol,date,open,close,volume,high,low
0,URBN,2018-07-16,44.51,44.47,1275546,45.0,43.99
1,URBN,2018-07-13,44.22,44.56,1530710,45.45,44.22
2,URBN,2018-07-12,45.43,44.29,2082441,45.43,43.3831
3,URBN,2018-07-11,45.29,45.4,718692,45.645,44.62
4,URBN,2018-07-10,45.21,45.82,1625416,46.05,45.01
5,URBN,2018-07-09,46.48,45.8,1453159,46.75,45.29
6,URBN,2018-07-06,45.56,46.26,775881,46.5,45.16
7,URBN,2018-07-05,46.58,45.76,1273265,46.58,45.515
8,URBN,2018-07-03,45.47,46.4,1055941,46.49,45.09
9,URBN,2018-07-02,44.39,45.1,3155333,45.14,43.89
10,URBN,2018-06-29,46.37,44.55,2108804,46.64,44.49
11,URBN,2018-06-28,45.46,46.01,1276560,46.24,45.41
12,URBN,2018-06-27,46.46,45.55,1321199,47.07,45.5
13,URBN,2018-06-26,45.33,46.27,1944735,46.44,45.25
14,URBN,2018-06-25,45.75,45.22,2942677,46.46,44.9
15,URBN,2018-06-22,46.8,46.05,4864180,46.86,45.24
16,URBN,2018-06-21,46.44,46.65,1314284,46.92,46.29
17,URBN,2018-06-20,45.55,46.32,2721379,46.44,44.95
18,URBN,2018-06-19,45.06,45.34,1829140,45.52,44.6
19,URBN,2018-06-18,45.5,45.52,2432114,45.95,45.26
20,URBN,2018-06-15,45.84,45.75,2652183,46.36,45.56
21,URBN,2018-06-14,46.92,45.99,1967889,47.0,45.44
22,URBN,2018-06-13,48.06,46.89,1810610,48.24,46.74
23,URBN,2018-06-12,48.0,47.9,3060756,48.095,46.61
24,URBN,2018-06-11,46.63,47.02,2546246,47.38,46.37
25,URBN,2018-06-08,46.27,46.42,2026348,46.46,45.91
26,URBN,2018-06-07,46.8,46.4,2742505,47.22,46.36
27,URBN,2018-06-06,46.52,46.81,2311696,46.91,45.75
28,URBN,2018-06-05,44.25,46.42,3529124,46.5091,44.05
29,URBN,2018-06-04,42.84,44.21,1928405,44.23,42.81
30,URBN,2018-06-01,41.82,42.8,2055519,42.96,41.55
31,URBN,2018-05-31,41.67,41.54,2408903,42.07,41.42
32,URBN,2018-05-30,41.77,41.69,2182857,41.91,41.38
33,URBN,2018-05-29,42.02,41.7,2852703,42.54,41.52
34,URBN,2018-05-25,42.21,42.19,1979295,42.39,41.81
35,URBN,2018-05-24,40.76,42.19,3428225,42.39,40.55
36,URBN,2018-05-23,41.75,40.8,9243269,43.58,40.31
37,URBN,2018-05-22,42.35,41.21,4025231,42.62,41.11
38,URBN,2018-05-21,42.46,42.29,2399144,42.72,41.92
39,URBN,2018-05-18,42.65,42.27,2448051,43.04,42.2
40,URBN,2018-05-17,42.07,42.76,3081718,43.18,41.99
41,URBN,2018-05-16,41.41,42.32,3399052,42.84,41.0
42,URBN,2018-05-15,40.52,40.8,1606115,41.03,40.15
43,URBN,2018-05-14,39.87,40.64,2509703,40.89,39.72
44,URBN,2018-05-11,39.17,39.88,1341523,40.02,38.84
45,URBN,2018-05-10,39.66,39.08,1784373,39.73,38.48
46,URBN,2018-05-09,39.14,39.79,1390449,39.9,38.9
47,URBN,2018-05-08,38.49,39.01,1287038,39.05,38.36
48,URBN,2018-05-07,38.99,38.48,1500973,39.07,37.81
49,URBN,2018-05-04,39.36,38.71,2175042,39.48,38.61
50,URBN,2018-05-03,39.81,39.54,1224188,39.92,39.2
51,URBN,2018-05-02,39.43,39.81,1286581,39.915,39.05
52,URBN,2018-05-01,40.03,39.63,1933833,40.26,39.16
53,URBN,2018-04-30,40.76,40.27,1683013,40.94,40.13
54,URBN,2018-04-27,40.18,40.8,2159567,40.87,39.8585
55,URBN,2018-04-26,39.59,39.98,1152401,40.25,39.21
56,URBN,2018-04-25,38.53,39.56,1921880,39.8,38.2016
57,URBN,2018-04-24,39.21,38.64,2875816,39.67,38.53
58,URBN,2018-04-23,38.58,38.83,1323228,39.13,38.3871
59,URBN,2018-04-20,39.35,38.35,1936306,39.83,38.12
60,URBN,2018-04-19,39.64,39.44,1551796,39.98,38.94
61,URBN,2018-04-18,39.63,39.68,1861172,40.23,39.2295
62,URBN,2018-04-17,39.73,39.36,1948545,39.96,39.34
63,URBN,2018-04-16,39.46,39.61,2051053,39.79,38.8478
64,URBN,2018-04-13,39.06,38.94,2733225,39.34,38.48
65,URBN,2018-04-12,38.32,38.98,3380243,39.32,37.96
66,URBN,2018-04-11,38.31,38.23,2200741,38.67,37.95
67,URBN,2018-04-10,38.26,38.58,1952911,38.81,38.12
68,URBN,2018-04-09,39.0,37.88,1686102,39.15,37.81
69,URBN,2018-04-06,38.04,38.54,5754913,38.6401,37.86
70,URBN,2018-04-05,37.49,38.55,4799360,38.7,37.2
71,URBN,2018-04-04,36.55,37.06,4173271,37.28,36.31
72,URBN,2018-04-03,37.43,36.92,3597095,38.07,36.71
73,URBN,2018-04-02,36.94,36.91,2475027,37.21,36.07
74,URBN,2018-03-29,36.65,36.96,1938667,37.23,36.0
75,URBN,2018-03-28,36.26,36.38,1837875,37.48,35.63
76,URBN,2018-03-27,37.95,36.14,2004502,37.99,36.04
77,URBN,2018-03-26,36.69,37.79,2121593,37.83,36.3
78,URBN,2018-03-23,36.13,36.22,1697594,37.17,35.777
79,URBN,2018-03-22,36.19,36.01,1259143,36.695,35.69
