,symbol,date,open,close,volume,high,low
0,VRTX,2018-07-16,179.85,181.22,1960394,182.4079,179.55
1,VRTX,2018-07-13,178.35,180.5,1458674,181.6,177.9
2,VRTX,2018-07-12,175.02,178.27,1181060,178.33,175.02
3,VRTX,2018-07-11,173.83,175.01,1618426,175.69,173.0
4,VRTX,2018-07-10,174.91,175.11,1600268,175.71,172.95
5,VRTX,2018-07-09,174.37,174.16,1334968,174.615,171.81
6,VRTX,2018-07-06,170.0,173.45,1518916,173.64,169.42
7,VRTX,2018-07-05,168.38,169.49,1178627,169.95,166.71
8,VRTX,2018-07-03,170.0,167.73,1059865,170.0,167.28
9,VRTX,2018-07-02,168.4,169.61,2283604,169.66,164.7
10,VRTX,2018-06-29,161.5,169.96,6716387,172.0,161.5
11,VRTX,2018-06-28,147.79,147.59,1368358,148.52,145.37
12,VRTX,2018-06-27,151.76,147.5,2075364,151.895,147.22
13,VRTX,2018-06-26,154.41,151.5,1813927,155.5,151.01
14,VRTX,2018-06-25,158.72,154.76,1491803,160.17,152.91
15,VRTX,2018-06-22,157.09,159.19,2203490,160.28,155.76
16,VRTX,2018-06-21,157.88,156.57,835370,157.88,155.58
17,VRTX,2018-06-20,154.46,157.63,1385374,158.19,153.75
18,VRTX,2018-06-19,150.01,154.5,1551161,155.08,149.67
19,VRTX,2018-06-18,153.9,151.69,1371721,153.97,151.41
20,VRTX,2018-06-15,155.51,155.02,2890161,156.3,154.11
21,VRTX,2018-06-14,152.44,154.99,1384574,155.5858,152.0
22,VRTX,2018-06-13,151.11,151.94,1307687,153.39,150.525
23,VRTX,2018-06-12,148.88,150.99,1539661,151.73,148.17
24,VRTX,2018-06-11,150.67,148.63,1460342,151.285,147.43
25,VRTX,2018-06-08,145.98,150.55,1791147,151.26,145.98
26,VRTX,2018-06-07,147.1,145.75,2183214,149.6894,145.56
27,VRTX,2018-06-06,145.72,145.97,3087528,146.95,144.07
28,VRTX,2018-06-05,149.71,145.72,2957840,150.4,144.14
29,VRTX,2018-06-04,152.05,149.65,2660991,153.0,148.2
30,VRTX,2018-06-01,154.86,152.05,2176805,154.99,150.5
31,VRTX,2018-05-31,155.49,154.0,1649430,157.07,153.52
32,VRTX,2018-05-30,156.14,156.64,1164429,157.57,155.55
33,VRTX,2018-05-29,156.6,155.24,1142294,157.76,153.27
34,VRTX,2018-05-25,157.0,157.5,653584,157.9,156.22
35,VRTX,2018-05-24,156.99,156.97,634448,157.71,155.53
36,VRTX,2018-05-23,155.5,156.98,791228,157.315,155.31
37,VRTX,2018-05-22,157.1,156.28,956366,158.22,155.8
38,VRTX,2018-05-21,157.84,156.22,1199245,158.155,155.3302
39,VRTX,2018-05-18,156.61,157.24,998525,157.52,155.33
40,VRTX,2018-05-17,156.19,156.34,1147519,157.16,155.29
41,VRTX,2018-05-16,155.79,156.16,1240701,156.45,154.4
42,VRTX,2018-05-15,155.78,155.54,1370152,155.79,153.941
43,VRTX,2018-05-14,156.11,157.46,1442379,158.46,155.39
44,VRTX,2018-05-11,150.75,155.97,2242866,157.53,150.62
45,VRTX,2018-05-10,150.13,151.01,1267581,151.66,149.08
46,VRTX,2018-05-09,148.65,149.07,1419622,150.14,146.665
47,VRTX,2018-05-08,149.45,148.27,1146964,150.0,146.95
48,VRTX,2018-05-07,150.54,149.5,1448762,151.81,148.64
49,VRTX,2018-05-04,148.26,149.39,2263777,152.14,147.79
50,VRTX,2018-05-03,148.32,149.64,1518943,150.3,145.78
51,VRTX,2018-05-02,151.32,149.47,2565220,153.16,148.96
52,VRTX,2018-05-01,153.14,152.48,1648558,154.7,150.4
53,VRTX,2018-04-30,157.16,153.16,1717317,157.79,153.15
54,VRTX,2018-04-27,157.5,156.05,1866708,159.05,153.33
55,VRTX,2018-04-26,156.6,158.81,1991083,160.845,155.83
56,VRTX,2018-04-25,155.49,155.15,1313098,157.415,154.1301
57,VRTX,2018-04-24,160.27,155.67,1504877,160.5,154.69
58,VRTX,2018-04-23,158.71,158.69,1154618,160.13,157.74
59,VRTX,2018-04-20,159.61,158.15,1534723,160.78,157.09
60,VRTX,2018-04-19,162.33,159.55,1235637,162.82,159.04
61,VRTX,2018-04-18,165.0,163.36,1122146,166.12,162.66
62,VRTX,2018-04-17,160.54,164.99,2399358,165.6,159.45
63,VRTX,2018-04-16,163.01,158.7,1482901,163.71,158.07
64,VRTX,2018-04-13,163.08,161.39,1486113,163.08,160.41
65,VRTX,2018-04-12,159.54,161.98,1079909,163.45,159.54
66,VRTX,2018-04-11,159.52,158.89,1526952,162.94,158.1
67,VRTX,2018-04-10,159.04,161.17,1301729,161.72,157.77
68,VRTX,2018-04-09,156.26,156.76,1235369,160.39,155.67
69,VRTX,2018-04-06,155.74,154.25,1446291,157.59,152.605
70,VRTX,2018-04-05,162.82,157.66,1352812,163.49,157.12
71,VRTX,2018-04-04,156.37,162.12,1832014,162.45,154.6
72,VRTX,2018-04-03,155.86,158.36,1542275,159.55,153.91
73,VRTX,2018-04-02,161.53,156.31,1804506,161.99,153.425
74,VRTX,2018-03-29,159.83,162.98,1527247,165.51,158.76
75,VRTX,2018-03-28,160.93,159.58,1443658,162.5899,158.36
76,VRTX,2018-03-27,167.63,160.34,1202998,168.28,159.29
77,VRTX,2018-03-26,163.85,166.1,1302809,166.35,160.27
78,VRTX,2018-03-23,165.83,160.93,1274210,166.7,160.74
79,VRTX,2018-03-22,167.83,166.1,1058657,170.38,165.55
80,VRTX,2018-03-21,171.94,170.34,985607,172.4152,168.6
81,VRTX,2018-03-20,171.92,171.47,1569547,172.67,169.64
82,VRTX,2018-03-19,174.62,170.77,1125920,175.28,168.12
83,VRTX,2018-03-16,174.84,175.66,2216078,176.42,173.25
84,VRTX,2018-03-15,174.57,173.97,946395,176.65,173.065
85,VRTX,2018-03-14,176.15,174.38,1035967,176.48,172.82
86,VRTX,2018-03-13,177.36,174.96,1949922,178.25,174.54
87,VRTX,2018-03-12,176.5,177.13,1252708,178.15,174.8
88,VRTX,2018-03-09,173.26,176.26,1358509,176.31,171.76
89,VRTX,2018-03-08,170.39,171.88,1009333,171.98,169.18
90,VRTX,2018-03-07,167.94,170.17,1215786,170.77,167.906
91,VRTX,2018-03-06,173.33,168.72,2176828,173.85,166.05
92,VRTX,2018-03-05,168.49,173.16,1882421,173.45,167.17
93,VRTX,2018-03-02,163.08,170.06,2111944,170.22,161.89
94,VRTX,2018-03-01,165.68,165.83,2028742,168.0,163.61
95,VRTX,2018-02-28,166.7,166.03,1996879,169.5409,164.63
96,VRTX,2018-02-27,168.99,165.88,1371733,170.89,165.72
97,VRTX,2018-02-26,166.92,169.54,1762661,170.36,166.03
98,VRTX,2018-02-23,159.01,165.9,1556032,165.98,158.1
99,VRTX,2018-02-22,161.5,157.59,1627746,162.32,157.0
