,symbol,date,open,close,volume,high,low
0,WM,2018-07-09,82.45,82.45,1328968,82.88,82.27
1,WM,2018-07-06,82.0,82.29,1568972,82.64,81.8
2,WM,2018-07-05,82.0,82.29,1582316,82.31,81.77
3,WM,2018-07-03,82.03,81.59,658093,82.19,81.379
4,WM,2018-07-02,80.91,81.86,1270623,81.92,80.88
5,WM,2018-06-29,80.91,81.34,2484438,81.7261,80.73
6,WM,2018-06-28,80.14,80.77,2398341,81.01,79.97
7,WM,2018-06-27,81.57,80.0,2870308,81.92,79.96
8,WM,2018-06-26,81.79,81.59,2593399,82.13,81.32
9,WM,2018-06-25,81.72,81.7,2799562,81.87,81.29
10,WM,2018-06-22,81.55,81.88,2607304,82.2,81.42
11,WM,2018-06-21,81.92,81.27,3166040,82.0397,81.12
12,WM,2018-06-20,82.69,81.92,1918722,82.75,81.885
13,WM,2018-06-19,82.96,82.68,2359043,83.285,82.16
14,WM,2018-06-18,83.72,83.27,1496005,83.78,83.16
15,WM,2018-06-15,83.41,84.33,3064176,84.43,83.12
16,WM,2018-06-14,83.14,83.57,1682660,83.62,82.56
17,WM,2018-06-13,84.0,83.12,2323620,84.14,83.03
18,WM,2018-06-12,83.79,83.9,1912198,84.04,83.35
19,WM,2018-06-11,83.74,83.56,2196028,83.87,83.07
20,WM,2018-06-08,83.33,83.59,1775586,83.91,83.3
21,WM,2018-06-07,83.62,83.32,1490934,83.78,83.14
22,WM,2018-06-06,82.87744211028885,83.315,1559299,83.4542229649081,82.87744211028885
23,WM,2018-06-05,83.25532341597797,83.0266,1706592,83.64315877350582,82.91721054018446
24,WM,2018-06-04,83.35476744352815,83.2056,1949484,83.58349085693797,83.15587751882396
25,WM,2018-06-01,82.71839724979075,83.1659,1541467,83.21562252780103,82.4598401052254
26,WM,2018-05-31,83.44434058759522,82.251,3413906,83.93162132752994,82.251
27,WM,2018-05-30,82.34042790697676,83.3846,1867121,83.55365643410853,82.24098294573645
28,WM,2018-05-29,81.96257647912884,82.1913,3621726,82.36035651542647,81.60457444646097
29,WM,2018-05-25,82.34048794599808,82.4996,1545692,82.83771311475411,82.29076542912247
30,WM,2018-05-24,82.32053256963704,82.4697,1376535,82.64870091643554,81.97247523212349
31,WM,2018-05-23,81.147126403477,82.3703,2363722,82.47968950863215,81.147126403477
32,WM,2018-05-22,81.76371368137914,81.3361,2266214,82.3007169091576,81.26648847047316
33,WM,2018-05-21,81.2167186057809,81.883,1623648,81.9824449842118,81.03771763419964
34,WM,2018-05-18,81.04768900343642,81.0278,1710032,81.36462027319588,80.96813298969072
35,WM,2018-05-17,81.1769675257732,81.0278,1370776,81.50513608247422,80.79907646048109
36,WM,2018-05-16,81.72389193825043,81.167,1369189,82.06250212570448,81.05761051212939
37,WM,2018-05-15,81.6045660014602,81.7239,2501399,82.01229049647115,81.35595350450231
38,WM,2018-05-14,82.53934648432774,82.1714,1839223,82.74818097543266,82.00234350720078
39,WM,2018-05-11,83.08628088465711,82.5095,2145469,83.23544835482706,82.3702770278414
40,WM,2018-05-10,82.86754450312051,82.8576,1097644,83.116157081133,82.66865444071053
41,WM,2018-05-09,82.66863400795084,82.5493,1320313,82.83769051921455,82.23107597879773
42,WM,2018-05-08,82.4996104490189,82.609,1486416,82.99683568075118,82.28162690742747
43,WM,2018-05-07,83.3647142874309,82.7581,2313501,83.53377072819033,82.56915456621005
44,WM,2018-05-04,82.0918254015467,83.5835,1494371,83.77244544913742,82.07193640690066
45,WM,2018-05-03,80.44107707981674,82.4797,2773588,82.62886753074511,80.44107707981674
46,WM,2018-05-02,80.88852476496784,80.3913,2240180,81.04763668975754,80.27196605640772
47,WM,2018-05-01,80.89854504615384,80.7991,2211539,81.17719006547692,80.22231873230768
48,WM,2018-04-30,81.92274995694427,80.8388,3228958,82.24097379751507,80.80896651494649
49,WM,2018-04-27,81.3161417253949,81.8432,1897143,82.19125735115432,81.3161417253949
50,WM,2018-04-26,80.96813144954129,81.2963,2519256,81.85816433639144,80.63499064831804
51,WM,2018-04-25,80.73943297230768,80.7991,2143174,81.28638072615384,80.46098684307692
52,WM,2018-04-24,82.41998545454544,80.9482,2889105,82.41998545454544,80.61008712530712
53,WM,2018-04-23,82.0619889939394,82.0421,2317513,83.16582815757576,82.00232201212121
54,WM,2018-04-20,83.1160945198836,82.0222,3184102,83.63320829291949,81.61447567895246
55,WM,2018-04-19,83.05650544662309,82.1615,3652779,83.19572851609779,82.09188846526264
56,WM,2018-04-18,83.03653257621039,83.1857,2068367,83.39453439330542,82.73819772863119
57,WM,2018-04-17,83.37472413793104,83.0565,2379486,83.48411368534484,82.66866433189655
58,WM,2018-04-16,83.03653394099305,82.9172,2365420,83.11608990165507,82.37025277044854
59,WM,2018-04-13,82.8476681112315,82.609,2495918,82.96700216684725,82.14160828217166
60,WM,2018-04-12,82.529366514093,82.5592,2662522,83.22548118525657,82.46969954227899
61,WM,2018-04-11,83.25538386745676,82.2311,2549842,83.39460691740234,82.08193244648689
62,WM,2018-04-10,84.24979143026707,83.7824,2106670,84.35918091394659,83.41445355489614
63,WM,2018-04-09,84.26971783706183,83.1261,1993326,84.48849690154323,83.00676596482832
64,WM,2018-04-06,84.65749362308514,83.7426,2135481,85.18455190594942,83.27779426148913
65,WM,2018-04-05,85.32382097186701,85.5426,2401160,85.85087953964194,85.0055969309463
66,WM,2018-04-04,83.68298128217127,85.0056,2770009,85.11489007299953,83.36575167992513
67,WM,2018-04-03,83.37469392369289,84.4487,1784381,84.51831150494583,83.3150269194536
68,WM,2018-04-02,83.53376884422111,83.1161,2054639,84.22988358458963,82.25092882268486
69,WM,2018-03-29,83.15587520209225,83.6531,1676224,84.19010278174035,83.01665225867806
70,WM,2018-03-28,82.94712363548929,82.7184,1958809,83.6332945419572,82.45984284683819
