,symbol,date,open,close,volume,high,low
0,WMT,2018-07-09,85.0,85.93,6573382,86.47,84.77
1,WMT,2018-07-06,84.2,84.51,5623594,84.865,83.82
2,WMT,2018-07-05,84.94,84.57,5367491,85.58,84.2656
3,WMT,2018-07-03,84.09,84.44,4396238,85.05,84.09
4,WMT,2018-07-02,85.65,84.0,8125148,85.94,83.4
5,WMT,2018-06-29,85.9,85.65,8260329,86.2,85.52
6,WMT,2018-06-28,86.85,85.86,8466965,87.29,85.685
7,WMT,2018-06-27,85.9,86.89,10299382,87.49,85.55
8,WMT,2018-06-26,86.53,85.98,10126155,87.05,85.76
9,WMT,2018-06-25,84.59,86.47,15939481,86.6,84.48
10,WMT,2018-06-22,84.46,84.82,11005783,84.85,84.1
11,WMT,2018-06-21,83.4,84.21,8091999,84.55,82.895
12,WMT,2018-06-20,83.71,83.61,7966579,83.82,83.16
13,WMT,2018-06-19,82.6,83.61,9352518,83.62,82.37
14,WMT,2018-06-18,83.05,83.0,8502338,83.57,82.82
15,WMT,2018-06-15,83.5,83.7,12503000,83.99,83.06
16,WMT,2018-06-14,84.22,83.79,7517427,84.81,83.67
17,WMT,2018-06-13,83.89,84.09,6358420,84.37,83.8515
18,WMT,2018-06-12,84.32,84.1,8061710,84.59,83.47
19,WMT,2018-06-11,84.41,84.3,6252274,84.54,83.79
20,WMT,2018-06-08,84.78,84.36,7602411,85.1899,84.14
21,WMT,2018-06-07,84.78,84.95,7705710,85.76,84.69
22,WMT,2018-06-06,84.95,84.56,7362807,85.1473,84.35
23,WMT,2018-06-05,85.45,84.62,8281419,85.47,84.25
24,WMT,2018-06-04,83.5,85.42,10921966,85.52,83.3
25,WMT,2018-06-01,83.04,82.99,5237864,83.42,82.85
26,WMT,2018-05-31,83.94,82.54,11468708,84.31,82.51
27,WMT,2018-05-30,82.45,84.12,9314100,84.23,82.26
28,WMT,2018-05-29,81.96,82.4,8428164,82.52,81.8099
29,WMT,2018-05-25,82.85,82.46,5913537,83.34,82.32
30,WMT,2018-05-24,83.0,82.85,8576228,83.0,81.78
31,WMT,2018-05-23,82.95,83.01,9399188,83.02,82.17
32,WMT,2018-05-22,84.5,83.37,8067349,84.81,83.29
33,WMT,2018-05-21,84.14,84.51,10715741,84.54,83.82
34,WMT,2018-05-18,84.24,83.64,12043137,84.44,83.49
35,WMT,2018-05-17,87.04,84.49,29720738,87.59,83.85
36,WMT,2018-05-16,84.87,86.13,13733627,86.625,84.74
37,WMT,2018-05-15,84.06,84.52,9322923,84.88,83.8
38,WMT,2018-05-14,83.89,84.39,9499241,84.7939,83.6501
39,WMT,2018-05-11,82.69,83.38,9934779,83.52,81.95
40,WMT,2018-05-10,82.64,82.69,15857647,83.769,82.01
41,WMT,2018-05-09,82.04402484950637,82.5409,32265233,83.15702518661209,81.48752468095351
42,WMT,2018-05-08,84.98557480755774,85.2042,6551439,85.31351259622113,84.3893242827152
43,WMT,2018-05-07,86.94327706797706,84.9359,10783644,86.95321457821458,84.73714979524979
44,WMT,2018-05-04,85.46256140751743,86.983,6971479,87.54943790700331,84.82656095053125
45,WMT,2018-05-03,85.65134998260466,85.6911,6876105,85.75072502609302,84.58803701727938
46,WMT,2018-05-02,86.5854627287468,85.8004,6082960,86.70391776326152,85.62152494788046
47,WMT,2018-05-01,87.1221753346299,86.8638,6957660,87.46005077222287,85.80644863059148
48,WMT,2018-04-30,87.39044955912277,87.9072,8685876,89.09960164232422,87.37057454216597
49,WMT,2018-04-27,87.32087541528239,86.7445,5651105,87.35068793676251,86.53581234963913
50,WMT,2018-04-26,86.62521228110076,87.3904,5782548,87.7680251080282,86.35689970434389
51,WMT,2018-04-25,85.78061140300561,86.6253,6755577,87.15198818400826,85.35329834805552
52,WMT,2018-04-24,86.22780031203051,85.9893,8469716,86.3669254940483,85.03529875187796
53,WMT,2018-04-23,86.34696272938444,85.5619,7360466,86.53577528455284,85.48239997677119
54,WMT,2018-04-20,87.32083775580594,86.4364,8324886,87.82765040239136,86.12833741089906
55,WMT,2018-04-19,86.86379938559563,87.3408,6588348,87.48986269200137,86.03898582318807
56,WMT,2018-04-18,87.64886330935254,87.0228,5854040,88.00661377183968,86.96317492291882
