,symbol,date,open,close,volume,high,low
0,ADBE,2018-07-23,241.05,259.47,35292051,260.94,239.6
1,ADBE,2018-06-29,250.55,243.81,77869956,258.9102,235.87
2,ADBE,2018-05-31,220.77,249.28,50388223,251.52,218.7396
3,ADBE,2018-04-30,214.81,221.6,56243864,233.1713,207.22
4,ADBE,2018-03-29,210.32,216.08,78429809,231.34,201.76
5,ADBE,2018-02-28,199.12,209.13,48998009,213.44,179.34
6,ADBE,2018-01-31,175.85,199.76,53374915,204.45,175.26
7,ADBE,2017-12-29,179.51,175.24,62234369,182.0,165.68
8,ADBE,2017-11-30,176.59,181.47,42903570,186.27,174.7
9,ADBE,2017-10-31,149.79,175.16,71183598,177.58,146.6
10,ADBE,2017-09-29,155.76,149.18,53124209,157.89,143.95
11,ADBE,2017-08-31,147.74,155.16,33499840,155.36,144.18
12,ADBE,2017-07-31,141.73,146.49,34372987,150.4,138.31
13,ADBE,2017-06-30,141.64,141.44,73273142,147.45,131.2001
14,ADBE,2017-05-31,134.3,141.86,48530290,143.48,130.82
15,ADBE,2017-04-28,129.585,133.74,38027356,134.25,128.21
16,ADBE,2017-03-31,119.24,130.13,52736089,130.69,118.38
17,ADBE,2017-02-28,113.31,118.34,38524324,120.169,112.27
18,ADBE,2017-01-31,103.43,113.38,49310765,114.57,102.81
19,ADBE,2016-12-30,102.82,102.95,61819983,107.8,98.0
20,ADBE,2016-11-30,107.79,102.81,57239252,109.16,101.66
21,ADBE,2016-10-31,108.41,107.51,35132385,111.09,106.53
22,ADBE,2016-09-30,102.23,108.54,65685844,109.7621,97.87
23,ADBE,2016-08-31,97.75,102.31,37654642,102.75,95.42
24,ADBE,2016-07-29,95.04,97.86,38605851,98.89,94.0618
25,ADBE,2016-06-30,99.24,95.79,70867989,100.4,90.35
26,ADBE,2016-05-31,94.29,99.47,41953246,100.56,92.55
27,ADBE,2016-04-29,93.33,94.22,51712907,97.69,92.2211
28,ADBE,2016-03-31,85.92,93.8,92072914,98.0,83.17
29,ADBE,2016-02-29,88.16,85.15,94749987,90.2383,71.27
30,ADBE,2016-01-29,91.77,89.13,64431078,92.85,82.7
31,ADBE,2015-12-31,92.01,93.94,62904067,96.42,88.51
32,ADBE,2015-11-30,89.03,91.46,38706561,92.6599,88.0
33,ADBE,2015-10-30,82.42,88.66,86100365,89.7,79.02
34,ADBE,2015-09-30,77.07,82.22,87407811,85.985,75.54
35,ADBE,2015-08-31,82.18,78.57,66482251,87.25,71.33
36,ADBE,2015-07-31,81.57,81.99,64727179,82.8225,78.94
37,ADBE,2015-06-30,79.5,81.01,69709459,84.36,76.95
38,ADBE,2015-05-29,76.29,79.09,41860407,80.74,73.96
39,ADBE,2015-04-30,73.61,76.06,43561017,77.29,72.78
40,ADBE,2015-03-31,79.14,73.94,62752306,79.99,72.12
41,ADBE,2015-02-27,70.44,79.1,36079414,80.3,69.04
42,ADBE,2015-01-30,72.7,70.13,44918113,74.4,68.98
43,ADBE,2014-12-31,73.64,72.7,78545769,77.56,69.66
44,ADBE,2014-11-28,69.93,73.68,50942534,74.1,69.66
