,symbol,date,open,close,volume,high,low
0,AKAM,2018-07-13,72.68,77.32,12440323,77.73,72.19
1,AKAM,2018-06-29,75.7,73.23,60107981,83.08,71.021
2,AKAM,2018-05-31,74.0,75.38,45972744,78.25,68.931
3,AKAM,2018-04-30,70.81,71.65,25421077,73.19,68.5
4,AKAM,2018-03-29,67.44,70.98,37071087,78.28,66.67
5,AKAM,2018-02-28,66.42,67.46,33173845,69.0,61.0
6,AKAM,2018-01-31,65.13,66.99,35620303,69.56,64.18
7,AKAM,2017-12-29,55.43,65.04,61205783,68.03,54.74
8,AKAM,2017-11-30,52.7,55.78,40385504,56.2,51.79
9,AKAM,2017-10-31,49.35,52.25,48571457,56.85,48.72
10,AKAM,2017-09-29,47.28,48.72,31858372,48.82,45.81
11,AKAM,2017-08-31,47.43,47.15,36039838,48.42,44.65
12,AKAM,2017-07-31,50.15,47.14,51548734,53.45,45.41
13,AKAM,2017-06-30,47.23,49.81,45705242,51.65,47.08
14,AKAM,2017-05-31,61.19,47.15,77613940,62.58,46.81
15,AKAM,2017-04-28,59.74,60.94,38317007,62.43,57.86
16,AKAM,2017-03-31,62.82,59.7,41280560,65.65,59.5
17,AKAM,2017-02-28,68.67,62.6,51537086,71.34,61.54
18,AKAM,2017-01-31,67.27,68.59,30565208,71.64,67.11
19,AKAM,2016-12-30,66.48,66.68,29458511,69.26,62.83
20,AKAM,2016-11-30,69.39,66.7,50573878,69.55,64.7701
21,AKAM,2016-10-31,52.96,69.47,59663624,71.04,52.63
22,AKAM,2016-09-30,54.82,52.99,42480435,55.825,50.76
23,AKAM,2016-08-31,50.56,54.9,41612209,55.94,48.92
24,AKAM,2016-07-29,55.81,50.53,53906954,58.47,47.8
25,AKAM,2016-06-30,54.01,55.93,35596440,57.17,50.91
26,AKAM,2016-05-31,50.75,54.58,32234701,54.78,48.88
27,AKAM,2016-04-29,55.14,50.99,48630282,57.5,49.8001
28,AKAM,2016-03-31,54.37,55.57,44493203,57.05,53.9
29,AKAM,2016-02-29,45.5,53.97,84051989,55.6,39.43
30,AKAM,2016-01-29,51.8,45.62,63400355,52.65,43.28
